Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,1.03911,1.03975,1.03889,1.03946,3628.6299
26.01.2017 01:00:00.000 GMT-0500,1.03944,1.03986,1.03868,1.03976,5148.77
26.01.2017 02:00:00.000 GMT-0500,1.03972,1.03993,1.03846,1.03898,8360.8496
26.01.2017 03:00:00.000 GMT-0500,1.03895,1.03947,1.03862,1.03887,8568.9004
26.01.2017 04:00:00.000 GMT-0500,1.03888,1.03977,1.03841,1.03917,9069.1504
26.01.2017 05:00:00.000 GMT-0500,1.03920,1.04033,1.03883,1.04017,8067.3101
26.01.2017 06:00:00.000 GMT-0500,1.04017,1.04117,1.04005,1.04111,7718.3999
26.01.2017 07:00:00.000 GMT-0500,1.04113,1.04268,1.04093,1.04154,9600.3701
26.01.2017 08:00:00.000 GMT-0500,1.04155,1.04180,1.04106,1.04161,10050.4502
26.01.2017 09:00:00.000 GMT-0500,1.04163,1.04216,1.04078,1.04092,10317.7598
26.01.2017 10:00:00.000 GMT-0500,1.04092,1.04214,1.04073,1.04162,13358.5195
26.01.2017 11:00:00.000 GMT-0500,1.04158,1.04206,1.04124,1.04145,8884.9199
26.01.2017 12:00:00.000 GMT-0500,1.04147,1.04208,1.04137,1.04195,5394.27
26.01.2017 13:00:00.000 GMT-0500,1.04193,1.04199,1.04093,1.04103,5529.5698
26.01.2017 14:00:00.000 GMT-0500,1.04103,1.04143,1.04088,1.04139,3663.1101
26.01.2017 15:00:00.000 GMT-0500,1.04137,1.04152,1.03982,1.03996,5315.5498
26.01.2017 16:00:00.000 GMT-0500,1.03995,1.04096,1.03977,1.04050,3315.6101
26.01.2017 17:00:00.000 GMT-0500,1.04087,1.04138,1.03968,1.03973,3385.5601
26.01.2017 18:00:00.000 GMT-0500,1.03974,1.04050,1.03937,1.03981,4158.3599
26.01.2017 19:00:00.000 GMT-0500,1.03983,1.04018,1.03966,1.03986,4813.48
26.01.2017 20:00:00.000 GMT-0500,1.03984,1.04040,1.03961,1.04011,6620.2002
26.01.2017 21:00:00.000 GMT-0500,1.04012,1.04015,1.03935,1.03975,4990.6602
26.01.2017 22:00:00.000 GMT-0500,1.03975,1.03992,1.03912,1.03953,4081.95
26.01.2017 23:00:00.000 GMT-0500,1.03953,1.03954,1.03828,1.03862,4540.9102
27.01.2017 00:00:00.000 GMT-0500,1.03863,1.03892,1.03835,1.03847,5148.1699
27.01.2017 01:00:00.000 GMT-0500,1.03846,1.03950,1.03808,1.03908,6821.7202
27.01.2017 02:00:00.000 GMT-0500,1.03910,1.03982,1.03876,1.03884,7771.4502
27.01.2017 03:00:00.000 GMT-0500,1.03882,1.03893,1.03793,1.03806,8243.7002
27.01.2017 04:00:00.000 GMT-0500,1.03806,1.03816,1.03705,1.03775,8473.2998
27.01.2017 05:00:00.000 GMT-0500,1.03777,1.03943,1.03724,1.03906,7594.1602
27.01.2017 06:00:00.000 GMT-0500,1.03905,1.03945,1.03869,1.03870,5310.7202
27.01.2017 07:00:00.000 GMT-0500,1.03868,1.03975,1.03827,1.03967,7464.4399
27.01.2017 08:00:00.000 GMT-0500,1.03967,1.04019,1.03904,1.03983,12769.4404
