Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,0.76457,0.76463,0.76393,0.76441,1791.79
26.01.2017 01:00:00.000 GMT-0500,0.76441,0.76511,0.76439,0.76481,2538.4199
26.01.2017 02:00:00.000 GMT-0500,0.76480,0.76503,0.76319,0.76395,5396.02
26.01.2017 03:00:00.000 GMT-0500,0.76391,0.76419,0.76265,0.76276,6068.1099
26.01.2017 04:00:00.000 GMT-0500,0.76274,0.76281,0.76145,0.76239,6889.7798
26.01.2017 05:00:00.000 GMT-0500,0.76236,0.76281,0.76196,0.76227,5381.4399
26.01.2017 06:00:00.000 GMT-0500,0.76227,0.76251,0.76110,0.76129,4449.1201
26.01.2017 07:00:00.000 GMT-0500,0.76130,0.76136,0.76005,0.76095,5308.54
26.01.2017 08:00:00.000 GMT-0500,0.76096,0.76245,0.76082,0.76191,8409.1797
26.01.2017 09:00:00.000 GMT-0500,0.76191,0.76454,0.76131,0.76336,9069.9199
26.01.2017 10:00:00.000 GMT-0500,0.76335,0.76387,0.76224,0.76358,8402.4902
26.01.2017 11:00:00.000 GMT-0500,0.76360,0.76442,0.76323,0.76405,6717.5498
26.01.2017 12:00:00.000 GMT-0500,0.76405,0.76405,0.76278,0.76365,4496.3701
26.01.2017 13:00:00.000 GMT-0500,0.76363,0.76368,0.76253,0.76321,5477.77
26.01.2017 14:00:00.000 GMT-0500,0.76320,0.76369,0.76269,0.76342,3708.75
26.01.2017 15:00:00.000 GMT-0500,0.76344,0.76438,0.76301,0.76435,5756.7798
26.01.2017 16:00:00.000 GMT-0500,0.76438,0.76454,0.76309,0.76421,4029.47
26.01.2017 17:00:00.000 GMT-0500,0.76421,0.76497,0.76373,0.76421,3098.97
26.01.2017 18:00:00.000 GMT-0500,0.76421,0.76445,0.76374,0.76395,1873.08
26.01.2017 19:00:00.000 GMT-0500,0.76393,0.76400,0.76337,0.76345,2490.8601
26.01.2017 20:00:00.000 GMT-0500,0.76342,0.76377,0.76328,0.76362,3996.23
26.01.2017 21:00:00.000 GMT-0500,0.76363,0.76398,0.76336,0.76391,2604.49
26.01.2017 22:00:00.000 GMT-0500,0.76389,0.76395,0.76340,0.76343,2266.78
26.01.2017 23:00:00.000 GMT-0500,0.76343,0.76348,0.76299,0.76305,1936.3199
27.01.2017 00:00:00.000 GMT-0500,0.76307,0.76362,0.76302,0.76356,2180.3501
27.01.2017 01:00:00.000 GMT-0500,0.76357,0.76360,0.76312,0.76318,3142.46
27.01.2017 02:00:00.000 GMT-0500,0.76318,0.76452,0.76311,0.76429,4604.79
27.01.2017 03:00:00.000 GMT-0500,0.76429,0.76460,0.76309,0.76335,5377.6602
27.01.2017 04:00:00.000 GMT-0500,0.76336,0.76341,0.76211,0.76292,5343.3799
27.01.2017 05:00:00.000 GMT-0500,0.76293,0.76331,0.76223,0.76330,5251.3101
27.01.2017 06:00:00.000 GMT-0500,0.76328,0.76332,0.76227,0.76235,4310.3901
27.01.2017 07:00:00.000 GMT-0500,0.76237,0.76347,0.76237,0.76344,4450.27
27.01.2017 08:00:00.000 GMT-0500,0.76344,0.76376,0.76240,0.76297,9766.5303
27.01.2017 09:00:00.000 GMT-0500,0.76295,0.76299,0.76082,0.76149,10715.2695
27.01.2017 10:00:00.000 GMT-0500,0.76151,0.76196,0.76045,0.76049,7650.96
27.01.2017 11:00:00.000 GMT-0500,0.76048,0.76244,0.76044,0.76232,6232.52
27.01.2017 12:00:00.000 GMT-0500,0.76232,0.76251,0.76104,0.76131,4496.6099
27.01.2017 13:00:00.000 GMT-0500,0.76131,0.76141,0.76039,0.76066,3941.4199
27.01.2017 14:00:00.000 GMT-0500,0.76067,0.76109,0.76036,0.76063,3222.54
27.01.2017 15:00:00.000 GMT-0500,0.76061,0.76091,0.76032,0.76065,2808.74
27.01.2017 16:00:00.000 GMT-0500,0.76063,0.76067,0.75969,0.76059,2040.27
29.01.2017 17:00:00.000 GMT-0500,0.76058,0.76179,0.76003,0.76032,1106.14
29.01.2017 18:00:00.000 GMT-0500,0.76030,0.76030,0.75947,0.75973,2798.48
29.01.2017 19:00:00.000 GMT-0500,0.75974,0.75976,0.75901,0.75919,3855.1599
29.01.2017 20:00:00.000 GMT-0500,0.75920,0.75928,0.75883,0.75915,3702.01
29.01.2017 21:00:00.000 GMT-0500,0.75915,0.75945,0.75877,0.75931,2148.4399
29.01.2017 22:00:00.000 GMT-0500,0.75930,0.75946,0.75903,0.75922,1664.84
29.01.2017 23:00:00.000 GMT-0500,0.75919,0.75945,0.75917,0.75940,1810.61
30.01.2017 00:00:00.000 GMT-0500,0.75939,0.75947,0.75921,0.75940,2097.1799
30.01.2017 01:00:00.000 GMT-0500,0.75939,0.75991,0.75927,0.75981,2024.7
30.01.2017 02:00:00.000 GMT-0500,0.75982,0.76036,0.75963,0.76032,3866.72
30.01.2017 03:00:00.000 GMT-0500,0.76032,0.76032,0.75899,0.75927,6538.6099
30.01.2017 04:00:00.000 GMT-0500,0.75926,0.75995,0.75914,0.75969,5517.9102
30.01.2017 05:00:00.000 GMT-0500,0.75969,0.76019,0.75939,0.76014,3998.72
30.01.2017 06:00:00.000 GMT-0500,0.76015,0.76133,0.75953,0.76115,5567.1499
30.01.2017 07:00:00.000 GMT-0500,0.76118,0.76290,0.76116,0.76282,6138.8198
30.01.2017 08:00:00.000 GMT-0500,0.76280,0.76374,0.76278,0.76321,8857.4805
30.01.2017 09:00:00.000 GMT-0500,0.76324,0.76342,0.76063,0.76141,7723.0098
30.01.2017 10:00:00.000 GMT-0500,0.76143,0.76297,0.76092,0.76205,8388.1104
30.01.2017 11:00:00.000 GMT-0500,0.76204,0.76215,0.76115,0.76211,6293.52
30.01.2017 12:00:00.000 GMT-0500,0.76212,0.76227,0.75948,0.76024,5831.1201
30.01.2017 13:00:00.000 GMT-0500,0.76024,0.76029,0.75921,0.75932,5443.5801
30.01.2017 14:00:00.000 GMT-0500,0.75933,0.75943,0.75868,0.75887,4023.1699
30.01.2017 15:00:00.000 GMT-0500,0.75890,0.75927,0.75841,0.75850,3848.3799
30.01.2017 16:00:00.000 GMT-0500,0.75849,0.75942,0.75842,0.75931,2439.0601
30.01.2017 17:00:00.000 GMT-0500,0.75941,0.75957,0.75858,0.75880,1729.83
30.01.2017 18:00:00.000 GMT-0500,0.75876,0.75912,0.75830,0.75905,2490.6399
30.01.2017 19:00:00.000 GMT-0500,0.75903,0.75971,0.75900,0.75971,3374.75
