Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,5.93957,5.94012,5.93586,5.93749,1316.13
26.01.2017 01:00:00.000 GMT-0500,5.93803,5.93883,5.93232,5.93402,1378.67
26.01.2017 02:00:00.000 GMT-0500,5.93421,5.93452,5.92521,5.92852,2086.48
26.01.2017 03:00:00.000 GMT-0500,5.92841,5.93282,5.92596,5.92792,3349.28
26.01.2017 04:00:00.000 GMT-0500,5.92792,5.93052,5.91862,5.92222,3760.76
26.01.2017 05:00:00.000 GMT-0500,5.92222,5.92402,5.91511,5.91713,3171.0601
26.01.2017 06:00:00.000 GMT-0500,5.91713,5.92190,5.91641,5.91912,2702.8
26.01.2017 07:00:00.000 GMT-0500,5.91912,5.91962,5.91002,5.91051,3781.29
26.01.2017 08:00:00.000 GMT-0500,5.91041,5.92251,5.90861,5.91731,5469.25
26.01.2017 09:00:00.000 GMT-0500,5.91731,5.93121,5.91561,5.92591,6997.79
26.01.2017 10:00:00.000 GMT-0500,5.92601,5.92942,5.91492,5.92102,6212.4502
26.01.2017 11:00:00.000 GMT-0500,5.92117,5.92152,5.91115,5.92042,4598.98
26.01.2017 12:00:00.000 GMT-0500,5.92042,5.92564,5.91753,5.92544,2884.6499
26.01.2017 13:00:00.000 GMT-0500,5.92543,5.92901,5.91909,5.92601,3479.22
26.01.2017 14:00:00.000 GMT-0500,5.92601,5.92891,5.92281,5.92712,2115.8701
26.01.2017 15:00:00.000 GMT-0500,5.92707,5.93071,5.91532,5.92432,3737.05
26.01.2017 16:00:00.000 GMT-0500,5.92432,5.92802,5.91241,5.92802,2005.2
26.01.2017 17:00:00.000 GMT-0500,5.92863,5.92911,5.92292,5.92711,937.29
26.01.2017 18:00:00.000 GMT-0500,5.92651,5.92881,5.92338,5.92695,737.23
26.01.2017 19:00:00.000 GMT-0500,5.92686,5.92799,5.92262,5.92291,2256.7
26.01.2017 20:00:00.000 GMT-0500,5.92291,5.92412,5.91671,5.92282,4236.2402
26.01.2017 21:00:00.000 GMT-0500,5.92282,5.92562,5.92159,5.92431,1776.85
26.01.2017 22:00:00.000 GMT-0500,5.92433,5.92451,5.91771,5.91771,1712.34
26.01.2017 23:00:00.000 GMT-0500,5.91771,5.91792,5.91387,5.91391,1201.8199
27.01.2017 00:00:00.000 GMT-0500,5.91391,5.91726,5.91391,5.91663,1591.29
27.01.2017 01:00:00.000 GMT-0500,5.91649,5.91695,5.90928,5.90976,1936.95
27.01.2017 02:00:00.000 GMT-0500,5.91021,5.92062,5.90962,5.91908,2541.29
27.01.2017 03:00:00.000 GMT-0500,5.91919,5.92183,5.91541,5.91681,2918.1001
27.01.2017 04:00:00.000 GMT-0500,5.91672,5.92312,5.91541,5.92132,2620.04
27.01.2017 05:00:00.000 GMT-0500,5.92121,5.92231,5.91402,5.91781,2590.3501
27.01.2017 06:00:00.000 GMT-0500,5.91763,5.92218,5.91636,5.91821,2098.6599
27.01.2017 07:00:00.000 GMT-0500,5.91828,5.92155,5.91371,5.91621,2170.71
27.01.2017 08:00:00.000 GMT-0500,5.91633,5.92611,5.91422,5.92401,5182.3799
27.01.2017 09:00:00.000 GMT-0500,5.92401,5.92850,5.91351,5.91601,7051.04
27.01.2017 10:00:00.000 GMT-0500,5.91601,5.92292,5.91182,5.91211,5136.73
27.01.2017 11:00:00.000 GMT-0500,5.91203,5.92032,5.90872,5.91919,4320.0898
27.01.2017 12:00:00.000 GMT-0500,5.91919,5.91990,5.90681,5.90731,3207.8701
27.01.2017 13:00:00.000 GMT-0500,5.90731,5.91092,5.90289,5.90391,2581.1299
27.01.2017 14:00:00.000 GMT-0500,5.90391,5.90932,5.90351,5.90842,1871.22
27.01.2017 15:00:00.000 GMT-0500,5.90842,5.90893,5.90432,5.90741,1971
27.01.2017 16:00:00.000 GMT-0500,5.90751,5.90751,5.90059,5.90108,1047.86
29.01.2017 17:00:00.000 GMT-0500,5.90943,5.91593,5.90912,5.91242,155.4
29.01.2017 18:00:00.000 GMT-0500,5.91233,5.91233,5.90561,5.91062,1317.35
29.01.2017 19:00:00.000 GMT-0500,5.91061,5.91272,5.90562,5.90741,2284.3101
29.01.2017 20:00:00.000 GMT-0500,5.90740,5.91193,5.90621,5.91122,1951.6801
29.01.2017 21:00:00.000 GMT-0500,5.91142,5.91182,5.90751,5.91111,893.3
29.01.2017 22:00:00.000 GMT-0500,5.91102,5.91341,5.90852,5.90922,685.57
29.01.2017 23:00:00.000 GMT-0500,5.90911,5.91142,5.90871,5.90911,865.91
30.01.2017 00:00:00.000 GMT-0500,5.90922,5.90981,5.90571,5.90621,906.74
30.01.2017 01:00:00.000 GMT-0500,5.90619,5.91033,5.90481,5.90961,676.82
30.01.2017 02:00:00.000 GMT-0500,5.90961,5.90992,5.90392,5.90516,1435.0699
30.01.2017 03:00:00.000 GMT-0500,5.90520,5.90529,5.89581,5.89892,2745.3301
30.01.2017 04:00:00.000 GMT-0500,5.89892,5.90272,5.89861,5.90169,2672.23
30.01.2017 05:00:00.000 GMT-0500,5.90172,5.90461,5.89869,5.90331,1579.6801
30.01.2017 06:00:00.000 GMT-0500,5.90331,5.90451,5.89331,5.89512,2121.04
30.01.2017 07:00:00.000 GMT-0500,5.89512,5.89952,5.89162,5.89861,3084.1799
30.01.2017 08:00:00.000 GMT-0500,5.89871,5.91412,5.89512,5.91372,4272.21
30.01.2017 09:00:00.000 GMT-0500,5.91362,5.91492,5.90222,5.90802,3093.3799
30.01.2017 10:00:00.000 GMT-0500,5.90811,5.93002,5.90622,5.92682,4878.8901
30.01.2017 11:00:00.000 GMT-0500,5.92692,5.93102,5.92241,5.92654,3372.1201
30.01.2017 12:00:00.000 GMT-0500,5.92654,5.93331,5.92252,5.92371,4141.6299
30.01.2017 13:00:00.000 GMT-0500,5.92371,5.92412,5.91212,5.91682,3442.6399
30.01.2017 14:00:00.000 GMT-0500,5.91682,5.91823,5.91141,5.91622,2280.6899
30.01.2017 15:00:00.000 GMT-0500,5.91622,5.91711,5.91293,5.91432,3170.04
30.01.2017 16:00:00.000 GMT-0500,5.91403,5.91993,5.91381,5.91618,1016.07
30.01.2017 17:00:00.000 GMT-0500,5.91665,5.91947,5.91436,5.91826,507.66
30.01.2017 18:00:00.000 GMT-0500,5.91811,5.92272,5.91699,5.92202,558.56
30.01.2017 19:00:00.000 GMT-0500,5.92202,5.92291,5.91821,5.92192,1451.22
30.01.2017 20:00:00.000 GMT-0500,5.92192,5.92352,5.91971,5.91971,1139.1801
30.01.2017 21:00:00.000 GMT-0500,5.91961,5.92412,5.91921,5.92341,1228.64
30.01.2017 22:00:00.000 GMT-0500,5.92331,5.92592,5.92221,5.92511,1955.47
30.01.2017 23:00:00.000 GMT-0500,5.92522,5.92712,5.92421,5.92552,1063.3101
31.01.2017 00:00:00.000 GMT-0500,5.92552,5.92721,5.92417,5.92541,878.09
31.01.2017 01:00:00.000 GMT-0500,5.92532,5.92651,5.92311,5.92322,898.62
31.01.2017 02:00:00.000 GMT-0500,5.92322,5.92613,5.92149,5.92471,2734.6399
31.01.2017 03:00:00.000 GMT-0500,5.92452,5.92502,5.91152,5.91265,4503.2202
31.01.2017 04:00:00.000 GMT-0500,5.91271,5.91721,5.91166,5.91572,2432.3799
31.01.2017 05:00:00.000 GMT-0500,5.91572,5.91833,5.91311,5.91761,1774.36
31.01.2017 06:00:00.000 GMT-0500,5.91752,5.92533,5.91461,5.92491,2895.1699
31.01.2017 07:00:00.000 GMT-0500,5.92501,5.93892,5.92452,5.93812,4040.24
31.01.2017 08:00:00.000 GMT-0500,5.93828,5.95161,5.92971,5.94792,5037.1699
31.01.2017 09:00:00.000 GMT-0500,5.94782,5.98221,5.94781,5.97100,6689.5298
31.01.2017 10:00:00.000 GMT-0500,5.97070,5.97494,5.94511,5.95293,7820.1802
31.01.2017 11:00:00.000 GMT-0500,5.95321,5.95672,5.94577,5.95451,5515.4502
31.01.2017 12:00:00.000 GMT-0500,5.95451,5.95762,5.94611,5.95121,4254.8198
31.01.2017 13:00:00.000 GMT-0500,5.95123,5.95772,5.94909,5.95572,3163.53
31.01.2017 14:00:00.000 GMT-0500,5.95572,5.96013,5.95412,5.95772,3389.9299
31.01.2017 15:00:00.000 GMT-0500,5.95776,5.96452,5.95625,5.96382,4029.71
31.01.2017 16:00:00.000 GMT-0500,5.96382,5.96392,5.95491,5.95562,1616.54
31.01.2017 17:00:00.000 GMT-0500,5.95732,5.95732,5.94822,5.94972,913.95
31.01.2017 18:00:00.000 GMT-0500,5.94964,5.95364,5.94671,5.95021,957.12
31.01.2017 19:00:00.000 GMT-0500,5.95031,5.95042,5.93561,5.93942,2712.6799
31.01.2017 20:00:00.000 GMT-0500,5.93941,5.94022,5.93408,5.93700,2158.1899
31.01.2017 21:00:00.000 GMT-0500,5.93707,5.93741,5.93238,5.93238,2195.5701
31.01.2017 22:00:00.000 GMT-0500,5.93214,5.93312,5.92733,5.93057,1832.91
31.01.2017 23:00:00.000 GMT-0500,5.93057,5.93111,5.92732,5.92968,1659.54
01.02.2017 00:00:00.000 GMT-0500,5.92971,5.93333,5.92965,5.93249,1054.63
01.02.2017 01:00:00.000 GMT-0500,5.93212,5.93281,5.92647,5.92994,2066.6201
01.02.2017 02:00:00.000 GMT-0500,5.93000,5.93642,5.92761,5.93402,3491.03
01.02.2017 03:00:00.000 GMT-0500,5.93423,5.93782,5.92981,5.93761,3307.51
01.02.2017 04:00:00.000 GMT-0500,5.93733,5.93832,5.93321,5.93361,2459.52
01.02.2017 05:00:00.000 GMT-0500,5.93372,5.94311,5.93242,5.94311,1728.08
01.02.2017 06:00:00.000 GMT-0500,5.94302,5.94922,5.93912,5.94821,1967.45
01.02.2017 07:00:00.000 GMT-0500,5.94821,5.94912,5.93981,5.93992,2112.8301
01.02.2017 08:00:00.000 GMT-0500,5.93992,5.94192,5.92681,5.93472,4271.6299
01.02.2017 09:00:00.000 GMT-0500,5.93469,5.94141,5.93291,5.93817,3668
01.02.2017 10:00:00.000 GMT-0500,5.93946,5.94070,5.92631,5.93361,5210.5498
01.02.2017 11:00:00.000 GMT-0500,5.93352,5.93962,5.92752,5.92871,3825.2
