Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,86.722,86.791,86.663,86.735,4648.5298
26.01.2017 01:00:00.000 GMT-0500,86.736,86.944,86.732,86.878,6715.3501
26.01.2017 02:00:00.000 GMT-0500,86.879,86.948,86.778,86.934,8732.2402
26.01.2017 03:00:00.000 GMT-0500,86.937,86.983,86.859,86.859,9889.5
26.01.2017 04:00:00.000 GMT-0500,86.858,87.177,86.829,87.144,11701.8096
26.01.2017 05:00:00.000 GMT-0500,87.148,87.264,87.118,87.171,10466.75
26.01.2017 06:00:00.000 GMT-0500,87.171,87.191,87.095,87.170,7697.04
26.01.2017 07:00:00.000 GMT-0500,87.170,87.201,87.091,87.165,8955.2197
26.01.2017 08:00:00.000 GMT-0500,87.169,87.193,87.064,87.140,12269.1299
26.01.2017 09:00:00.000 GMT-0500,87.138,87.382,87.128,87.295,13071.0303
26.01.2017 10:00:00.000 GMT-0500,87.294,87.580,87.243,87.561,14962.9004
26.01.2017 11:00:00.000 GMT-0500,87.562,87.605,87.396,87.528,10179.2305
26.01.2017 12:00:00.000 GMT-0500,87.529,87.545,87.414,87.539,8189.5601
26.01.2017 13:00:00.000 GMT-0500,87.540,87.540,87.289,87.341,9662.9199
26.01.2017 14:00:00.000 GMT-0500,87.342,87.413,87.298,87.358,6254.9399
26.01.2017 15:00:00.000 GMT-0500,87.357,87.477,87.336,87.409,8605.9902
26.01.2017 16:00:00.000 GMT-0500,87.409,87.516,87.364,87.515,6120.9702
26.01.2017 17:00:00.000 GMT-0500,87.516,87.581,87.462,87.509,3095.8999
26.01.2017 18:00:00.000 GMT-0500,87.506,87.581,87.407,87.418,4279.1499
26.01.2017 19:00:00.000 GMT-0500,87.415,87.530,87.395,87.530,7138.0801
26.01.2017 20:00:00.000 GMT-0500,87.528,87.733,87.475,87.696,9293.8896
26.01.2017 21:00:00.000 GMT-0500,87.696,87.763,87.682,87.729,6441.1899
26.01.2017 22:00:00.000 GMT-0500,87.727,87.754,87.654,87.693,5749.73
26.01.2017 23:00:00.000 GMT-0500,87.694,87.707,87.590,87.596,4075.3701
27.01.2017 00:00:00.000 GMT-0500,87.598,87.732,87.589,87.726,4997.0601
27.01.2017 01:00:00.000 GMT-0500,87.728,87.793,87.697,87.732,6562.0898
27.01.2017 02:00:00.000 GMT-0500,87.733,87.904,87.723,87.895,8155.52
27.01.2017 03:00:00.000 GMT-0500,87.896,87.923,87.784,87.877,9621.6396
27.01.2017 04:00:00.000 GMT-0500,87.878,87.889,87.685,87.740,8438.7803
27.01.2017 05:00:00.000 GMT-0500,87.740,87.771,87.634,87.767,8285.9902
27.01.2017 06:00:00.000 GMT-0500,87.768,87.776,87.704,87.769,6697.29
27.01.2017 07:00:00.000 GMT-0500,87.770,87.851,87.762,87.832,6566.1001
27.01.2017 08:00:00.000 GMT-0500,87.832,87.979,87.625,87.929,15543.3799
27.01.2017 09:00:00.000 GMT-0500,87.927,87.927,87.638,87.749,15607.8799
27.01.2017 10:00:00.000 GMT-0500,87.751,87.848,87.651,87.677,11834.1396
27.01.2017 11:00:00.000 GMT-0500,87.677,87.865,87.627,87.851,10335.4102
27.01.2017 12:00:00.000 GMT-0500,87.852,87.878,87.713,87.727,6257.2798
27.01.2017 13:00:00.000 GMT-0500,87.726,87.743,87.616,87.616,5838.96
27.01.2017 14:00:00.000 GMT-0500,87.615,87.664,87.583,87.609,4969.5298
27.01.2017 15:00:00.000 GMT-0500,87.608,87.663,87.587,87.651,4408.3198
27.01.2017 16:00:00.000 GMT-0500,87.649,87.653,87.456,87.557,2977.8701
29.01.2017 17:00:00.000 GMT-0500,87.398,87.549,87.388,87.515,2351.5801
29.01.2017 18:00:00.000 GMT-0500,87.492,87.533,87.273,87.332,6673.5698
29.01.2017 19:00:00.000 GMT-0500,87.331,87.378,87.263,87.305,8147.1899
29.01.2017 20:00:00.000 GMT-0500,87.306,87.306,87.117,87.151,8633.1299
29.01.2017 21:00:00.000 GMT-0500,87.159,87.183,87.103,87.113,5397.4702
29.01.2017 22:00:00.000 GMT-0500,87.108,87.148,87.060,87.144,4524.46
29.01.2017 23:00:00.000 GMT-0500,87.138,87.236,87.138,87.208,4640.6299
30.01.2017 00:00:00.000 GMT-0500,87.204,87.227,87.134,87.221,5064.7598
30.01.2017 01:00:00.000 GMT-0500,87.222,87.272,87.210,87.262,4139.9902
30.01.2017 02:00:00.000 GMT-0500,87.263,87.352,87.238,87.299,7072.5698
30.01.2017 03:00:00.000 GMT-0500,87.297,87.390,87.270,87.292,11078.5898
30.01.2017 04:00:00.000 GMT-0500,87.292,87.321,87.206,87.234,8942.2197
30.01.2017 05:00:00.000 GMT-0500,87.235,87.251,87.147,87.188,6981.8901
30.01.2017 06:00:00.000 GMT-0500,87.186,87.240,87.088,87.135,8336.1504
30.01.2017 07:00:00.000 GMT-0500,87.137,87.230,87.110,87.137,9859.7402
30.01.2017 08:00:00.000 GMT-0500,87.134,87.272,86.971,87.266,12327.29
30.01.2017 09:00:00.000 GMT-0500,87.266,87.271,86.868,87.013,12086.71
30.01.2017 10:00:00.000 GMT-0500,87.015,87.088,86.842,86.987,15361.75
30.01.2017 11:00:00.000 GMT-0500,86.983,87.011,86.854,86.977,11314.7695
30.01.2017 12:00:00.000 GMT-0500,86.976,86.976,86.717,86.736,9760.3203
30.01.2017 13:00:00.000 GMT-0500,86.736,86.771,86.627,86.649,7227.54
30.01.2017 14:00:00.000 GMT-0500,86.650,86.738,86.640,86.676,6918.6201
30.01.2017 15:00:00.000 GMT-0500,86.682,86.731,86.572,86.684,6507.6201
30.01.2017 16:00:00.000 GMT-0500,86.679,86.812,86.665,86.745,3638.0801
30.01.2017 17:00:00.000 GMT-0500,86.745,86.773,86.696,86.744,2150.8999
30.01.2017 18:00:00.000 GMT-0500,86.740,86.853,86.711,86.768,4708.5498
30.01.2017 19:00:00.000 GMT-0500,86.763,86.837,86.689,86.833,6801.0498
30.01.2017 20:00:00.000 GMT-0500,86.831,86.880,86.717,86.755,5881.3599
30.01.2017 21:00:00.000 GMT-0500,86.755,86.792,86.614,86.666,7625.1802
30.01.2017 22:00:00.000 GMT-0500,86.665,86.817,86.490,86.696,9825.4004
30.01.2017 23:00:00.000 GMT-0500,86.696,86.779,86.613,86.727,6077.3398
31.01.2017 00:00:00.000 GMT-0500,86.729,86.737,86.636,86.677,5258.1802
31.01.2017 01:00:00.000 GMT-0500,86.675,86.753,86.574,86.703,6562.1099
31.01.2017 02:00:00.000 GMT-0500,86.706,86.847,86.681,86.692,9245.5
31.01.2017 03:00:00.000 GMT-0500,86.689,86.848,86.669,86.836,12727.6299
31.01.2017 04:00:00.000 GMT-0500,86.836,86.873,86.768,86.812,9924.29
31.01.2017 05:00:00.000 GMT-0500,86.808,86.856,86.739,86.794,9560.29
31.01.2017 06:00:00.000 GMT-0500,86.793,86.878,86.691,86.699,10340.9102
31.01.2017 07:00:00.000 GMT-0500,86.702,86.743,86.572,86.730,10994.46
31.01.2017 08:00:00.000 GMT-0500,86.730,86.944,86.701,86.857,11223.9297
31.01.2017 09:00:00.000 GMT-0500,86.857,86.961,86.430,86.458,18031.7891
31.01.2017 10:00:00.000 GMT-0500,86.462,86.503,86.126,86.377,18373.9004
31.01.2017 11:00:00.000 GMT-0500,86.377,86.571,86.293,86.503,14471.8496
31.01.2017 12:00:00.000 GMT-0500,86.506,86.860,86.487,86.680,12356.6504
31.01.2017 13:00:00.000 GMT-0500,86.678,86.695,86.467,86.502,8273.6201
31.01.2017 14:00:00.000 GMT-0500,86.501,86.595,86.367,86.544,9667.3496
31.01.2017 15:00:00.000 GMT-0500,86.543,86.795,86.542,86.773,8789.04
31.01.2017 16:00:00.000 GMT-0500,86.770,86.785,86.565,86.577,5184.1899
31.01.2017 17:00:00.000 GMT-0500,86.577,86.633,86.376,86.408,3788.9399
31.01.2017 18:00:00.000 GMT-0500,86.409,86.505,86.369,86.498,4631.54
31.01.2017 19:00:00.000 GMT-0500,86.500,86.552,86.366,86.459,8680.5098
31.01.2017 20:00:00.000 GMT-0500,86.461,86.550,86.404,86.530,9260.5
31.01.2017 21:00:00.000 GMT-0500,86.529,86.553,86.430,86.437,7817
31.01.2017 22:00:00.000 GMT-0500,86.433,86.511,86.351,86.486,6541.46
31.01.2017 23:00:00.000 GMT-0500,86.484,86.563,86.435,86.526,6716.3999
