Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,1.41681,1.41714,1.41624,1.41632,780.72
26.01.2017 01:00:00.000 GMT-0500,1.41632,1.41725,1.41605,1.41703,1102.62
26.01.2017 02:00:00.000 GMT-0500,1.41715,1.42003,1.41645,1.41884,1637.51
26.01.2017 03:00:00.000 GMT-0500,1.41874,1.42129,1.41844,1.42015,1613
26.01.2017 04:00:00.000 GMT-0500,1.42015,1.42425,1.42015,1.42255,1752.11
26.01.2017 05:00:00.000 GMT-0500,1.42255,1.42355,1.42095,1.42224,1136.23
26.01.2017 06:00:00.000 GMT-0500,1.42224,1.42454,1.42204,1.42431,862.2
26.01.2017 07:00:00.000 GMT-0500,1.42424,1.42665,1.42415,1.42431,1561.35
26.01.2017 08:00:00.000 GMT-0500,1.42431,1.42555,1.42344,1.42475,2693.98
26.01.2017 09:00:00.000 GMT-0500,1.42484,1.42735,1.42394,1.42555,2503.8201
26.01.2017 10:00:00.000 GMT-0500,1.42564,1.42645,1.42415,1.42484,3206.6101
26.01.2017 11:00:00.000 GMT-0500,1.42478,1.42486,1.42184,1.42395,1761.14
26.01.2017 12:00:00.000 GMT-0500,1.42385,1.42584,1.42355,1.42523,1304.77
26.01.2017 13:00:00.000 GMT-0500,1.42520,1.42585,1.42424,1.42431,1220.95
26.01.2017 14:00:00.000 GMT-0500,1.42434,1.42505,1.42414,1.42468,1178.04
26.01.2017 15:00:00.000 GMT-0500,1.42472,1.42542,1.42360,1.42457,1960.4399
26.01.2017 16:00:00.000 GMT-0500,1.42445,1.42720,1.42402,1.42715,1501.27
26.01.2017 17:00:00.000 GMT-0500,1.42733,1.42853,1.42585,1.42796,142.5
26.01.2017 18:00:00.000 GMT-0500,1.42794,1.42794,1.42554,1.42705,416.75
26.01.2017 19:00:00.000 GMT-0500,1.42705,1.42775,1.42564,1.42594,1319.49
26.01.2017 20:00:00.000 GMT-0500,1.42605,1.42605,1.42444,1.42495,2148
26.01.2017 21:00:00.000 GMT-0500,1.42495,1.42622,1.42484,1.42554,1177.24
26.01.2017 22:00:00.000 GMT-0500,1.42560,1.42575,1.42461,1.42514,1088.75
26.01.2017 23:00:00.000 GMT-0500,1.42514,1.42605,1.42465,1.42555,829.5
27.01.2017 00:00:00.000 GMT-0500,1.42555,1.42674,1.42504,1.42586,1048.25
27.01.2017 01:00:00.000 GMT-0500,1.42583,1.42695,1.42583,1.42645,1777.48
27.01.2017 02:00:00.000 GMT-0500,1.42648,1.42675,1.42505,1.42655,1500.13
27.01.2017 03:00:00.000 GMT-0500,1.42645,1.42804,1.42584,1.42761,1120.62
27.01.2017 04:00:00.000 GMT-0500,1.42752,1.42885,1.42714,1.42724,975.44
27.01.2017 05:00:00.000 GMT-0500,1.42735,1.42805,1.42593,1.42602,780.62
27.01.2017 06:00:00.000 GMT-0500,1.42604,1.42775,1.42584,1.42715,693.74
27.01.2017 07:00:00.000 GMT-0500,1.42705,1.42822,1.42594,1.42694,1323.59
27.01.2017 08:00:00.000 GMT-0500,1.42704,1.43001,1.42674,1.42993,4193.1201
27.01.2017 09:00:00.000 GMT-0500,1.42993,1.43145,1.42905,1.43045,4769.8398
27.01.2017 10:00:00.000 GMT-0500,1.43043,1.43096,1.42924,1.43035,3054.4299
27.01.2017 11:00:00.000 GMT-0500,1.43035,1.43065,1.42892,1.42984,1966.16
27.01.2017 12:00:00.000 GMT-0500,1.42984,1.43100,1.42934,1.43045,1107.8101
27.01.2017 13:00:00.000 GMT-0500,1.43045,1.43125,1.42995,1.43033,839.06
27.01.2017 14:00:00.000 GMT-0500,1.43035,1.43245,1.43014,1.43200,676.73
27.01.2017 15:00:00.000 GMT-0500,1.43200,1.43445,1.43158,1.43411,1089.08
27.01.2017 16:00:00.000 GMT-0500,1.43415,1.43503,1.43320,1.43383,813.42
29.01.2017 17:00:00.000 GMT-0500,1.43415,1.43554,1.43264,1.43305,164.75
29.01.2017 18:00:00.000 GMT-0500,1.43294,1.43305,1.43204,1.43235,469.9
29.01.2017 19:00:00.000 GMT-0500,1.43231,1.43325,1.43004,1.43024,674.48
29.01.2017 20:00:00.000 GMT-0500,1.43033,1.43095,1.42952,1.42975,729.25
29.01.2017 21:00:00.000 GMT-0500,1.42965,1.43035,1.42834,1.42835,446.24
29.01.2017 22:00:00.000 GMT-0500,1.42845,1.42895,1.42824,1.42893,265.5
