Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,1.42095,1.42163,1.42003,1.42027,5479.0801
26.01.2017 01:00:00.000 GMT-0500,1.42025,1.42036,1.41897,1.41999,7180.4502
26.01.2017 02:00:00.000 GMT-0500,1.41989,1.42144,1.41963,1.42022,10565.1904
26.01.2017 03:00:00.000 GMT-0500,1.42020,1.42204,1.41975,1.42139,11459.79
26.01.2017 04:00:00.000 GMT-0500,1.42143,1.42197,1.42018,1.42158,11794.1396
26.01.2017 05:00:00.000 GMT-0500,1.42160,1.42229,1.41978,1.42015,11060.1201
26.01.2017 06:00:00.000 GMT-0500,1.42015,1.42206,1.41981,1.42156,11689.5498
26.01.2017 07:00:00.000 GMT-0500,1.42152,1.42296,1.42138,1.42205,13961.5703
26.01.2017 08:00:00.000 GMT-0500,1.42210,1.42225,1.41752,1.41832,16410.6504
26.01.2017 09:00:00.000 GMT-0500,1.41828,1.41924,1.41641,1.41730,15229.7695
26.01.2017 10:00:00.000 GMT-0500,1.41730,1.41820,1.41610,1.41670,15362.9102
26.01.2017 11:00:00.000 GMT-0500,1.41667,1.41754,1.41604,1.41693,11854.2402
26.01.2017 12:00:00.000 GMT-0500,1.41691,1.41786,1.41671,1.41765,6965.3701
26.01.2017 13:00:00.000 GMT-0500,1.41765,1.41813,1.41707,1.41782,7923.8101
26.01.2017 14:00:00.000 GMT-0500,1.41783,1.41789,1.41643,1.41681,5217.2798
26.01.2017 15:00:00.000 GMT-0500,1.41683,1.41829,1.41617,1.41691,7453.8799
26.01.2017 16:00:00.000 GMT-0500,1.41690,1.41819,1.41626,1.41807,5549.5098
26.01.2017 17:00:00.000 GMT-0500,1.41807,1.41927,1.41671,1.41892,2792.8401
26.01.2017 18:00:00.000 GMT-0500,1.41891,1.41919,1.41778,1.41849,4798.7798
26.01.2017 19:00:00.000 GMT-0500,1.41860,1.41906,1.41759,1.41856,5495.6802
26.01.2017 20:00:00.000 GMT-0500,1.41856,1.41905,1.41715,1.41779,8948.5996
26.01.2017 21:00:00.000 GMT-0500,1.41779,1.41828,1.41697,1.41710,6519.3198
26.01.2017 22:00:00.000 GMT-0500,1.41707,1.41805,1.41693,1.41727,5310.6201
26.01.2017 23:00:00.000 GMT-0500,1.41727,1.41836,1.41662,1.41820,4835.0601
27.01.2017 00:00:00.000 GMT-0500,1.41820,1.41842,1.41711,1.41773,5768.6401
27.01.2017 01:00:00.000 GMT-0500,1.41778,1.41967,1.41674,1.41891,8746.5801
27.01.2017 02:00:00.000 GMT-0500,1.41889,1.41910,1.41682,1.41802,10689.4902
27.01.2017 03:00:00.000 GMT-0500,1.41799,1.42151,1.41696,1.42136,11826.6104
27.01.2017 04:00:00.000 GMT-0500,1.42136,1.42254,1.41969,1.42005,11389.4404
27.01.2017 05:00:00.000 GMT-0500,1.42007,1.42016,1.41765,1.41868,10085.8096
27.01.2017 06:00:00.000 GMT-0500,1.41866,1.41968,1.41853,1.41932,8352.3398
27.01.2017 07:00:00.000 GMT-0500,1.41931,1.41967,1.41669,1.41700,9393.5996
27.01.2017 08:00:00.000 GMT-0500,1.41702,1.41807,1.41584,1.41587,16348.2695
27.01.2017 09:00:00.000 GMT-0500,1.41588,1.41723,1.41458,1.41681,16819.3398
27.01.2017 10:00:00.000 GMT-0500,1.41681,1.41849,1.41611,1.41729,13825.1904
27.01.2017 11:00:00.000 GMT-0500,1.41729,1.41791,1.41630,1.41638,11373.2695
27.01.2017 12:00:00.000 GMT-0500,1.41638,1.41673,1.41548,1.41573,6546.8599
27.01.2017 13:00:00.000 GMT-0500,1.41572,1.41701,1.41570,1.41656,5032.9199
27.01.2017 14:00:00.000 GMT-0500,1.41654,1.41688,1.41598,1.41675,3781.8601
27.01.2017 15:00:00.000 GMT-0500,1.41675,1.41730,1.41639,1.41697,3685.3899
27.01.2017 16:00:00.000 GMT-0500,1.41697,1.41800,1.41694,1.41800,2587.8701
29.01.2017 17:00:00.000 GMT-0500,1.41844,1.41868,1.41682,1.41757,1131.0699
29.01.2017 18:00:00.000 GMT-0500,1.41767,1.41899,1.41724,1.41881,5934.2598
29.01.2017 19:00:00.000 GMT-0500,1.41881,1.42032,1.41866,1.42013,5827.3901
29.01.2017 20:00:00.000 GMT-0500,1.42013,1.42147,1.41959,1.42067,6324.3301
29.01.2017 21:00:00.000 GMT-0500,1.42064,1.42155,1.42001,1.42117,4126
29.01.2017 22:00:00.000 GMT-0500,1.42119,1.42175,1.42078,1.42102,4063.9299
29.01.2017 23:00:00.000 GMT-0500,1.42102,1.42139,1.42017,1.42093,3982.7
30.01.2017 00:00:00.000 GMT-0500,1.42093,1.42116,1.42060,1.42062,3731.96
30.01.2017 01:00:00.000 GMT-0500,1.42061,1.42126,1.42000,1.42016,4024.3899
30.01.2017 02:00:00.000 GMT-0500,1.42016,1.42040,1.41742,1.41744,7668.0498
30.01.2017 03:00:00.000 GMT-0500,1.41747,1.41873,1.41741,1.41744,10971.9102
30.01.2017 04:00:00.000 GMT-0500,1.41746,1.41760,1.41569,1.41672,8567.8604
30.01.2017 05:00:00.000 GMT-0500,1.41672,1.41716,1.41516,1.41520,7632.8999
