Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,1.40528,1.40653,1.40522,1.40558,7481.75
26.01.2017 01:00:00.000 GMT-0500,1.40556,1.40560,1.40434,1.40476,8114.3501
26.01.2017 02:00:00.000 GMT-0500,1.40470,1.40583,1.40427,1.40444,10166.5303
26.01.2017 03:00:00.000 GMT-0500,1.40439,1.40599,1.40388,1.40571,9786.1504
26.01.2017 04:00:00.000 GMT-0500,1.40572,1.40602,1.40431,1.40459,10528.5498
26.01.2017 05:00:00.000 GMT-0500,1.40462,1.40609,1.40431,1.40577,10140.8799
26.01.2017 06:00:00.000 GMT-0500,1.40574,1.40712,1.40533,1.40667,9470.46
26.01.2017 07:00:00.000 GMT-0500,1.40663,1.40776,1.40573,1.40601,10306.7197
26.01.2017 08:00:00.000 GMT-0500,1.40597,1.40622,1.40201,1.40261,14509.1299
26.01.2017 09:00:00.000 GMT-0500,1.40262,1.40288,1.39667,1.39916,14997.6904
26.01.2017 10:00:00.000 GMT-0500,1.39916,1.40088,1.39800,1.39841,15504.0195
26.01.2017 11:00:00.000 GMT-0500,1.39839,1.39967,1.39768,1.39828,11178.8398
26.01.2017 12:00:00.000 GMT-0500,1.39829,1.40031,1.39822,1.39940,6849.1699
26.01.2017 13:00:00.000 GMT-0500,1.39943,1.40167,1.39927,1.40053,9456.9805
26.01.2017 14:00:00.000 GMT-0500,1.40054,1.40127,1.39989,1.40058,6281.6201
26.01.2017 15:00:00.000 GMT-0500,1.40056,1.40082,1.39826,1.39836,9274.7695
26.01.2017 16:00:00.000 GMT-0500,1.39830,1.40025,1.39786,1.39845,6185.9102
26.01.2017 17:00:00.000 GMT-0500,1.39859,1.39978,1.39792,1.39858,3107.6101
26.01.2017 18:00:00.000 GMT-0500,1.39866,1.39899,1.39779,1.39862,3648.4399
26.01.2017 19:00:00.000 GMT-0500,1.39864,1.39988,1.39846,1.39960,5412.8799
26.01.2017 20:00:00.000 GMT-0500,1.39962,1.40011,1.39916,1.39956,7950.3501
26.01.2017 21:00:00.000 GMT-0500,1.39958,1.39984,1.39874,1.39895,6040.0898
26.01.2017 22:00:00.000 GMT-0500,1.39898,1.39992,1.39885,1.39982,5029.2002
26.01.2017 23:00:00.000 GMT-0500,1.39981,1.40061,1.39965,1.40061,4794.4502
27.01.2017 00:00:00.000 GMT-0500,1.40059,1.40061,1.39941,1.39962,5673.29
27.01.2017 01:00:00.000 GMT-0500,1.39961,1.40051,1.39939,1.40040,6722.5601
27.01.2017 02:00:00.000 GMT-0500,1.40040,1.40045,1.39826,1.39934,8546.5195
27.01.2017 03:00:00.000 GMT-0500,1.39933,1.40130,1.39871,1.40103,11059
