Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,27.0251,27.0608,27.0232,27.0283,1709.33
26.01.2017 01:00:00.000 GMT-0500,27.0252,27.0556,27.0238,27.0274,1360.72
26.01.2017 02:00:00.000 GMT-0500,27.0273,27.0485,27.0215,27.0277,4498.0698
26.01.2017 03:00:00.000 GMT-0500,27.0241,27.0316,27.0212,27.0258,4226.02
26.01.2017 04:00:00.000 GMT-0500,27.0271,27.0321,27.0215,27.0252,4811.5498
26.01.2017 05:00:00.000 GMT-0500,27.0252,27.0383,27.0212,27.0257,2883.9199
26.01.2017 06:00:00.000 GMT-0500,27.0232,27.0328,27.0214,27.0250,2719.6201
26.01.2017 07:00:00.000 GMT-0500,27.0251,27.0329,27.0214,27.0275,3123.55
26.01.2017 08:00:00.000 GMT-0500,27.0268,27.0346,27.0215,27.0217,1820.24
26.01.2017 09:00:00.000 GMT-0500,27.0219,27.0349,27.0211,27.0239,3100.22
26.01.2017 10:00:00.000 GMT-0500,27.0215,27.0311,27.0208,27.0239,855.684
26.01.2017 11:00:00.000 GMT-0500,27.0243,27.0393,27.0214,27.0341,596.816
26.01.2017 12:00:00.000 GMT-0500,27.0239,27.0408,27.0208,27.0254,234.374
26.01.2017 13:00:00.000 GMT-0500,27.0260,27.0397,27.0208,27.0321,449.727
26.01.2017 14:00:00.000 GMT-0500,27.0288,27.0409,27.0222,27.0328,1198.98
26.01.2017 15:00:00.000 GMT-0500,27.0263,27.0407,27.0215,27.0258,735.123
26.01.2017 16:00:00.000 GMT-0500,27.0238,27.0413,27.0213,27.0263,213.605
26.01.2017 17:00:00.000 GMT-0500,27.0256,27.0607,27.0213,27.0416,416.744
26.01.2017 18:00:00.000 GMT-0500,27.0331,27.0594,27.0222,27.0252,760.06
26.01.2017 19:00:00.000 GMT-0500,27.0266,27.0603,27.0221,27.0252,1538.64
26.01.2017 20:00:00.000 GMT-0500,27.0271,27.0612,27.0225,27.0345,940.33
26.01.2017 21:00:00.000 GMT-0500,27.0292,27.0617,27.0229,27.0253,288.236
26.01.2017 22:00:00.000 GMT-0500,27.0247,27.0606,27.0221,27.0257,174.949
26.01.2017 23:00:00.000 GMT-0500,27.0259,27.0618,27.0217,27.0240,180.407
27.01.2017 00:00:00.000 GMT-0500,27.0245,27.0613,27.0215,27.0269,1170.36
27.01.2017 01:00:00.000 GMT-0500,27.0249,27.0621,27.0224,27.0243,4725.7402
27.01.2017 02:00:00.000 GMT-0500,27.0231,27.0483,27.0215,27.0244,5479.25
27.01.2017 03:00:00.000 GMT-0500,27.0234,27.0424,27.0215,27.0264,4165.6699
27.01.2017 04:00:00.000 GMT-0500,27.0261,27.0349,27.0215,27.0249,4108.1802
27.01.2017 05:00:00.000 GMT-0500,27.0247,27.0349,27.0215,27.0229,5043.98
27.01.2017 06:00:00.000 GMT-0500,27.0247,27.0397,27.0215,27.0274,2610.6499
27.01.2017 07:00:00.000 GMT-0500,27.0309,27.0397,27.0215,27.0224,4159.6401
27.01.2017 08:00:00.000 GMT-0500,27.0221,27.0491,27.0212,27.0263,4791.7202
27.01.2017 09:00:00.000 GMT-0500,27.0279,27.0376,27.0217,27.0232,3184.54
27.01.2017 10:00:00.000 GMT-0500,27.0222,27.0401,27.0214,27.0222,4997.71
27.01.2017 11:00:00.000 GMT-0500,27.0258,27.0460,27.0214,27.0276,4828.23
27.01.2017 12:00:00.000 GMT-0500,27.0272,27.0462,27.0221,27.0258,3464.3
27.01.2017 13:00:00.000 GMT-0500,27.0251,27.0460,27.0214,27.0300,921.5
27.01.2017 14:00:00.000 GMT-0500,27.0318,27.0451,27.0228,27.0253,2256
27.01.2017 15:00:00.000 GMT-0500,27.0250,27.0438,27.0220,27.0240,991.77
27.01.2017 16:00:00.000 GMT-0500,27.0239,27.0691,27.0222,27.0418,990.34
29.01.2017 17:00:00.000 GMT-0500,27.0271,27.1665,27.0245,27.0844,5766.2002
29.01.2017 18:00:00.000 GMT-0500,27.0776,27.1131,27.0248,27.0276,544.04
29.01.2017 19:00:00.000 GMT-0500,27.0307,27.1153,27.0251,27.0317,483.485
29.01.2017 20:00:00.000 GMT-0500,27.0327,27.1169,27.0255,27.1102,322.792
29.01.2017 21:00:00.000 GMT-0500,27.0918,27.1179,27.0262,27.0384,293.553
29.01.2017 22:00:00.000 GMT-0500,27.0372,27.1150,27.0264,27.0286,319.372
29.01.2017 23:00:00.000 GMT-0500,27.0297,27.1137,27.0261,27.0340,335.754
30.01.2017 00:00:00.000 GMT-0500,27.0295,27.1616,27.0262,27.0461,398.266
30.01.2017 01:00:00.000 GMT-0500,27.0426,27.0953,27.0256,27.0280,1147.58
30.01.2017 02:00:00.000 GMT-0500,27.0259,27.0936,27.0222,27.0265,1044.42
30.01.2017 03:00:00.000 GMT-0500,27.0279,27.0391,27.0226,27.0244,442.98
30.01.2017 04:00:00.000 GMT-0500,27.0258,27.0397,27.0225,27.0273,415.231
30.01.2017 05:00:00.000 GMT-0500,27.0291,27.0409,27.0215,27.0246,538.95
30.01.2017 06:00:00.000 GMT-0500,27.0243,27.0371,27.0214,27.0234,1380.45
30.01.2017 07:00:00.000 GMT-0500,27.0232,27.0374,27.0208,27.0236,872.798
30.01.2017 08:00:00.000 GMT-0500,27.0244,27.0358,27.0210,27.0230,661.171
30.01.2017 09:00:00.000 GMT-0500,27.0236,27.0388,27.0213,27.0217,1253.5861
30.01.2017 10:00:00.000 GMT-0500,27.0225,27.0355,27.0210,27.0275,1431.334
30.01.2017 11:00:00.000 GMT-0500,27.0309,27.0474,27.0213,27.0250,433.944
30.01.2017 12:00:00.000 GMT-0500,27.0249,27.0449,27.0216,27.0249,359.373
30.01.2017 13:00:00.000 GMT-0500,27.0278,27.0449,27.0223,27.0352,592.004
30.01.2017 14:00:00.000 GMT-0500,27.0306,27.0438,27.0220,27.0319,566.74
30.01.2017 15:00:00.000 GMT-0500,27.0300,27.0423,27.0222,27.0385,383.054
30.01.2017 16:00:00.000 GMT-0500,27.0261,27.0433,27.0207,27.0257,248.037
30.01.2017 17:00:00.000 GMT-0500,27.0259,27.0617,27.0217,27.0252,501.02
30.01.2017 18:00:00.000 GMT-0500,27.0276,27.0608,27.0213,27.0249,572.76
30.01.2017 19:00:00.000 GMT-0500,27.0246,27.0607,27.0218,27.0248,1229
30.01.2017 20:00:00.000 GMT-0500,27.0260,27.0608,27.0217,27.0281,1355.6801
30.01.2017 21:00:00.000 GMT-0500,27.0259,27.0608,27.0217,27.0275,980.63
30.01.2017 22:00:00.000 GMT-0500,27.0240,27.0608,27.0217,27.0589,1111.115
30.01.2017 23:00:00.000 GMT-0500,27.0546,27.0608,27.0217,27.0248,598.58
31.01.2017 00:00:00.000 GMT-0500,27.0251,27.0608,27.0218,27.0292,939.855
31.01.2017 01:00:00.000 GMT-0500,27.0278,27.0561,27.0217,27.0254,5981
31.01.2017 02:00:00.000 GMT-0500,27.0258,27.0441,27.0216,27.0236,4479.8799
31.01.2017 03:00:00.000 GMT-0500,27.0227,27.0355,27.0215,27.0259,2931.8
31.01.2017 04:00:00.000 GMT-0500,27.0261,27.0422,27.0218,27.0294,2437.96
31.01.2017 05:00:00.000 GMT-0500,27.0295,27.0385,27.0214,27.0240,1705.45
31.01.2017 06:00:00.000 GMT-0500,27.0245,27.0391,27.0215,27.0253,3381
31.01.2017 07:00:00.000 GMT-0500,27.0257,27.0388,27.0205,27.0249,5112.1099
31.01.2017 08:00:00.000 GMT-0500,27.0245,27.0373,27.0214,27.0267,4416.8501
31.01.2017 09:00:00.000 GMT-0500,27.0292,27.0407,27.0213,27.0215,4849.1401
31.01.2017 10:00:00.000 GMT-0500,27.0221,27.0390,27.0207,27.0228,2918.6201
31.01.2017 11:00:00.000 GMT-0500,27.0224,27.0440,27.0213,27.0351,2301.5601
31.01.2017 12:00:00.000 GMT-0500,27.0276,27.0460,27.0216,27.0259,845.64
31.01.2017 13:00:00.000 GMT-0500,27.0295,27.0438,27.0229,27.0296,1118.83
31.01.2017 14:00:00.000 GMT-0500,27.0291,27.0450,27.0218,27.0385,739.41
31.01.2017 15:00:00.000 GMT-0500,27.0365,27.0413,27.0221,27.0264,1537.78
31.01.2017 16:00:00.000 GMT-0500,27.0222,27.0413,27.0217,27.0270,179.217
31.01.2017 17:00:00.000 GMT-0500,27.0253,27.0616,27.0207,27.0283,316.904
31.01.2017 18:00:00.000 GMT-0500,27.0342,27.0604,27.0222,27.0240,269.562
31.01.2017 19:00:00.000 GMT-0500,27.0254,27.0609,27.0226,27.0285,238.049
31.01.2017 20:00:00.000 GMT-0500,27.0269,27.0590,27.0225,27.0270,269.359
31.01.2017 21:00:00.000 GMT-0500,27.0279,27.0588,27.0225,27.0244,345.203
31.01.2017 22:00:00.000 GMT-0500,27.0252,27.0605,27.0230,27.0260,295.253
31.01.2017 23:00:00.000 GMT-0500,27.0246,27.0607,27.0225,27.0261,173.506
01.02.2017 00:00:00.000 GMT-0500,27.0257,27.0606,27.0225,27.0272,287.811
01.02.2017 01:00:00.000 GMT-0500,27.0286,27.0480,27.0225,27.0243,939.86
01.02.2017 02:00:00.000 GMT-0500,27.0259,27.0516,27.0215,27.0262,3960.6699
01.02.2017 03:00:00.000 GMT-0500,27.0234,27.0416,27.0212,27.0226,848.14
01.02.2017 04:00:00.000 GMT-0500,27.0223,27.0374,27.0215,27.0263,1067.1
01.02.2017 05:00:00.000 GMT-0500,27.0220,27.0332,27.0213,27.0239,883.48
01.02.2017 06:00:00.000 GMT-0500,27.0249,27.0364,27.0206,27.0239,1662.14
01.02.2017 07:00:00.000 GMT-0500,27.0248,27.0340,27.0205,27.0236,1627.7
01.02.2017 08:00:00.000 GMT-0500,27.0257,27.0576,27.0205,27.0261,3038.27
01.02.2017 09:00:00.000 GMT-0500,27.0304,27.0348,27.0210,27.0278,3212.3899
01.02.2017 10:00:00.000 GMT-0500,27.0277,27.0381,27.0213,27.0263,1631.472
