Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,7.43673,7.43703,7.43656,7.43661,53.6
26.01.2017 01:00:00.000 GMT-0500,7.43657,7.43703,7.43631,7.43670,161.94
26.01.2017 02:00:00.000 GMT-0500,7.43657,7.43673,7.43656,7.43662,134.8
26.01.2017 03:00:00.000 GMT-0500,7.43662,7.43670,7.43662,7.43663,121.1
26.01.2017 04:00:00.000 GMT-0500,7.43663,7.43672,7.43655,7.43656,141.85
26.01.2017 05:00:00.000 GMT-0500,7.43658,7.43673,7.43658,7.43672,164.45
26.01.2017 06:00:00.000 GMT-0500,7.43671,7.43672,7.43661,7.43666,128.55
26.01.2017 07:00:00.000 GMT-0500,7.43672,7.43738,7.43657,7.43687,430.9
26.01.2017 08:00:00.000 GMT-0500,7.43684,7.43693,7.43667,7.43680,336.64
26.01.2017 09:00:00.000 GMT-0500,7.43676,7.43683,7.43669,7.43677,155.1
26.01.2017 10:00:00.000 GMT-0500,7.43671,7.43692,7.43671,7.43688,160.35
26.01.2017 11:00:00.000 GMT-0500,7.43683,7.43693,7.43652,7.43663,286.55
26.01.2017 12:00:00.000 GMT-0500,7.43667,7.43723,7.43662,7.43718,224.65
26.01.2017 13:00:00.000 GMT-0500,7.43718,7.43719,7.43698,7.43709,126.77
26.01.2017 14:00:00.000 GMT-0500,7.43708,7.43718,7.43706,7.43716,85.7
26.01.2017 15:00:00.000 GMT-0500,7.43716,7.43719,7.43715,7.43716,122.7
26.01.2017 16:00:00.000 GMT-0500,7.43715,7.43753,7.43713,7.43728,147.05
26.01.2017 17:00:00.000 GMT-0500,7.43751,7.43751,7.43693,7.43723,78.28
26.01.2017 18:00:00.000 GMT-0500,7.43723,7.43723,7.43695,7.43703,59.67
26.01.2017 19:00:00.000 GMT-0500,7.43706,7.43723,7.43701,7.43709,58
26.01.2017 20:00:00.000 GMT-0500,7.43708,7.43723,7.43697,7.43697,72
26.01.2017 21:00:00.000 GMT-0500,7.43710,7.43723,7.43698,7.43709,59
26.01.2017 22:00:00.000 GMT-0500,7.43723,7.43723,7.43690,7.43708,68.6
26.01.2017 23:00:00.000 GMT-0500,7.43723,7.43723,7.43690,7.43709,39
27.01.2017 00:00:00.000 GMT-0500,7.43709,7.43723,7.43694,7.43709,44
27.01.2017 01:00:00.000 GMT-0500,7.43709,7.43723,7.43671,7.43712,1026
27.01.2017 02:00:00.000 GMT-0500,7.43712,7.43737,7.43687,7.43692,109.15
27.01.2017 03:00:00.000 GMT-0500,7.43691,7.43693,7.43678,7.43678,61.6
27.01.2017 04:00:00.000 GMT-0500,7.43679,7.43730,7.43679,7.43718,124.94
27.01.2017 05:00:00.000 GMT-0500,7.43715,7.43733,7.43705,7.43706,164.6
27.01.2017 06:00:00.000 GMT-0500,7.43708,7.43741,7.43703,7.43710,270.65
27.01.2017 07:00:00.000 GMT-0500,7.43712,7.43712,7.43690,7.43711,224.1
27.01.2017 08:00:00.000 GMT-0500,7.43712,7.43713,7.43703,7.43712,567.5
27.01.2017 09:00:00.000 GMT-0500,7.43712,7.43713,7.43690,7.43692,336.8
27.01.2017 10:00:00.000 GMT-0500,7.43692,7.43693,7.43645,7.43656,301
27.01.2017 11:00:00.000 GMT-0500,7.43652,7.43717,7.43652,7.43707,664.4
27.01.2017 12:00:00.000 GMT-0500,7.43707,7.43745,7.43691,7.43733,509.65
27.01.2017 13:00:00.000 GMT-0500,7.43737,7.43767,7.43736,7.43762,212.09
27.01.2017 14:00:00.000 GMT-0500,7.43761,7.43813,7.43761,7.43768,158.81
27.01.2017 15:00:00.000 GMT-0500,7.43767,7.43798,7.43767,7.43773,113.4
27.01.2017 16:00:00.000 GMT-0500,7.43776,7.43849,7.43775,7.43813,92.45
29.01.2017 17:00:00.000 GMT-0500,7.43812,7.43813,7.43736,7.43813,31.81
29.01.2017 18:00:00.000 GMT-0500,7.43810,7.43813,7.43750,7.43779,543
29.01.2017 19:00:00.000 GMT-0500,7.43779,7.43783,7.43769,7.43772,16087
29.01.2017 20:00:00.000 GMT-0500,7.43776,7.43779,7.43769,7.43772,15551
29.01.2017 21:00:00.000 GMT-0500,7.43776,7.43779,7.43769,7.43771,16520.7793
29.01.2017 22:00:00.000 GMT-0500,7.43776,7.43779,7.43769,7.43778,16466.5
29.01.2017 23:00:00.000 GMT-0500,7.43771,7.43779,7.43769,7.43772,16473.5
30.01.2017 00:00:00.000 GMT-0500,7.43778,7.43779,7.43763,7.43774,13727.5
30.01.2017 01:00:00.000 GMT-0500,7.43776,7.43813,7.43679,7.43687,4602.48
30.01.2017 02:00:00.000 GMT-0500,7.43693,7.43763,7.43686,7.43751,185.57
30.01.2017 03:00:00.000 GMT-0500,7.43754,7.43762,7.43741,7.43741,183.6
30.01.2017 04:00:00.000 GMT-0500,7.43743,7.43753,7.43735,7.43749,474
30.01.2017 05:00:00.000 GMT-0500,7.43753,7.43761,7.43737,7.43745,340.55
30.01.2017 06:00:00.000 GMT-0500,7.43760,7.43771,7.43736,7.43754,155.55
30.01.2017 07:00:00.000 GMT-0500,7.43762,7.43772,7.43746,7.43770,214.34
30.01.2017 08:00:00.000 GMT-0500,7.43766,7.43786,7.43741,7.43773,176.95
30.01.2017 09:00:00.000 GMT-0500,7.43776,7.43794,7.43740,7.43760,251.45
30.01.2017 10:00:00.000 GMT-0500,7.43765,7.43799,7.43732,7.43798,559.2
30.01.2017 11:00:00.000 GMT-0500,7.43795,7.43945,7.43736,7.43775,467.59
30.01.2017 12:00:00.000 GMT-0500,7.43775,7.43803,7.43770,7.43789,115.45
30.01.2017 13:00:00.000 GMT-0500,7.43793,7.43803,7.43777,7.43784,80.62
30.01.2017 14:00:00.000 GMT-0500,7.43783,7.43803,7.43782,7.43797,98.5
30.01.2017 15:00:00.000 GMT-0500,7.43798,7.43813,7.43768,7.43769,86.25
30.01.2017 16:00:00.000 GMT-0500,7.43769,7.43831,7.43769,7.43801,181.36
