Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,0.84996,0.85027,0.84981,0.84986,4389.2998
26.01.2017 01:00:00.000 GMT-0500,0.84989,0.85003,0.84927,0.84943,5649.5898
26.01.2017 02:00:00.000 GMT-0500,0.84939,0.85043,0.84925,0.84972,9121.54
26.01.2017 03:00:00.000 GMT-0500,0.84969,0.84970,0.84817,0.84830,12117.5
26.01.2017 04:00:00.000 GMT-0500,0.84831,0.84959,0.84712,0.84870,12156.6504
26.01.2017 05:00:00.000 GMT-0500,0.84871,0.85087,0.84840,0.85001,11283.2695
26.01.2017 06:00:00.000 GMT-0500,0.85005,0.85219,0.84915,0.85212,9585.3496
26.01.2017 07:00:00.000 GMT-0500,0.85210,0.85339,0.85187,0.85202,10552.6299
26.01.2017 08:00:00.000 GMT-0500,0.85200,0.85221,0.84955,0.84984,13503.7695
26.01.2017 09:00:00.000 GMT-0500,0.84982,0.85040,0.84840,0.84977,12669.4902
26.01.2017 10:00:00.000 GMT-0500,0.84980,0.85003,0.84769,0.84775,13160.6699
26.01.2017 11:00:00.000 GMT-0500,0.84773,0.84872,0.84708,0.84827,10575.79
26.01.2017 12:00:00.000 GMT-0500,0.84828,0.84973,0.84777,0.84882,7557.98
26.01.2017 13:00:00.000 GMT-0500,0.84883,0.84962,0.84811,0.84906,7667.8599
26.01.2017 14:00:00.000 GMT-0500,0.84905,0.84915,0.84851,0.84865,6194.4502
26.01.2017 15:00:00.000 GMT-0500,0.84866,0.84893,0.84810,0.84825,7421.4302
26.01.2017 16:00:00.000 GMT-0500,0.84823,0.84859,0.84739,0.84835,5830.4702
26.01.2017 17:00:00.000 GMT-0500,0.84835,0.84912,0.84763,0.84834,1735.28
26.01.2017 18:00:00.000 GMT-0500,0.84831,0.84851,0.84779,0.84819,3205.4399
26.01.2017 19:00:00.000 GMT-0500,0.84822,0.84835,0.84794,0.84826,4890.5898
26.01.2017 20:00:00.000 GMT-0500,0.84826,0.84848,0.84784,0.84792,6627.29
26.01.2017 21:00:00.000 GMT-0500,0.84793,0.84878,0.84783,0.84834,5159.5
26.01.2017 22:00:00.000 GMT-0500,0.84838,0.84936,0.84837,0.84906,5146.7002
26.01.2017 23:00:00.000 GMT-0500,0.84907,0.84984,0.84892,0.84961,3562.6599
27.01.2017 00:00:00.000 GMT-0500,0.84960,0.85012,0.84924,0.85005,4741.1602
27.01.2017 01:00:00.000 GMT-0500,0.85004,0.85107,0.84962,0.85078,6673.2402
27.01.2017 02:00:00.000 GMT-0500,0.85078,0.85090,0.84956,0.85012,8923.5098
27.01.2017 03:00:00.000 GMT-0500,0.85012,0.85224,0.85010,0.85159,11547.3096
27.01.2017 04:00:00.000 GMT-0500,0.85157,0.85218,0.85062,0.85218,10920.0898
27.01.2017 05:00:00.000 GMT-0500,0.85222,0.85295,0.85099,0.85291,10280.4102
27.01.2017 06:00:00.000 GMT-0500,0.85292,0.85362,0.85231,0.85325,9055.5303
27.01.2017 07:00:00.000 GMT-0500,0.85320,0.85352,0.85129,0.85157,9454.75
27.01.2017 08:00:00.000 GMT-0500,0.85156,0.85332,0.85135,0.85266,14223.2402
27.01.2017 09:00:00.000 GMT-0500,0.85270,0.85373,0.85142,0.85199,14061.79
27.01.2017 10:00:00.000 GMT-0500,0.85199,0.85355,0.85143,0.85291,12153.8604
27.01.2017 11:00:00.000 GMT-0500,0.85293,0.85388,0.85284,0.85318,9677.9102
27.01.2017 12:00:00.000 GMT-0500,0.85318,0.85355,0.85182,0.85205,6615.4702
27.01.2017 13:00:00.000 GMT-0500,0.85207,0.85235,0.85167,0.85187,5297.4902
27.01.2017 14:00:00.000 GMT-0500,0.85184,0.85215,0.85163,0.85191,3405.6399
27.01.2017 15:00:00.000 GMT-0500,0.85188,0.85282,0.85173,0.85203,4273.71
27.01.2017 16:00:00.000 GMT-0500,0.85203,0.85306,0.85200,0.85264,2758.3201
29.01.2017 17:00:00.000 GMT-0500,0.85204,0.85316,0.85184,0.85278,1003.74
29.01.2017 18:00:00.000 GMT-0500,0.85277,0.85308,0.85023,0.85090,5524.1802
29.01.2017 19:00:00.000 GMT-0500,0.85091,0.85224,0.85085,0.85202,5325.48
29.01.2017 20:00:00.000 GMT-0500,0.85202,0.85271,0.85195,0.85259,5328.5098
29.01.2017 21:00:00.000 GMT-0500,0.85259,0.85297,0.85238,0.85297,2771.27
29.01.2017 22:00:00.000 GMT-0500,0.85296,0.85320,0.85264,0.85306,3113.3401
29.01.2017 23:00:00.000 GMT-0500,0.85306,0.85339,0.85306,0.85332,3246.9099
30.01.2017 00:00:00.000 GMT-0500,0.85331,0.85337,0.85312,0.85316,3363.5701
30.01.2017 01:00:00.000 GMT-0500,0.85316,0.85352,0.85310,0.85343,3582.3201
30.01.2017 02:00:00.000 GMT-0500,0.85342,0.85344,0.85212,0.85241,6621.2998
30.01.2017 03:00:00.000 GMT-0500,0.85239,0.85503,0.85204,0.85501,11176.3701
30.01.2017 04:00:00.000 GMT-0500,0.85501,0.85502,0.85350,0.85386,8472.1699
30.01.2017 05:00:00.000 GMT-0500,0.85387,0.85389,0.85233,0.85296,6643.6001
30.01.2017 06:00:00.000 GMT-0500,0.85296,0.85358,0.85156,0.85168,7513.0601
30.01.2017 07:00:00.000 GMT-0500,0.85169,0.85230,0.84955,0.84986,10345.9902
30.01.2017 08:00:00.000 GMT-0500,0.84987,0.85004,0.84901,0.84993,11335.8096
30.01.2017 09:00:00.000 GMT-0500,0.84995,0.85175,0.84939,0.85165,9979.0898
30.01.2017 10:00:00.000 GMT-0500,0.85165,0.85430,0.85164,0.85401,12013.8896
30.01.2017 11:00:00.000 GMT-0500,0.85398,0.85650,0.85397,0.85618,10111.3203
30.01.2017 12:00:00.000 GMT-0500,0.85618,0.85793,0.85582,0.85691,8239.2695
30.01.2017 13:00:00.000 GMT-0500,0.85690,0.85729,0.85636,0.85728,5839.6001
30.01.2017 14:00:00.000 GMT-0500,0.85727,0.85727,0.85644,0.85662,5877.1201
30.01.2017 15:00:00.000 GMT-0500,0.85664,0.85721,0.85635,0.85667,5655
30.01.2017 16:00:00.000 GMT-0500,0.85667,0.85711,0.85606,0.85684,3989.26
30.01.2017 17:00:00.000 GMT-0500,0.85690,0.85720,0.85624,0.85663,1675.77
30.01.2017 18:00:00.000 GMT-0500,0.85662,0.85690,0.85616,0.85657,4651.3198
30.01.2017 19:00:00.000 GMT-0500,0.85658,0.85670,0.85480,0.85539,6944.6401
