Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,8.34643,8.34923,8.34312,8.34514,920.82
26.01.2017 01:00:00.000 GMT-0500,8.34557,8.34594,8.33287,8.33522,1396.96
26.01.2017 02:00:00.000 GMT-0500,8.33520,8.33879,8.32438,8.32589,2684.29
26.01.2017 03:00:00.000 GMT-0500,8.32570,8.33598,8.32219,8.33282,3338.6899
26.01.2017 04:00:00.000 GMT-0500,8.33292,8.33608,8.31463,8.31815,5012.77
26.01.2017 05:00:00.000 GMT-0500,8.31815,8.32367,8.31207,8.31827,4397.4302
26.01.2017 06:00:00.000 GMT-0500,8.31817,8.32766,8.31707,8.32628,3642.4199
26.01.2017 07:00:00.000 GMT-0500,8.32618,8.32717,8.30776,8.31000,5452
26.01.2017 08:00:00.000 GMT-0500,8.31003,8.31151,8.29356,8.29989,6837.04
26.01.2017 09:00:00.000 GMT-0500,8.29988,8.30577,8.28112,8.29116,7428.5698
26.01.2017 10:00:00.000 GMT-0500,8.29135,8.29670,8.27897,8.28026,7384.96
26.01.2017 11:00:00.000 GMT-0500,8.28007,8.28196,8.26964,8.27846,4367.7202
26.01.2017 12:00:00.000 GMT-0500,8.27836,8.29317,8.27695,8.29201,3033.1499
26.01.2017 13:00:00.000 GMT-0500,8.29205,8.30247,8.29077,8.29918,4099.7998
26.01.2017 14:00:00.000 GMT-0500,8.29911,8.30527,8.29575,8.30108,2456.73
26.01.2017 15:00:00.000 GMT-0500,8.30116,8.30136,8.28258,8.28376,3166.22
26.01.2017 16:00:00.000 GMT-0500,8.28336,8.28955,8.27396,8.28935,1779.87
26.01.2017 17:00:00.000 GMT-0500,8.28970,8.29321,8.28603,8.28766,438.58
26.01.2017 18:00:00.000 GMT-0500,8.28766,8.29028,8.28307,8.29005,896.78
26.01.2017 19:00:00.000 GMT-0500,8.28983,8.29261,8.28637,8.28918,1367.64
26.01.2017 20:00:00.000 GMT-0500,8.28924,8.29217,8.28126,8.28868,2240.1101
