Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,309.909,310.134,309.819,309.916,559.988
26.01.2017 01:00:00.000 GMT-0500,309.932,310.012,309.831,309.931,315.1738
26.01.2017 02:00:00.000 GMT-0500,309.894,310.328,309.812,310.290,797.614
26.01.2017 03:00:00.000 GMT-0500,310.278,310.733,310.163,310.340,620.7653
26.01.2017 04:00:00.000 GMT-0500,310.341,310.953,310.304,310.746,263.1922
26.01.2017 05:00:00.000 GMT-0500,310.782,311.120,310.744,311.014,829.706
26.01.2017 06:00:00.000 GMT-0500,311.050,311.159,310.857,310.981,1062.35
26.01.2017 07:00:00.000 GMT-0500,310.961,311.467,310.935,311.208,2463.5591
26.01.2017 08:00:00.000 GMT-0500,311.226,311.530,310.897,311.448,790.631
26.01.2017 09:00:00.000 GMT-0500,311.435,311.479,310.852,311.021,1143.759
26.01.2017 10:00:00.000 GMT-0500,311.009,312.159,310.905,311.846,362.7058
26.01.2017 11:00:00.000 GMT-0500,311.855,311.883,311.291,311.326,255.5456
26.01.2017 12:00:00.000 GMT-0500,311.337,311.468,311.022,311.177,240.6298
26.01.2017 13:00:00.000 GMT-0500,311.206,311.277,311.061,311.180,230.115
26.01.2017 14:00:00.000 GMT-0500,311.171,311.271,311.069,311.217,528.123
26.01.2017 15:00:00.000 GMT-0500,311.149,311.277,311.022,311.207,257.645
26.01.2017 16:00:00.000 GMT-0500,311.224,311.444,311.104,311.285,106.077
26.01.2017 17:00:00.000 GMT-0500,311.346,311.475,311.033,311.147,56.6991
26.01.2017 18:00:00.000 GMT-0500,311.088,311.403,311.000,311.338,111.555
26.01.2017 19:00:00.000 GMT-0500,311.182,311.364,311.041,311.093,99.086
26.01.2017 20:00:00.000 GMT-0500,311.157,311.291,311.060,311.094,113.121
26.01.2017 21:00:00.000 GMT-0500,311.123,311.410,311.057,311.127,278.528
26.01.2017 22:00:00.000 GMT-0500,311.164,311.402,311.060,311.214,152.127
26.01.2017 23:00:00.000 GMT-0500,311.206,311.386,311.067,311.118,154.813
27.01.2017 00:00:00.000 GMT-0500,311.236,311.519,311.068,311.417,263.3031
27.01.2017 01:00:00.000 GMT-0500,311.396,311.545,311.292,311.395,424.2095
27.01.2017 02:00:00.000 GMT-0500,311.392,312.047,311.376,311.787,825.762
27.01.2017 03:00:00.000 GMT-0500,311.782,312.225,311.464,311.689,958.117
27.01.2017 04:00:00.000 GMT-0500,311.716,311.972,311.630,311.865,826.6053
27.01.2017 05:00:00.000 GMT-0500,311.874,311.940,311.347,311.537,431.4822
27.01.2017 06:00:00.000 GMT-0500,311.528,311.658,311.467,311.579,869.03
27.01.2017 07:00:00.000 GMT-0500,311.568,312.008,311.533,311.645,2248.918
27.01.2017 08:00:00.000 GMT-0500,311.695,312.021,311.643,311.910,2697.0759
27.01.2017 09:00:00.000 GMT-0500,311.955,311.988,311.465,311.669,2254.345
27.01.2017 10:00:00.000 GMT-0500,311.679,311.843,311.509,311.650,724.522
27.01.2017 11:00:00.000 GMT-0500,311.630,311.919,311.183,311.369,659.707
27.01.2017 12:00:00.000 GMT-0500,311.401,311.551,311.342,311.462,291.797
27.01.2017 13:00:00.000 GMT-0500,311.459,311.519,311.269,311.339,445.975
27.01.2017 14:00:00.000 GMT-0500,311.304,311.411,311.212,311.299,941.69
27.01.2017 15:00:00.000 GMT-0500,311.237,311.479,311.226,311.333,1131.3831
27.01.2017 16:00:00.000 GMT-0500,311.450,311.904,311.308,311.533,1145.976
29.01.2017 17:00:00.000 GMT-0500,311.701,312.647,311.574,311.770,205.6451
29.01.2017 18:00:00.000 GMT-0500,311.900,312.253,311.498,311.599,140.6022
29.01.2017 19:00:00.000 GMT-0500,311.687,311.896,311.457,311.655,123.947
29.01.2017 20:00:00.000 GMT-0500,311.653,311.844,311.447,311.677,72.1574
29.01.2017 21:00:00.000 GMT-0500,311.604,311.779,311.441,311.589,87.5615
29.01.2017 22:00:00.000 GMT-0500,311.679,311.786,311.443,311.563,89.6942
29.01.2017 23:00:00.000 GMT-0500,311.535,311.784,311.446,311.644,102.5265
30.01.2017 00:00:00.000 GMT-0500,311.572,311.802,311.422,311.500,153.3841
30.01.2017 01:00:00.000 GMT-0500,311.612,311.885,311.423,311.697,494.461
30.01.2017 02:00:00.000 GMT-0500,311.705,311.845,311.587,311.805,734.2763
30.01.2017 03:00:00.000 GMT-0500,311.763,311.829,311.546,311.639,673.0256
30.01.2017 04:00:00.000 GMT-0500,311.655,311.711,311.350,311.497,441.5215
