Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,121.854,121.971,121.837,121.900,7838.6401
26.01.2017 01:00:00.000 GMT-0500,121.900,122.108,121.896,122.026,9912.6904
26.01.2017 02:00:00.000 GMT-0500,122.026,122.144,121.962,122.083,11418.6504
26.01.2017 03:00:00.000 GMT-0500,122.082,122.199,122.035,122.089,11932.3896
26.01.2017 04:00:00.000 GMT-0500,122.090,122.431,122.037,122.393,13263.2998
26.01.2017 05:00:00.000 GMT-0500,122.392,122.595,122.373,122.529,13463.4199
26.01.2017 06:00:00.000 GMT-0500,122.528,122.624,122.451,122.602,11381.9404
26.01.2017 07:00:00.000 GMT-0500,122.606,122.672,122.516,122.546,12033.2197
26.01.2017 08:00:00.000 GMT-0500,122.541,122.562,122.130,122.213,16264.0996
26.01.2017 09:00:00.000 GMT-0500,122.210,122.266,122.000,122.130,15248.6299
26.01.2017 10:00:00.000 GMT-0500,122.133,122.494,122.083,122.441,17009.1406
26.01.2017 11:00:00.000 GMT-0500,122.439,122.475,122.279,122.377,12746.7998
26.01.2017 12:00:00.000 GMT-0500,122.378,122.511,122.327,122.495,9025.0195
26.01.2017 13:00:00.000 GMT-0500,122.495,122.495,122.270,122.312,10492.04
26.01.2017 14:00:00.000 GMT-0500,122.311,122.379,122.275,122.335,7389.9399
26.01.2017 15:00:00.000 GMT-0500,122.339,122.453,122.205,122.216,10087.79
26.01.2017 16:00:00.000 GMT-0500,122.213,122.383,122.157,122.360,6304.1201
26.01.2017 17:00:00.000 GMT-0500,122.360,122.491,122.280,122.355,3442.8
26.01.2017 18:00:00.000 GMT-0500,122.353,122.421,122.240,122.253,6553.6099
26.01.2017 19:00:00.000 GMT-0500,122.256,122.496,122.232,122.495,10491.4805
26.01.2017 20:00:00.000 GMT-0500,122.494,122.788,122.434,122.726,13128.5
26.01.2017 21:00:00.000 GMT-0500,122.726,122.799,122.692,122.713,10048.5195
26.01.2017 22:00:00.000 GMT-0500,122.710,122.803,122.682,122.742,8445.04
26.01.2017 23:00:00.000 GMT-0500,122.744,122.763,122.649,122.673,7729.21
27.01.2017 00:00:00.000 GMT-0500,122.674,122.779,122.660,122.773,9482.6104
27.01.2017 01:00:00.000 GMT-0500,122.777,122.893,122.759,122.844,11020.25
27.01.2017 02:00:00.000 GMT-0500,122.844,122.993,122.825,122.987,12240.79
27.01.2017 03:00:00.000 GMT-0500,122.984,123.142,122.874,123.102,12697.8203
27.01.2017 04:00:00.000 GMT-0500,123.104,123.129,122.930,122.955,12222.9297
27.01.2017 05:00:00.000 GMT-0500,122.953,122.958,122.789,122.937,11520.7402
27.01.2017 06:00:00.000 GMT-0500,122.937,123.066,122.902,123.057,9852.8604
27.01.2017 07:00:00.000 GMT-0500,123.055,123.105,122.953,122.969,10192.5801
27.01.2017 08:00:00.000 GMT-0500,122.971,123.278,122.841,123.224,16411.6504
27.01.2017 09:00:00.000 GMT-0500,123.221,123.279,123.100,123.182,17370.9395
27.01.2017 10:00:00.000 GMT-0500,123.182,123.314,123.090,123.192,14468.7695
27.01.2017 11:00:00.000 GMT-0500,123.192,123.204,123.037,123.099,13275.3799
27.01.2017 12:00:00.000 GMT-0500,123.101,123.180,123.076,123.095,8080.48
27.01.2017 13:00:00.000 GMT-0500,123.093,123.138,123.073,123.087,7149.1201
27.01.2017 14:00:00.000 GMT-0500,123.086,123.127,123.046,123.090,7058.7402
27.01.2017 15:00:00.000 GMT-0500,123.091,123.164,123.087,123.152,6280.1899
27.01.2017 16:00:00.000 GMT-0500,123.149,123.188,123.015,123.185,3266.4099
29.01.2017 17:00:00.000 GMT-0500,123.067,123.169,122.964,123.106,3258.8101
29.01.2017 18:00:00.000 GMT-0500,123.107,123.123,122.800,122.879,8995
29.01.2017 19:00:00.000 GMT-0500,122.880,123.032,122.876,122.966,10628.0596
29.01.2017 20:00:00.000 GMT-0500,122.969,122.969,122.787,122.830,11115.7695
29.01.2017 21:00:00.000 GMT-0500,122.837,122.873,122.736,122.737,6777.46
29.01.2017 22:00:00.000 GMT-0500,122.734,122.813,122.684,122.796,7155.1099
29.01.2017 23:00:00.000 GMT-0500,122.796,122.921,122.778,122.863,6984.3501
30.01.2017 00:00:00.000 GMT-0500,122.861,122.892,122.782,122.884,7601.7202
30.01.2017 01:00:00.000 GMT-0500,122.886,122.962,122.810,122.845,6702.2798
30.01.2017 02:00:00.000 GMT-0500,122.844,122.925,122.735,122.738,10106.2695
30.01.2017 03:00:00.000 GMT-0500,122.739,122.947,122.736,122.813,13961.4199
30.01.2017 04:00:00.000 GMT-0500,122.813,122.817,122.612,122.666,9876.4805
30.01.2017 05:00:00.000 GMT-0500,122.666,122.695,122.522,122.531,7500.6699
30.01.2017 06:00:00.000 GMT-0500,122.531,122.634,122.205,122.265,9457.8799
30.01.2017 07:00:00.000 GMT-0500,122.265,122.298,121.808,121.831,11980.5996
