Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,8.93306,8.93416,8.93201,8.93316,409.16
26.01.2017 01:00:00.000 GMT-0500,8.93316,8.93386,8.93068,8.93366,1205.9301
26.01.2017 02:00:00.000 GMT-0500,8.93356,8.94236,8.93222,8.94145,1691.08
26.01.2017 03:00:00.000 GMT-0500,8.94145,8.94182,8.92606,8.92632,3288.9199
26.01.2017 04:00:00.000 GMT-0500,8.92632,8.93122,8.91621,8.93122,2468.76
26.01.2017 05:00:00.000 GMT-0500,8.93110,8.94019,8.93056,8.93124,2312.98
26.01.2017 06:00:00.000 GMT-0500,8.93137,8.93567,8.92592,8.92592,3468.8899
26.01.2017 07:00:00.000 GMT-0500,8.92593,8.93192,8.92469,8.92926,3732.8
26.01.2017 08:00:00.000 GMT-0500,8.92937,8.93097,8.91854,8.92032,4761.6001
26.01.2017 09:00:00.000 GMT-0500,8.92011,8.92697,8.89842,8.91034,5186.3398
26.01.2017 10:00:00.000 GMT-0500,8.91034,8.92333,8.90886,8.91279,5371.9302
26.01.2017 11:00:00.000 GMT-0500,8.91261,8.92139,8.91041,8.92094,2907.8701
26.01.2017 12:00:00.000 GMT-0500,8.92119,8.92588,8.91578,8.92289,1439.4
26.01.2017 13:00:00.000 GMT-0500,8.92274,8.92313,8.91822,8.92025,796.19
26.01.2017 14:00:00.000 GMT-0500,8.92008,8.92041,8.91625,8.92041,358.17
26.01.2017 15:00:00.000 GMT-0500,8.92041,8.92067,8.91770,8.91937,603.57
26.01.2017 16:00:00.000 GMT-0500,8.91961,8.91996,8.90736,8.91202,892.7
26.01.2017 17:00:00.000 GMT-0500,8.91202,8.91267,8.90916,8.91073,135.25
26.01.2017 18:00:00.000 GMT-0500,8.91122,8.91276,8.90936,8.91222,2829.0901
26.01.2017 19:00:00.000 GMT-0500,8.91232,8.92196,8.91142,8.91627,1622.6
26.01.2017 20:00:00.000 GMT-0500,8.91626,8.91676,8.91384,8.91502,3183.21
26.01.2017 21:00:00.000 GMT-0500,8.91503,8.91582,8.91442,8.91516,2599.26
26.01.2017 22:00:00.000 GMT-0500,8.91526,8.91589,8.91436,8.91536,1855.6
26.01.2017 23:00:00.000 GMT-0500,8.91536,8.91663,8.91396,8.91532,1203.08
27.01.2017 00:00:00.000 GMT-0500,8.91532,8.91582,8.91476,8.91562,2621.27
27.01.2017 01:00:00.000 GMT-0500,8.91562,8.92119,8.91526,8.92070,2708.8799
27.01.2017 02:00:00.000 GMT-0500,8.92096,8.92130,8.90875,8.91236,1865.8
27.01.2017 03:00:00.000 GMT-0500,8.91273,8.91273,8.89315,8.90115,3233.6899
27.01.2017 04:00:00.000 GMT-0500,8.90116,8.92779,8.90096,8.91911,3906.6699
27.01.2017 05:00:00.000 GMT-0500,8.91911,8.93747,8.91872,8.93626,5660.3398
27.01.2017 06:00:00.000 GMT-0500,8.93626,8.93660,8.92656,8.93136,2814.9399
27.01.2017 07:00:00.000 GMT-0500,8.93129,8.93196,8.91781,8.92098,3111.21
27.01.2017 08:00:00.000 GMT-0500,8.92098,8.92148,8.91261,8.91311,4914.29
27.01.2017 09:00:00.000 GMT-0500,8.91313,8.92108,8.90793,8.91078,6531.6001
27.01.2017 10:00:00.000 GMT-0500,8.91078,8.91637,8.89701,8.90811,3893.6299
27.01.2017 11:00:00.000 GMT-0500,8.90806,8.91180,8.89739,8.91129,2839.95
27.01.2017 12:00:00.000 GMT-0500,8.91129,8.92333,8.91094,8.92187,1082.84
27.01.2017 13:00:00.000 GMT-0500,8.92172,8.92179,8.91971,8.92033,317
27.01.2017 14:00:00.000 GMT-0500,8.92020,8.92702,8.92020,8.92208,689.11
27.01.2017 15:00:00.000 GMT-0500,8.92195,8.92324,8.91934,8.92021,509.25
27.01.2017 16:00:00.000 GMT-0500,8.92040,8.92816,8.91935,8.92786,2135.7
29.01.2017 17:00:00.000 GMT-0500,8.91756,8.92566,8.91726,8.92386,202.01
