Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,1.47653,1.47715,1.47617,1.47636,2462.3201
26.01.2017 01:00:00.000 GMT-0500,1.47634,1.47656,1.47476,1.47637,3761.03
26.01.2017 02:00:00.000 GMT-0500,1.47636,1.47761,1.47536,1.47556,6681.8398
26.01.2017 03:00:00.000 GMT-0500,1.47551,1.47727,1.47478,1.47662,7309.5898
26.01.2017 04:00:00.000 GMT-0500,1.47664,1.47836,1.47527,1.47726,7839.5498
26.01.2017 05:00:00.000 GMT-0500,1.47716,1.47807,1.47646,1.47727,7325.9199
26.01.2017 06:00:00.000 GMT-0500,1.47726,1.48027,1.47686,1.48004,8465.7305
26.01.2017 07:00:00.000 GMT-0500,1.47996,1.48343,1.47976,1.48116,9046.6299
26.01.2017 08:00:00.000 GMT-0500,1.48119,1.48138,1.47606,1.47726,10454.7197
26.01.2017 09:00:00.000 GMT-0500,1.47726,1.47841,1.47491,1.47517,10364.3398
26.01.2017 10:00:00.000 GMT-0500,1.47516,1.47732,1.47466,1.47568,11349.3096
26.01.2017 11:00:00.000 GMT-0500,1.47569,1.47680,1.47483,1.47564,6795.4199
26.01.2017 12:00:00.000 GMT-0500,1.47565,1.47731,1.47551,1.47706,3887.8
26.01.2017 13:00:00.000 GMT-0500,1.47714,1.47726,1.47574,1.47608,7412.79
26.01.2017 14:00:00.000 GMT-0500,1.47606,1.47624,1.47491,1.47558,3697.53
26.01.2017 15:00:00.000 GMT-0500,1.47559,1.47598,1.47340,1.47366,5312.46
26.01.2017 16:00:00.000 GMT-0500,1.47358,1.47556,1.47314,1.47523,3666.29
26.01.2017 17:00:00.000 GMT-0500,1.47523,1.47734,1.47480,1.47515,3176.2
26.01.2017 18:00:00.000 GMT-0500,1.47515,1.47564,1.47405,1.47501,2672.9399
26.01.2017 19:00:00.000 GMT-0500,1.47507,1.47585,1.47427,1.47518,3585.79
26.01.2017 20:00:00.000 GMT-0500,1.47519,1.47570,1.47366,1.47474,5631.4902
26.01.2017 21:00:00.000 GMT-0500,1.47466,1.47472,1.47326,1.47336,3948.6499
26.01.2017 22:00:00.000 GMT-0500,1.47336,1.47399,1.47300,1.47326,3143.5801
26.01.2017 23:00:00.000 GMT-0500,1.47326,1.47336,1.47215,1.47299,2603.03
27.01.2017 00:00:00.000 GMT-0500,1.47298,1.47315,1.47178,1.47228,3231.76
27.01.2017 01:00:00.000 GMT-0500,1.47231,1.47448,1.47211,1.47446,4716.3599
27.01.2017 02:00:00.000 GMT-0500,1.47446,1.47459,1.47266,1.47304,6218.5298
27.01.2017 03:00:00.000 GMT-0500,1.47301,1.47560,1.47206,1.47548,7239.9199
27.01.2017 04:00:00.000 GMT-0500,1.47545,1.47617,1.47345,1.47361,6994.6602
27.01.2017 05:00:00.000 GMT-0500,1.47370,1.47440,1.47159,1.47431,6882.2402
27.01.2017 06:00:00.000 GMT-0500,1.47431,1.47535,1.47416,1.47426,5152.9199
27.01.2017 07:00:00.000 GMT-0500,1.47427,1.47465,1.47183,1.47331,5918.6099
27.01.2017 08:00:00.000 GMT-0500,1.47333,1.47430,1.47217,1.47234,12370.0498
27.01.2017 09:00:00.000 GMT-0500,1.47235,1.47315,1.47055,1.47119,12778.1797
27.01.2017 10:00:00.000 GMT-0500,1.47116,1.47316,1.47068,1.47238,9554.0098
27.01.2017 11:00:00.000 GMT-0500,1.47226,1.47383,1.47146,1.47339,7728.4302
27.01.2017 12:00:00.000 GMT-0500,1.47340,1.47405,1.47244,1.47275,4241.4702
27.01.2017 13:00:00.000 GMT-0500,1.47280,1.47346,1.47222,1.47251,3535.21
27.01.2017 14:00:00.000 GMT-0500,1.47250,1.47314,1.47190,1.47289,2856.6299
27.01.2017 15:00:00.000 GMT-0500,1.47286,1.47323,1.47230,1.47276,2831.28
