Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,21.09199,21.09769,21.07254,21.07620,721.71
26.01.2017 01:00:00.000 GMT-0500,21.07620,21.09776,21.04982,21.08857,4502.9902
26.01.2017 02:00:00.000 GMT-0500,21.08752,21.12066,21.06774,21.10915,4462.1802
26.01.2017 03:00:00.000 GMT-0500,21.10965,21.11625,21.00286,21.01847,4923.6099
26.01.2017 04:00:00.000 GMT-0500,21.01844,21.09649,21.01844,21.06204,4931.5898
26.01.2017 05:00:00.000 GMT-0500,21.06134,21.06134,20.91553,20.91796,4394.4102
26.01.2017 06:00:00.000 GMT-0500,20.91796,20.97837,20.86749,20.96606,4641.98
26.01.2017 07:00:00.000 GMT-0500,20.96597,20.99247,20.92825,20.99217,7854.46
26.01.2017 08:00:00.000 GMT-0500,20.99149,21.13477,20.87876,21.07084,14556.2305
26.01.2017 09:00:00.000 GMT-0500,21.07084,21.28551,21.06775,21.19604,13335.6396
26.01.2017 10:00:00.000 GMT-0500,21.19604,21.20151,21.08134,21.16612,12169.9697
26.01.2017 11:00:00.000 GMT-0500,21.16612,21.36714,21.06516,21.30444,10901.2002
26.01.2017 12:00:00.000 GMT-0500,21.30444,21.33705,21.24534,21.28744,7127.1602
26.01.2017 13:00:00.000 GMT-0500,21.28612,21.29014,21.10814,21.19155,8074.0298
26.01.2017 14:00:00.000 GMT-0500,21.19108,21.23644,21.14547,21.23644,4354.9199
26.01.2017 15:00:00.000 GMT-0500,21.23864,21.32084,21.12468,21.19187,7127.5601
26.01.2017 16:00:00.000 GMT-0500,21.19196,21.26684,21.17884,21.22624,2552.1699
26.01.2017 17:00:00.000 GMT-0500,21.23153,21.25537,21.20894,21.25537,234.95
26.01.2017 18:00:00.000 GMT-0500,21.23214,21.24924,21.21054,21.22664,1620.05
26.01.2017 19:00:00.000 GMT-0500,21.22689,21.34604,21.21507,21.31624,3196.4299
26.01.2017 20:00:00.000 GMT-0500,21.31624,21.35148,21.29584,21.33591,2445.8701
26.01.2017 21:00:00.000 GMT-0500,21.33594,21.34796,21.30579,21.33535,2314.0901
26.01.2017 22:00:00.000 GMT-0500,21.32864,21.36649,21.32398,21.36052,1257.05
26.01.2017 23:00:00.000 GMT-0500,21.36040,21.36987,21.33312,21.33389,1205.13
27.01.2017 00:00:00.000 GMT-0500,21.34032,21.36542,21.33144,21.35143,1130.01
27.01.2017 01:00:00.000 GMT-0500,21.35187,21.38361,21.33492,21.37567,3355.6499
27.01.2017 02:00:00.000 GMT-0500,21.37614,21.38192,21.32777,21.33806,4177.9502
27.01.2017 03:00:00.000 GMT-0500,21.33797,21.34947,21.27104,21.27229,4778.5801
27.01.2017 04:00:00.000 GMT-0500,21.27229,21.27306,21.20799,21.21109,4951.52
27.01.2017 05:00:00.000 GMT-0500,21.21109,21.24848,21.19147,21.24824,6225.8101
27.01.2017 06:00:00.000 GMT-0500,21.24794,21.26004,21.16953,21.18374,4213.77
27.01.2017 07:00:00.000 GMT-0500,21.18404,21.21584,21.10687,21.18324,5559.6899
27.01.2017 08:00:00.000 GMT-0500,21.18324,21.18346,21.03094,21.03376,11281.8701
27.01.2017 09:00:00.000 GMT-0500,21.03311,21.06214,20.99425,21.05614,13080.0303
27.01.2017 10:00:00.000 GMT-0500,21.05614,21.09427,20.99997,21.02963,10340.6504
