Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,3.83449,3.84106,3.82977,3.83702,3210.7
26.01.2017 01:00:00.000 GMT-0500,3.83702,3.83702,3.81072,3.81990,7661.6499
26.01.2017 02:00:00.000 GMT-0500,3.81991,3.82456,3.80796,3.82021,6792.7998
26.01.2017 03:00:00.000 GMT-0500,3.82021,3.84848,3.80844,3.84235,7715.5
26.01.2017 04:00:00.000 GMT-0500,3.84233,3.86978,3.84143,3.86275,11651.8701
26.01.2017 05:00:00.000 GMT-0500,3.86275,3.86602,3.84267,3.84495,6592.6602
26.01.2017 06:00:00.000 GMT-0500,3.84499,3.85205,3.83862,3.84786,5721.5898
26.01.2017 07:00:00.000 GMT-0500,3.84787,3.86724,3.84787,3.86724,6812.3999
26.01.2017 08:00:00.000 GMT-0500,3.86724,3.87227,3.84927,3.86068,10152.8301
26.01.2017 09:00:00.000 GMT-0500,3.86064,3.86796,3.84791,3.85108,8891.2002
26.01.2017 10:00:00.000 GMT-0500,3.84943,3.86641,3.83469,3.86367,11001
26.01.2017 11:00:00.000 GMT-0500,3.86367,3.86703,3.85376,3.86289,6874.1602
26.01.2017 12:00:00.000 GMT-0500,3.86305,3.86305,3.85442,3.85863,2145
26.01.2017 13:00:00.000 GMT-0500,3.85853,3.85896,3.85068,3.85301,1441.24
26.01.2017 14:00:00.000 GMT-0500,3.85318,3.85447,3.84666,3.84885,2125.78
26.01.2017 15:00:00.000 GMT-0500,3.84892,3.85939,3.84883,3.85405,3072.5801
26.01.2017 16:00:00.000 GMT-0500,3.85405,3.86151,3.85405,3.85958,3944.2
26.01.2017 17:00:00.000 GMT-0500,3.86045,3.86853,3.85732,3.86359,380.11
26.01.2017 18:00:00.000 GMT-0500,3.86340,3.86667,3.85412,3.86520,3801.73
26.01.2017 19:00:00.000 GMT-0500,3.86517,3.86624,3.85972,3.85972,2410.53
26.01.2017 20:00:00.000 GMT-0500,3.85972,3.86779,3.85964,3.86601,2108.0701
26.01.2017 21:00:00.000 GMT-0500,3.86602,3.86739,3.86489,3.86644,451.8
26.01.2017 22:00:00.000 GMT-0500,3.86644,3.86787,3.86580,3.86727,719.93
26.01.2017 23:00:00.000 GMT-0500,3.86727,3.87188,3.86725,3.87097,536.44
27.01.2017 00:00:00.000 GMT-0500,3.87118,3.89460,3.87085,3.89377,2714.5901
27.01.2017 01:00:00.000 GMT-0500,3.89387,3.91233,3.89062,3.89935,7667.3101
27.01.2017 02:00:00.000 GMT-0500,3.89895,3.90471,3.89413,3.89827,5093.7202
27.01.2017 03:00:00.000 GMT-0500,3.89829,3.90020,3.87859,3.88796,6965.46
27.01.2017 04:00:00.000 GMT-0500,3.88804,3.88974,3.87253,3.87402,4576.0898
27.01.2017 05:00:00.000 GMT-0500,3.87404,3.88214,3.87218,3.87392,4227
27.01.2017 06:00:00.000 GMT-0500,3.87383,3.88328,3.87199,3.87437,4093.0901
27.01.2017 07:00:00.000 GMT-0500,3.87433,3.89212,3.86730,3.88564,6985.0601
