Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,0.98905,0.98995,0.98898,0.98976,4536.5601
26.01.2017 01:00:00.000 GMT-0500,0.98977,0.99024,0.98912,0.98941,5320.02
26.01.2017 02:00:00.000 GMT-0500,0.98945,0.98955,0.98861,0.98896,7949.75
26.01.2017 03:00:00.000 GMT-0500,0.98899,0.98947,0.98871,0.98910,7585.9902
26.01.2017 04:00:00.000 GMT-0500,0.98906,0.98966,0.98801,0.98816,9954.0098
26.01.2017 05:00:00.000 GMT-0500,0.98816,0.99007,0.98804,0.98999,9389.21
26.01.2017 06:00:00.000 GMT-0500,0.98996,0.99004,0.98930,0.98964,8024.3198
26.01.2017 07:00:00.000 GMT-0500,0.98963,0.98977,0.98866,0.98881,9041.8496
26.01.2017 08:00:00.000 GMT-0500,0.98881,0.98970,0.98855,0.98909,12207.1904
26.01.2017 09:00:00.000 GMT-0500,0.98908,0.98917,0.98566,0.98737,12512.8896
26.01.2017 10:00:00.000 GMT-0500,0.98741,0.98867,0.98674,0.98718,13497.7402
26.01.2017 11:00:00.000 GMT-0500,0.98718,0.98796,0.98656,0.98693,9154.8301
26.01.2017 12:00:00.000 GMT-0500,0.98693,0.98793,0.98687,0.98722,5490.3901
26.01.2017 13:00:00.000 GMT-0500,0.98722,0.98862,0.98722,0.98796,7308.6499
26.01.2017 14:00:00.000 GMT-0500,0.98796,0.98897,0.98790,0.98866,6475.3701
26.01.2017 15:00:00.000 GMT-0500,0.98859,0.98881,0.98699,0.98706,9663.3701
26.01.2017 16:00:00.000 GMT-0500,0.98702,0.98802,0.98636,0.98663,5791.4399
26.01.2017 17:00:00.000 GMT-0500,0.98667,0.98767,0.98556,0.98576,2433.6599
26.01.2017 18:00:00.000 GMT-0500,0.98586,0.98624,0.98562,0.98608,3628.54
26.01.2017 19:00:00.000 GMT-0500,0.98602,0.98701,0.98578,0.98671,5163.7002
26.01.2017 20:00:00.000 GMT-0500,0.98676,0.98754,0.98649,0.98729,7632.77
26.01.2017 21:00:00.000 GMT-0500,0.98732,0.98779,0.98700,0.98730,5099.3901
26.01.2017 22:00:00.000 GMT-0500,0.98734,0.98782,0.98682,0.98780,3756.6001
26.01.2017 23:00:00.000 GMT-0500,0.98780,0.98865,0.98734,0.98771,3326.1001
27.01.2017 00:00:00.000 GMT-0500,0.98769,0.98784,0.98726,0.98734,4412.6602
27.01.2017 01:00:00.000 GMT-0500,0.98731,0.98848,0.98642,0.98706,6755.1001
27.01.2017 02:00:00.000 GMT-0500,0.98706,0.98736,0.98642,0.98706,7990.9502
27.01.2017 03:00:00.000 GMT-0500,0.98704,0.98779,0.98566,0.98582,9811.4805
27.01.2017 04:00:00.000 GMT-0500,0.98581,0.98715,0.98531,0.98699,8194.1602
27.01.2017 05:00:00.000 GMT-0500,0.98701,0.98814,0.98700,0.98757,8267.5
27.01.2017 06:00:00.000 GMT-0500,0.98757,0.98811,0.98721,0.98801,5915.5098
27.01.2017 07:00:00.000 GMT-0500,0.98801,0.98886,0.98770,0.98824,6774.2402
27.01.2017 08:00:00.000 GMT-0500,0.98817,0.99052,0.98761,0.99000,14153.2598
27.01.2017 09:00:00.000 GMT-0500,0.98996,0.99266,0.98996,0.99116,15034.1396
27.01.2017 10:00:00.000 GMT-0500,0.99114,0.99179,0.99025,0.99156,12513.0195
27.01.2017 11:00:00.000 GMT-0500,0.99156,0.99196,0.98881,0.98946,9810.5
27.01.2017 12:00:00.000 GMT-0500,0.98946,0.99148,0.98946,0.99126,5698.0601
27.01.2017 13:00:00.000 GMT-0500,0.99126,0.99206,0.99070,0.99193,5083.21
