Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,0.75616,0.75664,0.75580,0.75654,2248.45
26.01.2017 01:00:00.000 GMT-0500,0.75655,0.75720,0.75645,0.75660,3980.8301
26.01.2017 02:00:00.000 GMT-0500,0.75666,0.75685,0.75475,0.75548,6015.3599
26.01.2017 03:00:00.000 GMT-0500,0.75551,0.75576,0.75405,0.75438,7821.48
26.01.2017 04:00:00.000 GMT-0500,0.75435,0.75444,0.75260,0.75331,8842.2598
26.01.2017 05:00:00.000 GMT-0500,0.75330,0.75472,0.75300,0.75455,7017.2402
26.01.2017 06:00:00.000 GMT-0500,0.75452,0.75466,0.75310,0.75333,4793.5498
26.01.2017 07:00:00.000 GMT-0500,0.75332,0.75338,0.75184,0.75235,9053.3799
26.01.2017 08:00:00.000 GMT-0500,0.75230,0.75432,0.75220,0.75356,10969.5596
26.01.2017 09:00:00.000 GMT-0500,0.75357,0.75390,0.75209,0.75360,10048.2998
26.01.2017 10:00:00.000 GMT-0500,0.75360,0.75415,0.75293,0.75370,12538.2305
26.01.2017 11:00:00.000 GMT-0500,0.75371,0.75485,0.75335,0.75400,6909.6802
26.01.2017 12:00:00.000 GMT-0500,0.75400,0.75421,0.75345,0.75385,4112.6401
26.01.2017 13:00:00.000 GMT-0500,0.75388,0.75433,0.75361,0.75396,5598.4902
26.01.2017 14:00:00.000 GMT-0500,0.75391,0.75480,0.75374,0.75470,3649.4299
26.01.2017 15:00:00.000 GMT-0500,0.75471,0.75484,0.75375,0.75439,5398.04
26.01.2017 16:00:00.000 GMT-0500,0.75435,0.75460,0.75350,0.75384,3694.3301
26.01.2017 17:00:00.000 GMT-0500,0.75370,0.75470,0.75295,0.75323,2371.3999
26.01.2017 18:00:00.000 GMT-0500,0.75322,0.75365,0.75285,0.75326,3168.95
26.01.2017 19:00:00.000 GMT-0500,0.75322,0.75375,0.75297,0.75325,3967.01
26.01.2017 20:00:00.000 GMT-0500,0.75325,0.75412,0.75310,0.75383,6374.6201
26.01.2017 21:00:00.000 GMT-0500,0.75383,0.75423,0.75342,0.75415,4375.29
26.01.2017 22:00:00.000 GMT-0500,0.75415,0.75424,0.75360,0.75408,3149.8899
26.01.2017 23:00:00.000 GMT-0500,0.75408,0.75438,0.75336,0.75359,2765.5
27.01.2017 00:00:00.000 GMT-0500,0.75359,0.75411,0.75349,0.75385,3296.24
27.01.2017 01:00:00.000 GMT-0500,0.75385,0.75448,0.75284,0.75324,5810
27.01.2017 02:00:00.000 GMT-0500,0.75322,0.75461,0.75308,0.75431,6644.3999
27.01.2017 03:00:00.000 GMT-0500,0.75431,0.75463,0.75230,0.75240,7313.4302
27.01.2017 04:00:00.000 GMT-0500,0.75240,0.75311,0.75165,0.75299,6844.5698
27.01.2017 05:00:00.000 GMT-0500,0.75300,0.75390,0.75267,0.75370,6324.2002
27.01.2017 06:00:00.000 GMT-0500,0.75375,0.75380,0.75275,0.75318,4540.0801
27.01.2017 07:00:00.000 GMT-0500,0.75319,0.75466,0.75310,0.75440,6003.21
27.01.2017 08:00:00.000 GMT-0500,0.75439,0.75531,0.75393,0.75530,12933.3496
