Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0500,1.07105,1.07145,1.07045,1.07129,1594.4399
26.01.2017 01:00:00.000 GMT-0500,1.07129,1.07265,1.07115,1.07186,1734.3101
26.01.2017 02:00:00.000 GMT-0500,1.07199,1.07215,1.07102,1.07164,2416.5601
26.01.2017 03:00:00.000 GMT-0500,1.07162,1.07245,1.07105,1.07115,3427.72
26.01.2017 04:00:00.000 GMT-0500,1.07115,1.07275,1.07101,1.07145,4063.6299
26.01.2017 05:00:00.000 GMT-0500,1.07145,1.07305,1.07134,1.07295,3601.53
26.01.2017 06:00:00.000 GMT-0500,1.07294,1.07326,1.07225,1.07275,2509.04
26.01.2017 07:00:00.000 GMT-0500,1.07275,1.07315,1.07121,1.07142,5023.6602
26.01.2017 08:00:00.000 GMT-0500,1.07144,1.07410,1.07124,1.07336,6761.9102
26.01.2017 09:00:00.000 GMT-0500,1.07336,1.07425,1.07243,1.07395,6448.2402
26.01.2017 10:00:00.000 GMT-0500,1.07405,1.07505,1.07319,1.07369,7549.5801
26.01.2017 11:00:00.000 GMT-0500,1.07373,1.07375,1.07258,1.07335,4504.6299
26.01.2017 12:00:00.000 GMT-0500,1.07345,1.07445,1.07315,1.07400,2507.1399
26.01.2017 13:00:00.000 GMT-0500,1.07404,1.07450,1.07341,1.07356,2733.04
26.01.2017 14:00:00.000 GMT-0500,1.07364,1.07508,1.07340,1.07485,1905.48
26.01.2017 15:00:00.000 GMT-0500,1.07482,1.07509,1.07351,1.07439,3724.9199
26.01.2017 16:00:00.000 GMT-0500,1.07430,1.07546,1.07376,1.07538,2355.4399
26.01.2017 17:00:00.000 GMT-0500,1.07551,1.07569,1.07395,1.07435,248.93
26.01.2017 18:00:00.000 GMT-0500,1.07435,1.07515,1.07357,1.07475,1750.74
26.01.2017 19:00:00.000 GMT-0500,1.07473,1.07505,1.07354,1.07394,2794.23
26.01.2017 20:00:00.000 GMT-0500,1.07392,1.07440,1.07284,1.07395,4367.5
26.01.2017 21:00:00.000 GMT-0500,1.07395,1.07515,1.07382,1.07484,2510.4299
26.01.2017 22:00:00.000 GMT-0500,1.07485,1.07495,1.07365,1.07435,1927.75
26.01.2017 23:00:00.000 GMT-0500,1.07435,1.07514,1.07391,1.07404,1642
27.01.2017 00:00:00.000 GMT-0500,1.07399,1.07525,1.07380,1.07458,2026.48
27.01.2017 01:00:00.000 GMT-0500,1.07462,1.07601,1.07372,1.07419,3074.72
27.01.2017 02:00:00.000 GMT-0500,1.07418,1.07586,1.07405,1.07557,3541.3401
27.01.2017 03:00:00.000 GMT-0500,1.07579,1.07632,1.07373,1.07385,4052.4199
27.01.2017 04:00:00.000 GMT-0500,1.07385,1.07460,1.07311,1.07445,3362.72
27.01.2017 05:00:00.000 GMT-0500,1.07455,1.07512,1.07435,1.07463,2946.28
27.01.2017 06:00:00.000 GMT-0500,1.07461,1.07494,1.07398,1.07465,2099.46
27.01.2017 07:00:00.000 GMT-0500,1.07465,1.07715,1.07435,1.07625,3759.1399
27.01.2017 08:00:00.000 GMT-0500,1.07625,1.07994,1.07610,1.07977,8209.5195
27.01.2017 09:00:00.000 GMT-0500,1.07985,1.08093,1.07861,1.07899,8110.1099
27.01.2017 10:00:00.000 GMT-0500,1.07896,1.07956,1.07802,1.07825,6438.0698
27.01.2017 11:00:00.000 GMT-0500,1.07825,1.07875,1.07710,1.07818,4700.7998
27.01.2017 12:00:00.000 GMT-0500,1.07825,1.07964,1.07798,1.07922,2063.8601
27.01.2017 13:00:00.000 GMT-0500,1.07924,1.07929,1.07854,1.07883,1762.27
27.01.2017 14:00:00.000 GMT-0500,1.07886,1.08023,1.07874,1.08007,1477.09
27.01.2017 15:00:00.000 GMT-0500,1.08010,1.08164,1.07995,1.08160,2023.76
27.01.2017 16:00:00.000 GMT-0500,1.08162,1.08179,1.08070,1.08102,1465.23
29.01.2017 17:00:00.000 GMT-0500,1.08163,1.08230,1.08082,1.08097,694.51
29.01.2017 18:00:00.000 GMT-0500,1.08106,1.08106,1.07908,1.07922,2294.73
29.01.2017 19:00:00.000 GMT-0500,1.07925,1.07945,1.07686,1.07695,2662.24
29.01.2017 20:00:00.000 GMT-0500,1.07705,1.07756,1.07626,1.07666,1624.73
29.01.2017 21:00:00.000 GMT-0500,1.07664,1.07697,1.07515,1.07515,1167.24
29.01.2017 22:00:00.000 GMT-0500,1.07513,1.07575,1.07495,1.07565,1023.67
29.01.2017 23:00:00.000 GMT-0500,1.07565,1.07685,1.07555,1.07652,1625.74
30.01.2017 00:00:00.000 GMT-0500,1.07655,1.07675,1.07610,1.07631,1095.0699
30.01.2017 01:00:00.000 GMT-0500,1.07627,1.07629,1.07570,1.07621,1146.01
30.01.2017 02:00:00.000 GMT-0500,1.07621,1.07695,1.07562,1.07683,2441.1001
30.01.2017 03:00:00.000 GMT-0500,1.07685,1.07730,1.07619,1.07674,3811.7
30.01.2017 04:00:00.000 GMT-0500,1.07675,1.07745,1.07634,1.07672,2630.5901
30.01.2017 05:00:00.000 GMT-0500,1.07675,1.07735,1.07638,1.07695,2384.46
30.01.2017 06:00:00.000 GMT-0500,1.07695,1.07695,1.07511,1.07512,2305.27
30.01.2017 07:00:00.000 GMT-0500,1.07514,1.07624,1.07487,1.07601,4370.29
30.01.2017 08:00:00.000 GMT-0500,1.07599,1.07723,1.07523,1.07693,5155.2402
30.01.2017 09:00:00.000 GMT-0500,1.07691,1.07757,1.07568,1.07620,4458.5698
30.01.2017 10:00:00.000 GMT-0500,1.07617,1.07705,1.07572,1.07598,6208.3799
30.01.2017 11:00:00.000 GMT-0500,1.07598,1.07615,1.07442,1.07446,4167.3701
30.01.2017 12:00:00.000 GMT-0500,1.07445,1.07483,1.07301,1.07317,2787.21
30.01.2017 13:00:00.000 GMT-0500,1.07319,1.07350,1.07242,1.07292,2415.1299
30.01.2017 14:00:00.000 GMT-0500,1.07293,1.07350,1.07267,1.07333,1550.51
30.01.2017 15:00:00.000 GMT-0500,1.07329,1.07339,1.07241,1.07286,1822.27
30.01.2017 16:00:00.000 GMT-0500,1.07290,1.07419,1.07287,1.07405,1271.4301
30.01.2017 17:00:00.000 GMT-0500,1.07435,1.07572,1.07355,1.07428,434.7
30.01.2017 18:00:00.000 GMT-0500,1.07430,1.07492,1.07355,1.07492,1856.4
30.01.2017 19:00:00.000 GMT-0500,1.07498,1.07557,1.07379,1.07442,3713.9199
30.01.2017 20:00:00.000 GMT-0500,1.07440,1.07515,1.07379,1.07425,2614.1001
30.01.2017 21:00:00.000 GMT-0500,1.07425,1.07486,1.07395,1.07445,2131.3401
30.01.2017 22:00:00.000 GMT-0500,1.07444,1.07479,1.07375,1.07385,3538.97
30.01.2017 23:00:00.000 GMT-0500,1.07385,1.07445,1.07374,1.07406,1883.34
31.01.2017 00:00:00.000 GMT-0500,1.07406,1.07420,1.07325,1.07342,1638.37
31.01.2017 01:00:00.000 GMT-0500,1.07338,1.07355,1.07248,1.07261,1587.59
31.01.2017 02:00:00.000 GMT-0500,1.07262,1.07395,1.07258,1.07272,3004.7
