Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,48.280,48.280,47.210,47.540,5.0658
02.11.2017 10:00:00.000 GMT-0400,47.550,47.680,47.320,47.400,7.0633
02.11.2017 11:00:00.000 GMT-0400,47.390,47.490,47.112,47.252,4.4287
02.11.2017 12:00:00.000 GMT-0400,47.242,47.693,47.173,47.592,6.6716
02.11.2017 13:00:00.000 GMT-0400,47.613,47.643,47.282,47.393,4.765
02.11.2017 14:00:00.000 GMT-0400,47.392,47.463,47.192,47.392,4.6953
02.11.2017 15:00:00.000 GMT-0400,47.392,47.503,47.312,47.372,6.0405
03.11.2017 09:00:00.000 GMT-0400,47.363,47.623,46.842,47.082,5.2341
03.11.2017 10:00:00.000 GMT-0400,47.082,47.242,46.953,47.102,6.3435
03.11.2017 11:00:00.000 GMT-0400,47.093,47.103,46.813,46.882,5.2544
03.11.2017 12:00:00.000 GMT-0400,46.892,47.193,46.862,47.192,5.4535
03.11.2017 13:00:00.000 GMT-0400,47.172,47.302,47.072,47.262,4.5508
03.11.2017 14:00:00.000 GMT-0400,47.253,47.432,47.173,47.353,5.0331
03.11.2017 15:00:00.000 GMT-0400,47.342,47.512,47.282,47.452,6.7421
06.11.2017 09:00:00.000 GMT-0500,47.502,48.013,47.443,47.902,5.4806
06.11.2017 10:00:00.000 GMT-0500,47.943,48.123,47.803,47.893,6.1552
06.11.2017 11:00:00.000 GMT-0500,47.892,47.893,47.343,47.543,4.0051
06.11.2017 12:00:00.000 GMT-0500,47.542,47.603,47.293,47.382,4.0349
06.11.2017 13:00:00.000 GMT-0500,47.392,47.603,47.322,47.453,4.038
06.11.2017 14:00:00.000 GMT-0500,47.452,47.523,47.352,47.432,3.5396
06.11.2017 15:00:00.000 GMT-0500,47.442,47.633,47.442,47.512,4.7301
07.11.2017 09:00:00.000 GMT-0500,47.503,47.552,46.992,47.052,5.5176
07.11.2017 10:00:00.000 GMT-0500,47.042,47.203,46.782,46.812,6.9526
07.11.2017 11:00:00.000 GMT-0500,46.812,47.022,46.653,46.712,3.651
07.11.2017 12:00:00.000 GMT-0500,46.713,46.822,46.572,46.582,4.3318
07.11.2017 13:00:00.000 GMT-0500,46.583,46.723,46.563,46.582,3.482
07.11.2017 14:00:00.000 GMT-0500,46.602,46.683,46.583,46.643,3.1223
07.11.2017 15:00:00.000 GMT-0500,46.642,46.673,46.422,46.463,5.294
08.11.2017 09:00:00.000 GMT-0500,46.453,46.722,45.922,46.722,6.2947
08.11.2017 10:00:00.000 GMT-0500,46.722,46.993,46.512,46.623,6.892
08.11.2017 11:00:00.000 GMT-0500,46.622,46.672,46.462,46.532,5.9624
08.11.2017 12:00:00.000 GMT-0500,46.532,46.623,46.472,46.612,3.3552
08.11.2017 13:00:00.000 GMT-0500,46.612,46.702,46.552,46.602,3.2113
08.11.2017 14:00:00.000 GMT-0500,46.613,46.813,46.543,46.702,3.7567
08.11.2017 15:00:00.000 GMT-0500,46.703,46.713,46.262,46.383,5.9545
09.11.2017 09:00:00.000 GMT-0500,46.163,46.192,45.842,46.072,3.8355
09.11.2017 10:00:00.000 GMT-0500,46.072,46.352,46.002,46.352,6.1552
09.11.2017 11:00:00.000 GMT-0500,46.343,46.353,45.693,45.802,8.0539
09.11.2017 12:00:00.000 GMT-0500,45.803,45.852,45.472,45.612,9.0214
09.11.2017 13:00:00.000 GMT-0500,45.613,45.803,45.562,45.642,6.178
09.11.2017 14:00:00.000 GMT-0500,45.632,45.673,45.372,45.522,5.2717
09.11.2017 15:00:00.000 GMT-0500,45.512,45.813,45.462,45.772,6.563
10.11.2017 09:00:00.000 GMT-0500,45.623,45.993,45.622,45.813,5.0907
10.11.2017 10:00:00.000 GMT-0500,45.802,46.042,45.652,45.912,5.2933
10.11.2017 11:00:00.000 GMT-0500,45.912,46.032,45.842,45.872,3.9057
10.11.2017 12:00:00.000 GMT-0500,45.853,45.973,45.832,45.912,4.2944
10.11.2017 13:00:00.000 GMT-0500,45.912,46.103,45.862,46.072,4.7571
10.11.2017 14:00:00.000 GMT-0500,46.082,46.122,45.962,45.992,3.8527
10.11.2017 15:00:00.000 GMT-0500,45.993,46.033,45.812,45.832,4.7294
13.11.2017 09:00:00.000 GMT-0500,45.693,45.833,45.362,45.533,3.318
13.11.2017 10:00:00.000 GMT-0500,45.522,45.863,45.482,45.542,5.1777
13.11.2017 11:00:00.000 GMT-0500,45.542,45.642,45.442,45.502,3.6575
13.11.2017 12:00:00.000 GMT-0500,45.503,45.522,45.342,45.362,2.9132
13.11.2017 13:00:00.000 GMT-0500,45.362,45.463,45.352,45.422,2.68
13.11.2017 14:00:00.000 GMT-0500,45.423,45.533,45.382,45.502,2.9733
13.11.2017 15:00:00.000 GMT-0500,45.503,45.753,45.482,45.742,5.6774
14.11.2017 09:00:00.000 GMT-0500,45.542,45.762,45.362,45.702,3.5037
14.11.2017 10:00:00.000 GMT-0500,45.703,45.903,45.592,45.883,5.4331
14.11.2017 11:00:00.000 GMT-0500,45.892,45.963,45.773,45.922,4.726
14.11.2017 12:00:00.000 GMT-0500,45.913,45.943,45.632,45.672,3.7908
14.11.2017 13:00:00.000 GMT-0500,45.672,45.803,45.622,45.803,3.73
