Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,167.565,167.740,165.940,166.730,15.3621
02.11.2017 10:00:00.000 GMT-0400,166.730,166.880,165.780,166.500,26.5347
02.11.2017 11:00:00.000 GMT-0400,166.520,166.852,165.292,166.242,21.3455
02.11.2017 12:00:00.000 GMT-0400,166.243,168.213,165.942,167.742,24.2207
02.11.2017 13:00:00.000 GMT-0400,167.733,167.913,167.232,167.673,18.4193
02.11.2017 14:00:00.000 GMT-0400,167.673,168.503,167.672,168.052,18.1901
02.11.2017 15:00:00.000 GMT-0400,168.052,168.402,167.692,168.112,23.3932
03.11.2017 09:00:00.000 GMT-0400,173.993,174.253,171.152,171.782,20.233
03.11.2017 10:00:00.000 GMT-0400,171.772,172.692,171.213,172.033,28.6952
03.11.2017 11:00:00.000 GMT-0400,172.042,172.953,171.812,172.932,26.9493
03.11.2017 12:00:00.000 GMT-0400,172.942,173.272,172.632,173.092,19.4428
03.11.2017 13:00:00.000 GMT-0400,173.083,173.833,172.982,173.482,16.7814
03.11.2017 14:00:00.000 GMT-0400,173.482,173.492,172.572,172.832,16.393
03.11.2017 15:00:00.000 GMT-0400,172.833,172.923,172.323,172.502,17.6598
06.11.2017 09:00:00.000 GMT-0500,172.285,172.662,171.742,172.303,15.1594
06.11.2017 10:00:00.000 GMT-0500,172.302,174.772,172.232,174.723,25.976
06.11.2017 11:00:00.000 GMT-0500,174.713,174.913,174.122,174.592,21.8412
06.11.2017 12:00:00.000 GMT-0500,174.592,174.853,174.422,174.593,15.1901
06.11.2017 13:00:00.000 GMT-0500,174.602,174.903,174.432,174.902,15.167
06.11.2017 14:00:00.000 GMT-0500,174.893,174.993,174.482,174.833,15.9481
06.11.2017 15:00:00.000 GMT-0500,174.832,174.993,174.322,174.372,16.3925
07.11.2017 09:00:00.000 GMT-0500,173.942,175.262,173.652,174.912,19.0378
07.11.2017 10:00:00.000 GMT-0500,174.913,175.183,174.052,174.603,26.1397
07.11.2017 11:00:00.000 GMT-0500,174.603,175.143,174.392,174.492,22.8868
07.11.2017 12:00:00.000 GMT-0500,174.493,174.742,174.062,174.732,21.0953
07.11.2017 13:00:00.000 GMT-0500,174.723,174.983,174.462,174.552,14.6171
07.11.2017 14:00:00.000 GMT-0500,174.553,174.673,174.272,174.592,14.3816
07.11.2017 15:00:00.000 GMT-0500,174.573,174.813,174.422,174.802,16.3518
08.11.2017 09:00:00.000 GMT-0500,174.682,175.023,174.372,174.632,10.1036
08.11.2017 10:00:00.000 GMT-0500,174.633,175.383,174.632,175.252,17.0678
08.11.2017 11:00:00.000 GMT-0500,175.252,175.503,175.122,175.442,14.3248
08.11.2017 12:00:00.000 GMT-0500,175.443,175.673,175.343,175.572,10.9665
08.11.2017 13:00:00.000 GMT-0500,175.572,175.793,175.523,175.742,11.3064
08.11.2017 14:00:00.000 GMT-0500,175.743,176.033,175.642,175.982,10.4311
08.11.2017 15:00:00.000 GMT-0500,175.983,176.233,175.822,176.202,15.4721
09.11.2017 09:00:00.000 GMT-0500,175.145,175.932,174.803,175.422,14.9973
09.11.2017 10:00:00.000 GMT-0500,175.422,176.112,175.203,175.732,24.8324
09.11.2017 11:00:00.000 GMT-0500,175.732,175.763,174.682,174.862,23.3581
09.11.2017 12:00:00.000 GMT-0500,174.872,175.042,173.163,173.913,29.1892
09.11.2017 13:00:00.000 GMT-0500,173.912,174.823,173.443,174.822,19.9556
09.11.2017 14:00:00.000 GMT-0500,174.823,175.403,174.723,175.332,16.9526
09.11.2017 15:00:00.000 GMT-0500,175.323,175.913,175.002,175.853,20.4859
10.11.2017 09:00:00.000 GMT-0500,175.202,175.383,174.282,174.872,14.8923
10.11.2017 10:00:00.000 GMT-0500,174.872,175.253,174.442,175.252,24.223
10.11.2017 11:00:00.000 GMT-0500,175.253,175.343,174.672,175.023,18.3947
10.11.2017 12:00:00.000 GMT-0500,175.022,175.092,174.792,174.832,11.8333
10.11.2017 13:00:00.000 GMT-0500,174.833,175.143,174.712,174.823,13.0431
10.11.2017 14:00:00.000 GMT-0500,174.832,175.053,174.782,174.963,9.3213
10.11.2017 15:00:00.000 GMT-0500,174.962,175.003,174.612,174.663,13.1709
13.11.2017 09:00:00.000 GMT-0500,173.543,174.163,173.412,173.892,10.9536
13.11.2017 10:00:00.000 GMT-0500,173.882,174.503,173.772,174.202,21.5495
13.11.2017 11:00:00.000 GMT-0500,174.203,174.422,174.082,174.252,15.554
13.11.2017 12:00:00.000 GMT-0500,174.253,174.392,174.082,174.352,11.6488
13.11.2017 13:00:00.000 GMT-0500,174.343,174.403,174.122,174.383,9.669
13.11.2017 14:00:00.000 GMT-0500,174.382,174.392,174.062,174.132,8.8954
13.11.2017 15:00:00.000 GMT-0500,174.122,174.263,173.732,173.972,15.2133
14.11.2017 09:00:00.000 GMT-0500,173.073,173.493,172.542,172.752,17.2851
14.11.2017 10:00:00.000 GMT-0500,172.752,173.253,172.132,172.892,28.2141
14.11.2017 11:00:00.000 GMT-0500,172.902,173.263,172.733,172.992,20.9229
14.11.2017 12:00:00.000 GMT-0500,172.993,173.013,172.203,172.373,15.9494
14.11.2017 13:00:00.000 GMT-0500,172.372,172.373,171.503,171.843,20.222
14.11.2017 14:00:00.000 GMT-0500,171.862,172.012,171.762,171.952,13.1144
14.11.2017 15:00:00.000 GMT-0500,171.962,172.152,171.193,171.342,18.761
15.11.2017 09:00:00.000 GMT-0500,169.902,169.963,168.395,169.012,19.3118
15.11.2017 10:00:00.000 GMT-0500,169.012,170.323,168.923,170.273,30.309
15.11.2017 11:00:00.000 GMT-0500,170.282,170.313,169.453,169.483,20.8531
15.11.2017 12:00:00.000 GMT-0500,169.482,169.693,169.132,169.602,18.2054
15.11.2017 13:00:00.000 GMT-0500,169.593,169.622,168.962,169.202,17.6517
15.11.2017 14:00:00.000 GMT-0500,169.203,169.513,169.013,169.382,14.571
15.11.2017 15:00:00.000 GMT-0500,169.382,169.533,168.703,169.092,19.1431
16.11.2017 09:00:00.000 GMT-0500,171.202,171.202,170.312,170.553,15.2884
16.11.2017 10:00:00.000 GMT-0500,170.552,171.062,170.442,170.902,23.91
16.11.2017 11:00:00.000 GMT-0500,170.893,171.412,170.862,171.302,17.4251
16.11.2017 12:00:00.000 GMT-0500,171.302,171.753,171.263,171.522,14.8584
16.11.2017 13:00:00.000 GMT-0500,171.523,171.832,171.442,171.773,13.0552
16.11.2017 14:00:00.000 GMT-0500,171.772,171.873,171.432,171.553,13.566
16.11.2017 15:00:00.000 GMT-0500,171.552,171.633,171.102,171.102,14.5696
17.11.2017 09:00:00.000 GMT-0500,171.053,171.062,169.842,170.093,16.2938
17.11.2017 10:00:00.000 GMT-0500,170.092,171.393,169.842,170.892,20.4856
17.11.2017 11:00:00.000 GMT-0500,170.872,170.933,170.283,170.743,20.814
17.11.2017 12:00:00.000 GMT-0500,170.742,170.753,170.382,170.592,13.5303
17.11.2017 13:00:00.000 GMT-0500,170.593,170.613,170.242,170.382,11.9078
17.11.2017 14:00:00.000 GMT-0500,170.382,170.443,170.032,170.212,13.7465
17.11.2017 15:00:00.000 GMT-0500,170.213,170.292,169.662,170.072,16.1474
20.11.2017 09:00:00.000 GMT-0500,170.352,170.553,169.722,170.172,14.9367
20.11.2017 10:00:00.000 GMT-0500,170.162,170.363,169.742,170.083,21.7314
20.11.2017 11:00:00.000 GMT-0500,170.082,170.123,169.612,169.952,13.6362
20.11.2017 12:00:00.000 GMT-0500,169.953,169.983,169.572,169.972,10.9463
20.11.2017 13:00:00.000 GMT-0500,169.963,170.223,169.932,170.013,9.1122
20.11.2017 14:00:00.000 GMT-0500,170.002,170.062,169.872,170.033,7.2849
20.11.2017 15:00:00.000 GMT-0500,170.032,170.153,169.862,170.002,17.0391
21.11.2017 09:00:00.000 GMT-0500,171.012,172.863,170.922,172.850,15.9371
21.11.2017 10:00:00.000 GMT-0500,172.850,173.703,172.790,173.281,27.4044
21.11.2017 11:00:00.000 GMT-0500,173.281,173.653,173.230,173.533,19.8437
21.11.2017 12:00:00.000 GMT-0500,173.529,173.613,173.122,173.183,15.1155
21.11.2017 13:00:00.000 GMT-0500,173.172,173.242,172.953,173.122,12.964
21.11.2017 14:00:00.000 GMT-0500,173.133,173.153,172.711,172.972,14.8994
21.11.2017 15:00:00.000 GMT-0500,172.972,173.230,172.711,173.142,17.8175
22.11.2017 09:00:00.000 GMT-0500,173.373,174.272,173.072,173.382,17.2817
22.11.2017 10:00:00.000 GMT-0500,173.372,174.603,173.307,174.503,25.4845
22.11.2017 11:00:00.000 GMT-0500,174.502,174.998,173.870,174.293,22.8995
22.11.2017 12:00:00.000 GMT-0500,174.293,174.532,174.023,174.282,17.7245
22.11.2017 13:00:00.000 GMT-0500,174.282,174.353,173.921,174.352,16.5796
22.11.2017 14:00:00.000 GMT-0500,174.353,174.703,174.212,174.493,13.8154
22.11.2017 15:00:00.000 GMT-0500,174.492,175.003,174.362,174.952,22.524
24.11.2017 09:00:00.000 GMT-0500,175.103,175.502,174.680,175.212,11.6578
24.11.2017 10:00:00.000 GMT-0500,175.202,175.310,174.911,175.073,17.6048
24.11.2017 11:00:00.000 GMT-0500,175.062,175.313,175.013,175.150,17.6183
24.11.2017 12:00:00.000 GMT-0500,175.150,175.262,174.922,174.969,15.7127
27.11.2017 09:00:00.000 GMT-0500,174.983,175.003,173.372,174.633,18.6877
27.11.2017 10:00:00.000 GMT-0500,174.633,174.983,174.461,174.532,23.7751
27.11.2017 11:00:00.000 GMT-0500,174.522,174.543,173.612,174.083,28.0706
27.11.2017 12:00:00.000 GMT-0500,174.062,174.353,173.871,174.089,21.6194
27.11.2017 13:00:00.000 GMT-0500,174.092,174.493,174.071,174.422,17.2494
27.11.2017 14:00:00.000 GMT-0500,174.412,174.423,174.062,174.292,17.2426
27.11.2017 15:00:00.000 GMT-0500,174.283,174.313,174.022,174.093,16.336
28.11.2017 09:00:00.000 GMT-0500,174.253,174.873,173.810,173.883,16.6775
28.11.2017 10:00:00.000 GMT-0500,173.893,174.203,173.092,173.322,25.5602
28.11.2017 11:00:00.000 GMT-0500,173.332,173.463,172.708,172.982,23.5911
28.11.2017 12:00:00.000 GMT-0500,172.982,173.393,172.572,172.893,20.7728
28.11.2017 13:00:00.000 GMT-0500,172.903,173.203,172.383,172.472,21.4806
28.11.2017 14:00:00.000 GMT-0500,172.473,173.103,171.873,172.851,23.6443
28.11.2017 15:00:00.000 GMT-0500,172.853,173.202,172.738,173.037,22.6387
29.11.2017 09:00:00.000 GMT-0500,172.612,172.933,171.692,171.813,21.0272
29.11.2017 10:00:00.000 GMT-0500,171.822,171.832,168.742,168.812,47.6887
29.11.2017 11:00:00.000 GMT-0500,168.795,169.642,167.282,167.374,45.3063
29.11.2017 12:00:00.000 GMT-0500,167.393,169.353,167.179,168.633,38.5983
29.11.2017 13:00:00.000 GMT-0500,168.622,169.469,168.263,168.473,26.3948
29.11.2017 14:00:00.000 GMT-0500,168.473,169.423,168.430,168.962,27.6954
29.11.2017 15:00:00.000 GMT-0500,168.972,169.642,168.500,169.373,29.643
30.11.2017 09:00:00.000 GMT-0500,170.483,170.663,168.462,170.021,22.7139
30.11.2017 10:00:00.000 GMT-0500,170.021,171.091,169.962,170.442,37.1157
30.11.2017 11:00:00.000 GMT-0500,170.449,171.502,170.352,170.972,31.659
30.11.2017 12:00:00.000 GMT-0500,170.973,171.483,170.780,171.303,28.0323
30.11.2017 13:00:00.000 GMT-0500,171.303,171.883,171.242,171.821,27.3625
30.11.2017 14:00:00.000 GMT-0500,171.822,171.963,171.542,171.742,21.4985
30.11.2017 15:00:00.000 GMT-0500,171.752,172.152,171.268,171.772,26.2051
01.12.2017 09:00:00.000 GMT-0500,170.002,170.972,169.653,170.202,19.4008
01.12.2017 10:00:00.000 GMT-0500,170.202,171.682,170.069,170.972,33.9536
01.12.2017 11:00:00.000 GMT-0500,170.972,171.403,168.542,169.883,36.4721
01.12.2017 12:00:00.000 GMT-0500,169.883,170.653,169.482,170.251,39.5797
01.12.2017 13:00:00.000 GMT-0500,170.242,170.842,170.163,170.472,28.1918
01.12.2017 14:00:00.000 GMT-0500,170.482,171.082,170.285,170.563,23.9224
01.12.2017 15:00:00.000 GMT-0500,170.552,171.213,170.259,171.003,27.4748
04.12.2017 09:00:00.000 GMT-0500,172.493,172.623,171.463,171.663,20.1607
04.12.2017 10:00:00.000 GMT-0500,171.670,171.902,170.162,170.513,44.171
04.12.2017 11:00:00.000 GMT-0500,170.502,171.681,170.102,171.502,38.8811
04.12.2017 12:00:00.000 GMT-0500,171.508,172.209,171.042,171.483,27.1299
