Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,176.390,177.390,176.000,176.990,4.4401
02.11.2017 10:00:00.000 GMT-0400,176.990,178.920,176.660,178.530,7.9091
02.11.2017 11:00:00.000 GMT-0400,178.530,179.163,178.062,178.942,6.2302
02.11.2017 12:00:00.000 GMT-0400,178.943,180.002,178.822,179.532,5.7596
02.11.2017 13:00:00.000 GMT-0400,179.533,180.633,179.512,180.553,5.8286
02.11.2017 14:00:00.000 GMT-0400,180.542,181.483,180.312,181.012,6.9601
02.11.2017 15:00:00.000 GMT-0400,181.012,181.123,180.532,180.933,9.2509
03.11.2017 09:00:00.000 GMT-0400,181.793,181.913,179.842,180.302,5.0902
03.11.2017 10:00:00.000 GMT-0400,180.303,181.052,180.162,181.002,7.6317
03.11.2017 11:00:00.000 GMT-0400,181.002,181.503,180.772,181.503,5.2726
03.11.2017 12:00:00.000 GMT-0400,181.502,181.572,181.163,181.463,4.6732
03.11.2017 13:00:00.000 GMT-0400,181.462,182.073,181.322,181.992,5.4821
03.11.2017 14:00:00.000 GMT-0400,181.982,182.753,181.912,182.393,6.3406
03.11.2017 15:00:00.000 GMT-0400,182.383,182.422,182.002,182.303,7.2599
06.11.2017 09:00:00.000 GMT-0500,182.052,182.292,180.923,181.352,4.6069
06.11.2017 10:00:00.000 GMT-0500,181.143,181.633,180.742,181.052,6.3372
06.11.2017 11:00:00.000 GMT-0500,181.053,181.393,180.872,181.002,4.5422
06.11.2017 12:00:00.000 GMT-0500,181.062,181.252,180.793,180.833,2.5514
06.11.2017 13:00:00.000 GMT-0500,180.832,180.983,180.552,180.962,3.6182
06.11.2017 14:00:00.000 GMT-0500,180.962,180.963,180.652,180.813,3.2913
06.11.2017 15:00:00.000 GMT-0500,180.803,180.983,180.673,180.812,6.3427
07.11.2017 09:00:00.000 GMT-0500,181.243,181.793,180.740,181.273,4.4873
07.11.2017 10:00:00.000 GMT-0500,181.272,181.793,180.173,180.262,7.2008
