Local time,Open,High,Low,Close,Volume
30.01.2018 11:00:00.000 GMT-0500,68.503,68.630,68.362,68.522,7.0848
30.01.2018 12:00:00.000 GMT-0500,68.522,68.653,68.390,68.602,8.8075
30.01.2018 13:00:00.000 GMT-0500,68.603,68.643,68.460,68.472,7.2283
30.01.2018 14:00:00.000 GMT-0500,68.472,68.723,68.469,68.712,9.3276
30.01.2018 15:00:00.000 GMT-0500,68.712,68.713,68.352,68.363,10.3302
31.01.2018 09:00:00.000 GMT-0500,68.682,68.682,67.852,68.063,8.029
31.01.2018 10:00:00.000 GMT-0500,68.032,68.382,67.992,68.322,13.2646
31.01.2018 11:00:00.000 GMT-0500,68.332,68.433,68.152,68.402,12.2634
31.01.2018 12:00:00.000 GMT-0500,68.402,68.483,68.279,68.463,7.9719
31.01.2018 13:00:00.000 GMT-0500,68.453,68.463,68.242,68.333,8.1419
31.01.2018 14:00:00.000 GMT-0500,68.322,68.593,67.952,68.033,17.5045
31.01.2018 15:00:00.000 GMT-0500,68.033,68.863,68.010,68.783,14.2179
01.02.2018 09:00:00.000 GMT-0500,68.812,68.993,68.493,68.683,8.7256
01.02.2018 10:00:00.000 GMT-0500,68.713,68.863,67.842,67.933,15.2399
01.02.2018 11:00:00.000 GMT-0500,67.933,68.633,67.922,68.511,13.7285
01.02.2018 12:00:00.000 GMT-0500,68.510,68.571,68.112,68.152,13.7779
01.02.2018 13:00:00.000 GMT-0500,68.152,68.232,68.092,68.162,8.5517
01.02.2018 14:00:00.000 GMT-0500,68.173,68.242,67.911,67.993,13.5306
01.02.2018 15:00:00.000 GMT-0500,68.003,68.023,67.680,67.842,15.1689
02.02.2018 09:00:00.000 GMT-0500,67.833,68.222,67.543,68.172,8.9554
02.02.2018 10:00:00.000 GMT-0500,68.170,68.263,67.843,68.051,10.3391
02.02.2018 11:00:00.000 GMT-0500,68.043,68.052,67.592,67.712,9.6885
02.02.2018 12:00:00.000 GMT-0500,67.712,67.963,67.702,67.801,6.6314
02.02.2018 13:00:00.000 GMT-0500,67.801,67.873,67.712,67.782,9.1677
02.02.2018 14:00:00.000 GMT-0500,67.782,67.930,67.762,67.863,13.3821
02.02.2018 15:00:00.000 GMT-0500,67.862,67.923,67.661,67.758,13.7667
05.02.2018 09:00:00.000 GMT-0500,67.922,68.213,67.562,67.983,9.6388
05.02.2018 10:00:00.000 GMT-0500,67.983,68.082,67.661,67.930,15.8057
05.02.2018 11:00:00.000 GMT-0500,67.920,68.433,67.910,68.032,11.7534
05.02.2018 12:00:00.000 GMT-0500,68.033,68.123,67.700,67.712,12.8429
05.02.2018 13:00:00.000 GMT-0500,67.712,67.713,67.092,67.262,16.9679
05.02.2018 14:00:00.000 GMT-0500,67.262,67.433,66.923,66.963,18.5309
05.02.2018 15:00:00.000 GMT-0500,66.963,67.282,66.312,66.498,39.9056
06.02.2018 09:00:00.000 GMT-0500,65.552,65.602,64.622,65.313,14.1203
06.02.2018 10:00:00.000 GMT-0500,65.313,65.883,64.511,64.532,24.9875
06.02.2018 11:00:00.000 GMT-0500,64.532,64.651,63.952,64.492,21.9668
06.02.2018 12:00:00.000 GMT-0500,64.493,65.073,64.432,64.892,17.0169
06.02.2018 13:00:00.000 GMT-0500,64.892,64.933,64.301,64.492,14.6707
06.02.2018 14:00:00.000 GMT-0500,64.491,64.711,63.942,64.652,18.1746
06.02.2018 15:00:00.000 GMT-0500,64.653,65.142,64.582,64.912,23.0565
07.02.2018 09:00:00.000 GMT-0500,64.813,65.462,64.593,64.731,12.109
07.02.2018 10:00:00.000 GMT-0500,64.732,65.363,64.629,65.342,20.7021
07.02.2018 11:00:00.000 GMT-0500,65.342,65.381,64.770,65.052,17.1826
07.02.2018 12:00:00.000 GMT-0500,65.051,65.223,64.921,65.100,13.1764
07.02.2018 13:00:00.000 GMT-0500,65.100,65.213,64.533,64.702,20.4712
07.02.2018 14:00:00.000 GMT-0500,64.692,64.832,64.372,64.612,17.1243
07.02.2018 15:00:00.000 GMT-0500,64.612,64.923,64.422,64.442,19.7663
08.02.2018 09:00:00.000 GMT-0500,63.812,64.053,63.392,63.882,10.7677
08.02.2018 10:00:00.000 GMT-0500,63.882,64.111,63.522,64.072,21.7008
08.02.2018 11:00:00.000 GMT-0500,64.081,64.852,63.998,64.472,24.5663
08.02.2018 12:00:00.000 GMT-0500,64.473,64.680,64.273,64.450,21.1813
08.02.2018 13:00:00.000 GMT-0500,64.463,64.542,64.060,64.163,22.9029
08.02.2018 14:00:00.000 GMT-0500,64.159,64.243,63.983,64.153,20.8277
08.02.2018 15:00:00.000 GMT-0500,64.152,64.273,63.332,63.332,27.5819
09.02.2018 09:00:00.000 GMT-0500,63.912,64.253,63.423,64.012,11.8145
09.02.2018 10:00:00.000 GMT-0500,63.995,64.680,63.972,64.540,25.7061
09.02.2018 11:00:00.000 GMT-0500,64.543,64.710,64.212,64.222,25.7422
09.02.2018 12:00:00.000 GMT-0500,64.223,64.253,63.981,64.143,28.7517
09.02.2018 13:00:00.000 GMT-0500,64.143,64.143,63.514,63.583,29.4536
09.02.2018 14:00:00.000 GMT-0500,63.582,64.273,63.572,63.920,31.3297
