Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,10.820,10.900,10.780,10.850,1.4108
02.11.2017 10:00:00.000 GMT-0400,10.860,10.880,10.720,10.750,3.7877
02.11.2017 11:00:00.000 GMT-0400,10.755,10.993,10.750,10.822,13.327
02.11.2017 12:00:00.000 GMT-0400,10.832,10.893,10.802,10.832,10.8096
02.11.2017 13:00:00.000 GMT-0400,10.833,10.863,10.772,10.772,10.0594
02.11.2017 14:00:00.000 GMT-0400,10.773,10.823,10.772,10.793,14.3573
02.11.2017 15:00:00.000 GMT-0400,10.803,10.883,10.792,10.852,33.2287
03.11.2017 09:00:00.000 GMT-0400,10.943,11.003,10.832,10.842,10.0377
03.11.2017 10:00:00.000 GMT-0400,10.843,11.003,10.842,11.002,14.1475
03.11.2017 11:00:00.000 GMT-0400,11.012,11.013,10.932,10.962,23.4894
03.11.2017 12:00:00.000 GMT-0400,10.963,10.963,10.892,10.942,10.8681
03.11.2017 13:00:00.000 GMT-0400,10.952,10.972,10.892,10.942,8.72
03.11.2017 14:00:00.000 GMT-0400,10.943,11.013,10.922,11.012,16.8572
03.11.2017 15:00:00.000 GMT-0400,11.013,11.133,11.012,11.122,52.2681
06.11.2017 09:00:00.000 GMT-0500,12.032,12.083,11.662,11.932,14.7341
06.11.2017 10:00:00.000 GMT-0500,11.923,11.923,11.652,11.683,17.4918
06.11.2017 11:00:00.000 GMT-0500,11.682,11.783,11.672,11.702,21.5698
06.11.2017 12:00:00.000 GMT-0500,11.703,11.803,11.662,11.802,17.9794
06.11.2017 13:00:00.000 GMT-0500,11.803,11.843,11.782,11.833,13.0141
06.11.2017 14:00:00.000 GMT-0500,11.832,11.942,11.822,11.902,20.0886
06.11.2017 15:00:00.000 GMT-0500,11.903,11.982,11.862,11.952,60.0705
07.11.2017 09:00:00.000 GMT-0500,11.932,12.153,11.932,12.063,14.6434
07.11.2017 10:00:00.000 GMT-0500,12.062,12.113,11.982,12.093,19.6988
07.11.2017 11:00:00.000 GMT-0500,12.092,12.273,12.082,12.172,21.7863
07.11.2017 12:00:00.000 GMT-0500,12.173,12.193,12.072,12.133,17.0411
07.11.2017 13:00:00.000 GMT-0500,12.132,12.162,12.082,12.132,19.6625
07.11.2017 14:00:00.000 GMT-0500,12.133,12.173,12.082,12.092,23.4742
07.11.2017 15:00:00.000 GMT-0500,12.093,12.093,12.022,12.052,42.2174
08.11.2017 09:00:00.000 GMT-0500,11.963,11.963,11.532,11.572,10.1949
08.11.2017 10:00:00.000 GMT-0500,11.573,11.793,11.522,11.743,16.8121
08.11.2017 11:00:00.000 GMT-0500,11.742,11.803,11.592,11.602,16.0425
08.11.2017 12:00:00.000 GMT-0500,11.603,11.673,11.602,11.642,14.3856
08.11.2017 13:00:00.000 GMT-0500,11.642,11.683,11.612,11.662,11.7713
08.11.2017 14:00:00.000 GMT-0500,11.672,11.723,11.662,11.692,16.952
08.11.2017 15:00:00.000 GMT-0500,11.693,11.713,11.622,11.712,43.1977
09.11.2017 09:00:00.000 GMT-0500,11.283,11.353,11.112,11.212,11.2333
09.11.2017 10:00:00.000 GMT-0500,11.222,11.293,11.212,11.262,21.6259
09.11.2017 11:00:00.000 GMT-0500,11.263,11.353,11.232,11.262,18.8487
09.11.2017 12:00:00.000 GMT-0500,11.263,11.273,11.042,11.143,18.4079
09.11.2017 13:00:00.000 GMT-0500,11.142,11.202,11.112,11.133,16.4802
09.11.2017 14:00:00.000 GMT-0500,11.132,11.173,11.112,11.112,15.4702
09.11.2017 15:00:00.000 GMT-0500,11.112,11.163,11.112,11.122,42.1018
10.11.2017 09:00:00.000 GMT-0500,11.232,11.432,11.122,11.342,12.1873
10.11.2017 10:00:00.000 GMT-0500,11.333,11.363,11.222,11.222,19.9826
10.11.2017 11:00:00.000 GMT-0500,11.232,11.322,11.232,11.282,18.686
10.11.2017 12:00:00.000 GMT-0500,11.283,11.313,11.232,11.232,14.5591
10.11.2017 13:00:00.000 GMT-0500,11.233,11.303,11.222,11.282,13.8725
10.11.2017 14:00:00.000 GMT-0500,11.283,11.303,11.242,11.263,11.8251
10.11.2017 15:00:00.000 GMT-0500,11.262,11.293,11.232,11.263,41.3932
13.11.2017 09:00:00.000 GMT-0500,11.182,11.203,10.932,11.022,6.9796
13.11.2017 10:00:00.000 GMT-0500,11.023,11.172,11.012,11.152,16.9926
13.11.2017 11:00:00.000 GMT-0500,11.142,11.143,11.042,11.052,15.7298
13.11.2017 12:00:00.000 GMT-0500,11.053,11.063,10.972,11.053,15.8059
13.11.2017 13:00:00.000 GMT-0500,11.052,11.053,10.972,11.032,16.7831
13.11.2017 14:00:00.000 GMT-0500,11.033,11.093,11.033,11.073,19.4059
13.11.2017 15:00:00.000 GMT-0500,11.072,11.113,11.062,11.083,41.4652
14.11.2017 09:00:00.000 GMT-0500,11.042,11.263,11.012,11.232,15.2049
14.11.2017 10:00:00.000 GMT-0500,11.233,11.243,11.082,11.102,23.6566
14.11.2017 11:00:00.000 GMT-0500,11.112,11.163,11.072,11.162,26.1865
14.11.2017 12:00:00.000 GMT-0500,11.163,11.163,11.032,11.053,22.7565
14.11.2017 13:00:00.000 GMT-0500,11.052,11.083,11.032,11.052,16.897
14.11.2017 14:00:00.000 GMT-0500,11.062,11.083,11.032,11.062,19.6744
14.11.2017 15:00:00.000 GMT-0500,11.073,11.123,11.062,11.122,42.898
15.11.2017 09:00:00.000 GMT-0500,11.013,11.033,10.782,10.912,11.369
15.11.2017 10:00:00.000 GMT-0500,10.923,11.073,10.922,11.042,18.4448
15.11.2017 11:00:00.000 GMT-0500,11.042,11.102,11.012,11.092,14.547
15.11.2017 12:00:00.000 GMT-0500,11.083,11.123,11.032,11.122,15.1561
15.11.2017 13:00:00.000 GMT-0500,11.123,11.133,11.062,11.113,12.8092
15.11.2017 14:00:00.000 GMT-0500,11.112,11.133,11.102,11.122,14.1831
15.11.2017 15:00:00.000 GMT-0500,11.123,11.123,11.052,11.073,36.4716
16.11.2017 09:00:00.000 GMT-0500,11.153,11.303,11.153,11.262,11.5512
16.11.2017 10:00:00.000 GMT-0500,11.263,11.323,11.212,11.262,26.3948
16.11.2017 11:00:00.000 GMT-0500,11.263,11.303,11.212,11.243,24.227
16.11.2017 12:00:00.000 GMT-0500,11.242,11.293,11.232,11.292,16.1057
16.11.2017 13:00:00.000 GMT-0500,11.293,11.303,11.262,11.273,13.25
16.11.2017 14:00:00.000 GMT-0500,11.272,11.302,11.262,11.263,22.7277
16.11.2017 15:00:00.000 GMT-0500,11.262,11.283,11.242,11.252,69.1248
17.11.2017 09:00:00.000 GMT-0500,11.313,11.753,11.292,11.733,13.2549
17.11.2017 10:00:00.000 GMT-0500,11.732,11.733,11.522,11.593,16.1672
17.11.2017 11:00:00.000 GMT-0500,11.592,11.603,11.492,11.532,17.0482
17.11.2017 12:00:00.000 GMT-0500,11.523,11.623,11.522,11.563,18.8995
17.11.2017 13:00:00.000 GMT-0500,11.562,11.572,11.492,11.522,16.5438
17.11.2017 14:00:00.000 GMT-0500,11.523,11.523,11.442,11.492,15.2125
17.11.2017 15:00:00.000 GMT-0500,11.493,11.493,11.342,11.392,47.0433
20.11.2017 09:00:00.000 GMT-0500,11.492,11.493,11.232,11.313,9.984
20.11.2017 10:00:00.000 GMT-0500,11.312,11.313,11.202,11.273,23.1567
20.11.2017 11:00:00.000 GMT-0500,11.272,11.382,11.262,11.362,17.0977
20.11.2017 12:00:00.000 GMT-0500,11.353,11.402,11.332,11.342,19.2447
20.11.2017 13:00:00.000 GMT-0500,11.343,11.393,11.332,11.362,17.8718
20.11.2017 14:00:00.000 GMT-0500,11.373,11.373,11.332,11.363,24.709
20.11.2017 15:00:00.000 GMT-0500,11.362,11.363,11.322,11.342,78.5315
21.11.2017 09:00:00.000 GMT-0500,11.463,11.463,11.252,11.381,12.7423
21.11.2017 10:00:00.000 GMT-0500,11.382,11.452,11.341,11.450,22.1953
21.11.2017 11:00:00.000 GMT-0500,11.452,11.483,11.422,11.453,17.604
21.11.2017 12:00:00.000 GMT-0500,11.452,11.453,11.372,11.390,15.3356
21.11.2017 13:00:00.000 GMT-0500,11.390,11.443,11.389,11.412,13.0922
21.11.2017 14:00:00.000 GMT-0500,11.413,11.431,11.379,11.412,15.748
21.11.2017 15:00:00.000 GMT-0500,11.412,11.413,11.390,11.402,24.6012
22.11.2017 09:00:00.000 GMT-0500,11.422,11.492,11.312,11.362,12.4665
22.11.2017 10:00:00.000 GMT-0500,11.362,11.393,11.312,11.363,20.7481
22.11.2017 11:00:00.000 GMT-0500,11.362,11.373,11.312,11.353,19.7062
22.11.2017 12:00:00.000 GMT-0500,11.352,11.353,11.312,11.342,17.594
22.11.2017 13:00:00.000 GMT-0500,11.342,11.382,11.341,11.372,17.2404
22.11.2017 14:00:00.000 GMT-0500,11.372,11.433,11.366,11.411,15.7724
22.11.2017 15:00:00.000 GMT-0500,11.412,11.440,11.382,11.382,25.5365
24.11.2017 09:00:00.000 GMT-0500,11.392,11.403,11.312,11.391,7.8673
24.11.2017 10:00:00.000 GMT-0500,11.390,11.423,11.362,11.373,16.9318
24.11.2017 11:00:00.000 GMT-0500,11.373,11.392,11.362,11.381,19.4685
24.11.2017 12:00:00.000 GMT-0500,11.382,11.393,11.372,11.379,43.9585
27.11.2017 09:00:00.000 GMT-0500,11.342,11.673,11.342,11.643,13.7729
27.11.2017 10:00:00.000 GMT-0500,11.632,11.743,11.579,11.623,25.4255
27.11.2017 11:00:00.000 GMT-0500,11.622,11.653,11.493,11.511,23.5148
27.11.2017 12:00:00.000 GMT-0500,11.511,11.632,11.509,11.583,17.4925
27.11.2017 13:00:00.000 GMT-0500,11.583,11.623,11.560,11.592,14.8304
27.11.2017 14:00:00.000 GMT-0500,11.593,11.623,11.582,11.603,10.9614
27.11.2017 15:00:00.000 GMT-0500,11.602,11.603,11.560,11.562,35.702
28.11.2017 09:00:00.000 GMT-0500,11.463,11.542,11.082,11.089,17.9276
28.11.2017 10:00:00.000 GMT-0500,11.092,11.153,11.012,11.023,35.342
