Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,1099.000,1101.000,1094.670,1101.000,8.7527
02.11.2017 10:00:00.000 GMT-0400,1101.000,1101.970,1093.300,1093.930,13.8371
02.11.2017 11:00:00.000 GMT-0400,1093.770,1097.393,1087.163,1092.002,12.516
02.11.2017 12:00:00.000 GMT-0400,1092.002,1094.603,1090.493,1093.753,11.252
02.11.2017 13:00:00.000 GMT-0400,1093.752,1094.003,1088.248,1089.393,7.5478
02.11.2017 14:00:00.000 GMT-0400,1089.323,1096.503,1089.192,1095.552,9.8622
02.11.2017 15:00:00.000 GMT-0400,1095.603,1096.663,1093.243,1094.003,7.9565
03.11.2017 09:00:00.000 GMT-0400,1091.362,1093.303,1089.512,1091.752,6.275
03.11.2017 10:00:00.000 GMT-0400,1091.753,1094.882,1088.783,1094.003,11.4991
03.11.2017 11:00:00.000 GMT-0400,1094.002,1094.503,1090.748,1094.503,7.1388
03.11.2017 12:00:00.000 GMT-0400,1094.503,1097.223,1093.478,1097.063,7.1879
03.11.2017 13:00:00.000 GMT-0400,1097.062,1109.033,1097.002,1107.002,13.4321
03.11.2017 14:00:00.000 GMT-0400,1106.932,1112.602,1106.572,1111.632,11.2535
03.11.2017 15:00:00.000 GMT-0400,1111.633,1112.683,1109.463,1111.563,12.7792
06.11.2017 09:00:00.000 GMT-0500,1109.250,1121.503,1109.122,1118.902,9.2109
06.11.2017 10:00:00.000 GMT-0500,1118.902,1123.482,1115.772,1121.493,11.8493
06.11.2017 11:00:00.000 GMT-0500,1121.463,1122.333,1119.082,1120.962,9.5227
06.11.2017 12:00:00.000 GMT-0500,1120.963,1123.253,1119.865,1122.152,7.5992
06.11.2017 13:00:00.000 GMT-0500,1122.153,1125.253,1121.742,1123.443,8.9983
06.11.2017 14:00:00.000 GMT-0500,1123.443,1125.383,1122.182,1125.353,8.8321
06.11.2017 15:00:00.000 GMT-0500,1125.253,1125.403,1121.412,1121.702,9.416
07.11.2017 09:00:00.000 GMT-0500,1124.372,1130.702,1123.752,1127.183,8.2327
07.11.2017 10:00:00.000 GMT-0500,1127.342,1127.903,1117.833,1120.172,13.3138
07.11.2017 11:00:00.000 GMT-0500,1120.182,1123.002,1117.942,1118.932,11.2714
07.11.2017 12:00:00.000 GMT-0500,1118.932,1122.963,1117.613,1122.052,8.6643
07.11.2017 13:00:00.000 GMT-0500,1122.053,1124.583,1121.282,1123.662,9.7708
07.11.2017 14:00:00.000 GMT-0500,1123.663,1124.643,1122.262,1124.093,7.9961
07.11.2017 15:00:00.000 GMT-0500,1124.092,1124.203,1121.242,1123.043,10.3865
08.11.2017 09:00:00.000 GMT-0500,1122.325,1126.502,1119.563,1122.302,5.0059
08.11.2017 10:00:00.000 GMT-0500,1122.292,1125.383,1122.013,1124.183,9.7471
08.11.2017 11:00:00.000 GMT-0500,1124.182,1128.973,1124.132,1128.002,9.4143
08.11.2017 12:00:00.000 GMT-0500,1128.012,1128.903,1127.362,1128.633,6.8076
08.11.2017 13:00:00.000 GMT-0500,1128.633,1134.343,1128.502,1133.853,9.566
08.11.2017 14:00:00.000 GMT-0500,1133.852,1134.403,1131.503,1134.343,8.3806
08.11.2017 15:00:00.000 GMT-0500,1134.122,1135.513,1132.542,1133.302,11.1422
09.11.2017 09:00:00.000 GMT-0500,1127.502,1128.003,1122.112,1125.482,8.5757
