Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,160.290,160.410,159.650,159.780,0.8284
02.11.2017 10:00:00.000 GMT-0400,159.780,159.830,158.748,158.790,5.5457
02.11.2017 11:00:00.000 GMT-0400,158.790,159.192,158.370,158.480,6.2285
02.11.2017 12:00:00.000 GMT-0400,158.482,158.704,158.222,158.623,5.5542
02.11.2017 13:00:00.000 GMT-0400,158.633,159.192,158.552,159.092,4.3499
02.11.2017 14:00:00.000 GMT-0400,159.092,159.203,158.892,158.892,4.2066
02.11.2017 15:00:00.000 GMT-0400,158.892,159.413,158.753,159.373,7.0203
03.11.2017 09:00:00.000 GMT-0400,159.523,159.998,158.962,159.322,2.9029
03.11.2017 10:00:00.000 GMT-0400,159.322,159.332,158.383,158.583,3.3476
03.11.2017 11:00:00.000 GMT-0400,158.582,159.353,158.533,159.163,3.0871
03.11.2017 12:00:00.000 GMT-0400,159.163,159.393,159.121,159.302,1.5814
03.11.2017 13:00:00.000 GMT-0400,159.302,159.333,158.983,159.012,1.9513
03.11.2017 14:00:00.000 GMT-0400,159.012,159.232,158.972,159.162,1.8845
03.11.2017 15:00:00.000 GMT-0400,159.162,159.303,159.053,159.253,5.3736
06.11.2017 09:00:00.000 GMT-0500,159.811,160.002,159.332,159.752,1.3822
06.11.2017 10:00:00.000 GMT-0500,159.692,159.692,159.092,159.203,3.464
06.11.2017 11:00:00.000 GMT-0500,159.203,159.353,159.052,159.081,3.5358
06.11.2017 12:00:00.000 GMT-0500,159.082,159.243,159.012,159.032,2.9108
06.11.2017 13:00:00.000 GMT-0500,159.031,159.083,158.832,158.950,2.8681
06.11.2017 14:00:00.000 GMT-0500,158.950,158.963,158.702,158.932,2.6777
06.11.2017 15:00:00.000 GMT-0500,158.941,158.953,158.582,158.801,5.9108
07.11.2017 09:00:00.000 GMT-0500,159.342,159.992,159.252,159.569,2.0994
07.11.2017 10:00:00.000 GMT-0500,159.569,159.762,159.050,159.333,4.0407
07.11.2017 11:00:00.000 GMT-0500,159.326,159.773,159.222,159.314,3.5812
07.11.2017 12:00:00.000 GMT-0500,159.262,159.522,159.262,159.392,2.2571
07.11.2017 13:00:00.000 GMT-0500,159.392,159.712,159.382,159.483,1.6361
07.11.2017 14:00:00.000 GMT-0500,159.483,159.543,159.142,159.481,2.0722
07.11.2017 15:00:00.000 GMT-0500,159.481,159.793,159.439,159.770,4.8957
08.11.2017 09:00:00.000 GMT-0500,159.978,160.502,159.763,160.273,2.227
08.11.2017 10:00:00.000 GMT-0500,160.273,160.531,159.962,160.373,2.8307
08.11.2017 11:00:00.000 GMT-0500,160.373,160.773,160.100,160.373,2.711
08.11.2017 12:00:00.000 GMT-0500,160.372,160.873,160.342,160.733,1.798
08.11.2017 13:00:00.000 GMT-0500,160.712,161.022,160.712,160.843,1.7808
08.11.2017 14:00:00.000 GMT-0500,160.852,161.152,160.693,160.732,2.6362
08.11.2017 15:00:00.000 GMT-0500,160.733,161.072,160.622,160.941,4.8846
09.11.2017 09:00:00.000 GMT-0500,160.523,161.263,159.772,160.682,3.7591
09.11.2017 10:00:00.000 GMT-0500,160.701,161.482,160.380,161.463,6.8565
09.11.2017 11:00:00.000 GMT-0500,161.462,162.342,161.400,161.892,8.0239
09.11.2017 12:00:00.000 GMT-0500,161.963,161.972,160.122,160.462,8.7546
09.11.2017 13:00:00.000 GMT-0500,160.463,160.700,160.302,160.472,4.3904
09.11.2017 14:00:00.000 GMT-0500,160.473,160.781,160.383,160.602,5.8789
09.11.2017 15:00:00.000 GMT-0500,160.601,160.893,160.502,160.563,7.4507
10.11.2017 09:00:00.000 GMT-0500,160.892,161.083,159.952,161.063,2.5519
10.11.2017 10:00:00.000 GMT-0500,161.062,161.062,160.393,160.753,5.7197
10.11.2017 11:00:00.000 GMT-0500,160.812,160.852,160.433,160.532,4.762
10.11.2017 12:00:00.000 GMT-0500,160.533,160.583,160.232,160.312,3.7424
10.11.2017 13:00:00.000 GMT-0500,160.313,160.513,160.202,160.232,3.0624
10.11.2017 14:00:00.000 GMT-0500,160.240,160.523,160.232,160.471,3.1235
10.11.2017 15:00:00.000 GMT-0500,160.471,160.762,160.263,160.332,6.541
13.11.2017 09:00:00.000 GMT-0500,162.803,162.813,161.452,162.033,3.1727
13.11.2017 10:00:00.000 GMT-0500,162.141,162.831,161.812,162.263,4.717
13.11.2017 11:00:00.000 GMT-0500,162.272,162.503,161.842,162.402,3.2246
13.11.2017 12:00:00.000 GMT-0500,162.353,163.543,162.243,163.102,3.3223
13.11.2017 13:00:00.000 GMT-0500,163.110,163.110,162.142,162.393,3.4465
13.11.2017 14:00:00.000 GMT-0500,162.392,163.132,162.392,162.722,4.385
13.11.2017 15:00:00.000 GMT-0500,162.722,163.203,162.672,162.741,7.0305
14.11.2017 09:00:00.000 GMT-0500,161.823,161.843,161.082,161.082,2.6865
14.11.2017 10:00:00.000 GMT-0500,161.082,162.153,161.082,162.002,5.4016
14.11.2017 11:00:00.000 GMT-0500,161.993,162.023,161.472,161.952,3.8566
14.11.2017 12:00:00.000 GMT-0500,161.912,162.272,161.602,161.812,3.4427
14.11.2017 13:00:00.000 GMT-0500,161.810,162.092,161.581,161.812,3.4834
14.11.2017 14:00:00.000 GMT-0500,161.793,162.052,161.702,161.823,3.9675
14.11.2017 15:00:00.000 GMT-0500,161.823,162.163,161.803,162.100,8.0291
15.11.2017 09:00:00.000 GMT-0500,161.752,161.752,160.595,160.832,2.1904
15.11.2017 10:00:00.000 GMT-0500,160.833,161.652,160.770,161.192,3.9069
15.11.2017 11:00:00.000 GMT-0500,161.193,161.392,160.913,161.142,3.7118
15.11.2017 12:00:00.000 GMT-0500,161.103,161.153,160.852,160.921,2.4732
15.11.2017 13:00:00.000 GMT-0500,160.921,161.042,160.822,160.869,2.1892
15.11.2017 14:00:00.000 GMT-0500,160.869,160.903,160.502,160.753,2.5371
15.11.2017 15:00:00.000 GMT-0500,160.752,161.193,160.722,160.883,6.7184
16.11.2017 09:00:00.000 GMT-0500,161.812,161.973,161.158,161.831,2.5306
16.11.2017 10:00:00.000 GMT-0500,161.833,162.093,161.382,161.442,5.3369
16.11.2017 11:00:00.000 GMT-0500,161.443,161.652,160.882,161.153,4.8204
16.11.2017 12:00:00.000 GMT-0500,161.152,161.583,160.992,161.142,5.2104
16.11.2017 13:00:00.000 GMT-0500,161.143,161.603,161.132,161.483,3.2335
16.11.2017 14:00:00.000 GMT-0500,161.483,161.523,161.291,161.382,3.0324
16.11.2017 15:00:00.000 GMT-0500,161.385,161.472,161.132,161.190,5.8241
17.11.2017 09:00:00.000 GMT-0500,161.093,161.653,160.392,161.553,2.9786
17.11.2017 10:00:00.000 GMT-0500,161.553,162.060,161.353,161.923,3.5989
17.11.2017 11:00:00.000 GMT-0500,161.923,162.300,161.562,162.275,3.8635
17.11.2017 12:00:00.000 GMT-0500,162.270,162.343,161.711,161.953,1.7351
17.11.2017 13:00:00.000 GMT-0500,161.903,162.389,161.842,162.272,2.7211
17.11.2017 14:00:00.000 GMT-0500,162.232,162.361,162.101,162.342,2.8761
17.11.2017 15:00:00.000 GMT-0500,162.342,162.342,161.582,161.652,5.3943
20.11.2017 09:00:00.000 GMT-0500,162.462,162.523,161.463,161.983,3.0584
20.11.2017 10:00:00.000 GMT-0500,161.973,162.413,161.822,162.353,4.7151
20.11.2017 11:00:00.000 GMT-0500,162.352,162.503,161.990,162.142,3.9511
20.11.2017 12:00:00.000 GMT-0500,162.143,162.173,161.723,161.893,2.008
20.11.2017 13:00:00.000 GMT-0500,161.892,161.903,161.263,161.602,4.2642
20.11.2017 14:00:00.000 GMT-0500,161.602,161.720,161.480,161.682,2.81
20.11.2017 15:00:00.000 GMT-0500,161.683,161.753,161.499,161.582,6.2685
21.11.2017 09:00:00.000 GMT-0500,162.803,162.942,162.123,162.162,1.8995
