Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,65.550,65.850,64.960,65.490,4.4954
02.11.2017 10:00:00.000 GMT-0400,65.490,65.820,65.340,65.460,7.5402
02.11.2017 11:00:00.000 GMT-0400,65.470,65.613,65.252,65.313,5.6093
02.11.2017 12:00:00.000 GMT-0400,65.342,65.613,65.292,65.442,5.0143
02.11.2017 13:00:00.000 GMT-0400,65.433,65.633,65.122,65.212,5.1306
02.11.2017 14:00:00.000 GMT-0400,65.202,65.253,64.832,65.182,4.9901
02.11.2017 15:00:00.000 GMT-0400,65.183,65.653,64.912,65.552,8.1535
03.11.2017 09:00:00.000 GMT-0400,66.893,67.032,63.462,63.622,10.6661
03.11.2017 10:00:00.000 GMT-0400,63.572,63.923,62.862,63.563,14.7671
03.11.2017 11:00:00.000 GMT-0400,63.552,63.552,62.123,62.863,11.6374
03.11.2017 12:00:00.000 GMT-0400,62.862,63.053,62.318,62.743,11.2197
03.11.2017 13:00:00.000 GMT-0400,62.742,63.743,62.712,63.512,11.761
03.11.2017 14:00:00.000 GMT-0400,63.513,64.203,63.422,63.772,7.7055
03.11.2017 15:00:00.000 GMT-0400,63.772,63.943,63.052,63.232,12.8287
06.11.2017 09:00:00.000 GMT-0500,63.493,63.723,62.882,63.142,7.1245
06.11.2017 10:00:00.000 GMT-0500,63.143,63.313,62.252,62.312,10.3729
06.11.2017 11:00:00.000 GMT-0500,62.302,62.383,61.322,61.432,11.4691
06.11.2017 12:00:00.000 GMT-0500,61.423,61.892,61.352,61.703,8.2958
06.11.2017 13:00:00.000 GMT-0500,61.702,61.703,61.062,61.392,7.5857
06.11.2017 14:00:00.000 GMT-0500,61.373,61.473,61.072,61.182,6.0957
06.11.2017 15:00:00.000 GMT-0500,61.183,61.203,60.732,60.873,8.9336
07.11.2017 09:00:00.000 GMT-0500,61.143,61.363,60.505,60.692,8.4
07.11.2017 10:00:00.000 GMT-0500,60.673,60.863,60.123,60.152,10.1684
07.11.2017 11:00:00.000 GMT-0500,60.152,60.592,60.112,60.513,7.3466
07.11.2017 12:00:00.000 GMT-0500,60.512,61.003,60.462,60.982,5.7344
07.11.2017 13:00:00.000 GMT-0500,60.982,61.162,60.872,60.983,4.9092
07.11.2017 14:00:00.000 GMT-0500,60.982,60.983,60.622,60.712,4.4128
07.11.2017 15:00:00.000 GMT-0500,60.712,60.973,60.652,60.973,4.9227
08.11.2017 09:00:00.000 GMT-0500,62.602,63.372,62.202,63.253,9.0989
08.11.2017 10:00:00.000 GMT-0500,63.253,63.893,63.052,63.452,11.2848
08.11.2017 11:00:00.000 GMT-0500,63.453,64.413,63.432,64.192,12.2858
08.11.2017 12:00:00.000 GMT-0500,64.183,64.903,64.142,64.813,9.8782
08.11.2017 13:00:00.000 GMT-0500,64.812,64.863,64.332,64.722,6.1402
08.11.2017 14:00:00.000 GMT-0500,64.713,64.733,64.432,64.683,4.4905
08.11.2017 15:00:00.000 GMT-0500,64.682,64.763,64.263,64.562,9.6535
09.11.2017 09:00:00.000 GMT-0500,63.522,64.202,62.813,63.112,8.7858
09.11.2017 10:00:00.000 GMT-0500,63.113,63.552,63.082,63.542,8.6136
09.11.2017 11:00:00.000 GMT-0500,63.532,63.553,63.103,63.363,8.3102
09.11.2017 12:00:00.000 GMT-0500,63.363,63.453,62.602,62.852,7.8656
09.11.2017 13:00:00.000 GMT-0500,62.853,63.363,62.692,63.133,5.3638
09.11.2017 14:00:00.000 GMT-0500,63.132,63.333,63.042,63.153,4.0957
09.11.2017 15:00:00.000 GMT-0500,63.142,63.473,63.122,63.303,7.0741
10.11.2017 09:00:00.000 GMT-0500,62.892,63.003,62.523,62.662,5.0509
10.11.2017 10:00:00.000 GMT-0500,62.703,62.773,62.303,62.662,7.149
10.11.2017 11:00:00.000 GMT-0500,62.632,62.753,62.293,62.373,4.1044
10.11.2017 12:00:00.000 GMT-0500,62.372,62.623,62.342,62.512,3.0712
10.11.2017 13:00:00.000 GMT-0500,62.503,62.833,62.482,62.743,3.3525
10.11.2017 14:00:00.000 GMT-0500,62.742,62.933,62.702,62.923,3.2028
10.11.2017 15:00:00.000 GMT-0500,62.922,63.073,62.832,63.002,4.9591
13.11.2017 09:00:00.000 GMT-0500,62.772,63.493,62.752,63.123,3.9261
13.11.2017 10:00:00.000 GMT-0500,63.122,63.333,62.852,63.162,5.4023
13.11.2017 11:00:00.000 GMT-0500,63.162,63.503,63.053,63.503,3.5537
13.11.2017 12:00:00.000 GMT-0500,63.502,63.883,63.442,63.883,3.9941
13.11.2017 13:00:00.000 GMT-0500,63.882,63.983,63.552,63.553,3.7466
13.11.2017 14:00:00.000 GMT-0500,63.552,63.713,63.523,63.692,2.6286
13.11.2017 15:00:00.000 GMT-0500,63.693,63.802,63.472,63.622,4.9899
14.11.2017 09:00:00.000 GMT-0500,63.053,63.373,62.812,63.222,4.013
14.11.2017 10:00:00.000 GMT-0500,63.203,64.023,63.082,63.752,6.8578
14.11.2017 11:00:00.000 GMT-0500,63.763,64.283,63.652,64.283,5.968
14.11.2017 12:00:00.000 GMT-0500,64.282,64.403,63.872,63.943,5.3258
14.11.2017 13:00:00.000 GMT-0500,63.952,64.253,63.752,64.253,4.7062
14.11.2017 14:00:00.000 GMT-0500,64.252,64.373,63.872,63.892,4.7305
14.11.2017 15:00:00.000 GMT-0500,63.893,64.113,63.803,64.032,5.8283
15.11.2017 09:00:00.000 GMT-0500,63.525,63.693,62.533,62.773,5.477
15.11.2017 10:00:00.000 GMT-0500,62.772,63.183,62.662,63.042,7.7866
15.11.2017 11:00:00.000 GMT-0500,63.042,63.093,62.742,62.772,3.599
15.11.2017 12:00:00.000 GMT-0500,62.763,62.962,62.562,62.882,4.1521
15.11.2017 13:00:00.000 GMT-0500,62.883,62.982,62.582,62.772,4.2836
15.11.2017 14:00:00.000 GMT-0500,62.763,62.983,62.712,62.962,3.9526
15.11.2017 15:00:00.000 GMT-0500,62.963,63.063,62.752,62.902,5.1213
16.11.2017 09:00:00.000 GMT-0500,63.183,63.872,63.063,63.693,4.6661
16.11.2017 10:00:00.000 GMT-0500,63.692,64.182,63.682,64.172,6.7692
16.11.2017 11:00:00.000 GMT-0500,64.162,64.362,64.102,64.263,4.4877
