Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,96.420,96.420,95.660,96.120,4.4107
02.11.2017 10:00:00.000 GMT-0400,96.120,96.160,95.410,95.770,7.3857
02.11.2017 11:00:00.000 GMT-0400,95.780,96.023,95.752,95.822,8.4235
02.11.2017 12:00:00.000 GMT-0400,95.822,96.242,95.812,96.220,7.2912
02.11.2017 13:00:00.000 GMT-0400,96.221,96.222,95.788,95.831,8.0471
02.11.2017 14:00:00.000 GMT-0400,95.831,95.963,95.550,95.550,9.5297
02.11.2017 15:00:00.000 GMT-0400,95.550,96.043,95.550,95.987,12.1557
03.11.2017 09:00:00.000 GMT-0400,96.463,96.463,95.868,96.142,4.5781
03.11.2017 10:00:00.000 GMT-0400,96.150,96.231,96.012,96.192,8.5035
03.11.2017 11:00:00.000 GMT-0400,96.182,96.383,96.143,96.181,5.9081
03.11.2017 12:00:00.000 GMT-0400,96.192,96.383,96.102,96.323,5.4368
03.11.2017 13:00:00.000 GMT-0400,96.322,96.332,96.159,96.172,4.6491
03.11.2017 14:00:00.000 GMT-0400,96.173,96.263,96.142,96.242,5.8338
03.11.2017 15:00:00.000 GMT-0400,96.243,96.433,96.160,96.432,9.7252
06.11.2017 09:00:00.000 GMT-0500,96.403,96.733,96.322,96.731,4.4931
06.11.2017 10:00:00.000 GMT-0500,96.722,96.753,96.072,96.111,8.6036
06.11.2017 11:00:00.000 GMT-0500,96.109,96.293,95.939,96.192,6.2094
06.11.2017 12:00:00.000 GMT-0500,96.193,96.383,96.098,96.303,5.519
06.11.2017 13:00:00.000 GMT-0500,96.303,96.411,96.142,96.162,5.7458
06.11.2017 14:00:00.000 GMT-0500,96.162,96.412,96.152,96.372,5.9154
06.11.2017 15:00:00.000 GMT-0500,96.372,96.493,96.260,96.282,9.6501
07.11.2017 09:00:00.000 GMT-0500,97.002,97.002,96.062,96.062,5.4432
07.11.2017 10:00:00.000 GMT-0500,96.053,96.123,95.462,95.752,6.6741
07.11.2017 11:00:00.000 GMT-0500,95.752,95.983,95.312,95.342,6.8817
07.11.2017 12:00:00.000 GMT-0500,95.342,95.523,95.202,95.493,6.6556
07.11.2017 13:00:00.000 GMT-0500,95.493,95.731,95.492,95.582,7.0427
07.11.2017 14:00:00.000 GMT-0500,95.583,95.653,95.472,95.502,5.0805
07.11.2017 15:00:00.000 GMT-0500,95.503,95.553,95.271,95.370,9.3894
08.11.2017 09:00:00.000 GMT-0500,95.512,95.512,94.471,94.733,5.4584
08.11.2017 10:00:00.000 GMT-0500,94.733,95.103,94.732,94.983,8.2967
08.11.2017 11:00:00.000 GMT-0500,94.980,95.083,94.732,95.013,6.8886
08.11.2017 12:00:00.000 GMT-0500,95.021,95.133,94.913,95.082,6.3351
08.11.2017 13:00:00.000 GMT-0500,95.080,95.273,95.023,95.181,5.9665
08.11.2017 14:00:00.000 GMT-0500,95.183,95.242,95.050,95.050,7.4358
08.11.2017 15:00:00.000 GMT-0500,95.051,95.182,94.973,95.133,10.8006
09.11.2017 09:00:00.000 GMT-0500,94.503,94.713,93.733,94.102,7.167
09.11.2017 10:00:00.000 GMT-0500,94.102,94.461,94.023,94.452,10.0083
09.11.2017 11:00:00.000 GMT-0500,94.452,94.523,93.662,93.760,11.3589
09.11.2017 12:00:00.000 GMT-0500,93.753,93.903,93.311,93.662,11.0419
09.11.2017 13:00:00.000 GMT-0500,93.663,93.941,93.513,93.792,9.0082
09.11.2017 14:00:00.000 GMT-0500,93.791,94.033,93.713,93.751,9.8307
09.11.2017 15:00:00.000 GMT-0500,93.742,94.022,93.682,93.753,14.3449
10.11.2017 09:00:00.000 GMT-0500,94.332,94.333,93.792,93.971,5.2644
10.11.2017 10:00:00.000 GMT-0500,93.923,93.963,93.571,93.771,10.6646
10.11.2017 11:00:00.000 GMT-0500,93.771,93.992,93.642,93.652,7.8307
10.11.2017 12:00:00.000 GMT-0500,93.652,93.713,93.402,93.603,7.8012
10.11.2017 13:00:00.000 GMT-0500,93.602,93.653,93.482,93.592,8.2715
10.11.2017 14:00:00.000 GMT-0500,93.591,93.662,93.522,93.602,8.2078
10.11.2017 15:00:00.000 GMT-0500,93.602,93.612,93.430,93.521,11.6607
13.11.2017 09:00:00.000 GMT-0500,93.123,93.493,92.922,93.482,5.2815
13.11.2017 10:00:00.000 GMT-0500,93.482,93.753,93.420,93.702,8.7135
13.11.2017 11:00:00.000 GMT-0500,93.703,93.743,93.561,93.700,8.8648
13.11.2017 12:00:00.000 GMT-0500,93.703,93.823,93.622,93.772,7.3103
13.11.2017 13:00:00.000 GMT-0500,93.773,93.909,93.721,93.903,5.3226
13.11.2017 14:00:00.000 GMT-0500,93.903,93.973,93.759,93.972,6.6621
13.11.2017 15:00:00.000 GMT-0500,93.970,93.983,93.678,93.899,11.0055
14.11.2017 09:00:00.000 GMT-0500,93.522,93.620,93.272,93.431,5.7761
14.11.2017 10:00:00.000 GMT-0500,93.423,93.650,92.972,93.613,12.639
14.11.2017 11:00:00.000 GMT-0500,93.612,93.733,93.432,93.591,7.5072
14.11.2017 12:00:00.000 GMT-0500,93.591,93.763,93.371,93.413,6.7755
14.11.2017 13:00:00.000 GMT-0500,93.412,93.662,93.352,93.461,6.6253
14.11.2017 14:00:00.000 GMT-0500,93.463,93.641,93.440,93.583,6.2504
14.11.2017 15:00:00.000 GMT-0500,93.582,93.792,93.550,93.758,11.4845
15.11.2017 09:00:00.000 GMT-0500,93.362,93.383,92.822,93.193,5.6637
15.11.2017 10:00:00.000 GMT-0500,93.192,93.543,93.172,93.482,11.1215
15.11.2017 11:00:00.000 GMT-0500,93.482,93.801,93.462,93.720,8.3085
15.11.2017 12:00:00.000 GMT-0500,93.721,93.733,93.532,93.532,8.3358
15.11.2017 13:00:00.000 GMT-0500,93.533,93.552,93.142,93.212,7.3878
15.11.2017 14:00:00.000 GMT-0500,93.213,93.433,93.161,93.353,10.3085
15.11.2017 15:00:00.000 GMT-0500,93.352,93.473,93.220,93.292,14.6159
16.11.2017 09:00:00.000 GMT-0500,93.963,94.062,93.483,93.782,6.0447
16.11.2017 10:00:00.000 GMT-0500,93.782,93.883,93.521,93.663,7.9989
16.11.2017 11:00:00.000 GMT-0500,93.662,93.683,93.322,93.542,7.4183
16.11.2017 12:00:00.000 GMT-0500,93.542,93.693,93.463,93.670,7.1447
16.11.2017 13:00:00.000 GMT-0500,93.668,93.823,93.521,93.652,8.0684
16.11.2017 14:00:00.000 GMT-0500,93.642,93.753,93.550,93.591,9.2998
16.11.2017 15:00:00.000 GMT-0500,93.591,93.613,93.490,93.548,12.1626
17.11.2017 09:00:00.000 GMT-0500,93.362,93.473,92.933,93.223,4.9064
17.11.2017 10:00:00.000 GMT-0500,93.223,93.373,92.970,93.230,9.9315
17.11.2017 11:00:00.000 GMT-0500,93.223,93.583,93.212,93.583,6.3695
17.11.2017 12:00:00.000 GMT-0500,93.582,93.613,93.480,93.542,5.4147
17.11.2017 13:00:00.000 GMT-0500,93.543,93.713,93.452,93.651,5.2837
17.11.2017 14:00:00.000 GMT-0500,93.651,93.762,93.590,93.672,6.0308
17.11.2017 15:00:00.000 GMT-0500,93.672,93.762,93.530,93.679,11.1375
20.11.2017 09:00:00.000 GMT-0500,94.192,94.322,93.743,94.273,4.322
20.11.2017 10:00:00.000 GMT-0500,94.292,94.363,93.842,93.862,8.6621
20.11.2017 11:00:00.000 GMT-0500,93.862,94.212,93.782,93.932,8.0884
20.11.2017 12:00:00.000 GMT-0500,93.930,94.052,93.803,93.970,6.2801
20.11.2017 13:00:00.000 GMT-0500,93.980,94.023,93.793,94.002,7.8015
20.11.2017 14:00:00.000 GMT-0500,93.993,94.163,93.899,93.990,6.7797
20.11.2017 15:00:00.000 GMT-0500,93.993,93.993,93.788,93.931,11.3769
21.11.2017 09:00:00.000 GMT-0500,94.503,94.663,94.222,94.480,5.1866
21.11.2017 10:00:00.000 GMT-0500,94.473,94.523,94.280,94.391,7.5426
21.11.2017 11:00:00.000 GMT-0500,94.382,94.463,94.140,94.183,7.1865
21.11.2017 12:00:00.000 GMT-0500,94.183,94.373,94.120,94.303,6.1278
21.11.2017 13:00:00.000 GMT-0500,94.302,94.483,94.280,94.410,6.1761
21.11.2017 14:00:00.000 GMT-0500,94.412,94.423,94.298,94.392,7.6541
21.11.2017 15:00:00.000 GMT-0500,94.392,94.452,94.266,94.390,11.7767
22.11.2017 09:00:00.000 GMT-0500,94.572,94.733,94.392,94.532,3.8312
22.11.2017 10:00:00.000 GMT-0500,94.532,94.583,94.220,94.252,7.9144
22.11.2017 11:00:00.000 GMT-0500,94.252,94.252,93.633,93.661,7.4217
22.11.2017 12:00:00.000 GMT-0500,93.661,93.743,93.493,93.632,7.1014
22.11.2017 13:00:00.000 GMT-0500,93.632,93.741,93.529,93.673,7.0833
22.11.2017 14:00:00.000 GMT-0500,93.672,93.803,93.611,93.742,7.2132
22.11.2017 15:00:00.000 GMT-0500,93.742,94.013,93.672,93.832,13.5173
24.11.2017 09:00:00.000 GMT-0500,94.492,94.493,93.682,93.723,2.9802
