Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,581.200,582.580,581.000,582.580,0.0934
02.11.2017 10:00:00.000 GMT-0400,581.250,584.250,576.930,583.530,1.9756
02.11.2017 11:00:00.000 GMT-0400,583.510,593.003,582.400,591.943,1.0556
02.11.2017 12:00:00.000 GMT-0400,591.922,598.933,591.182,595.992,1.1364
02.11.2017 13:00:00.000 GMT-0400,596.932,602.502,595.751,601.923,2.0048
02.11.2017 14:00:00.000 GMT-0400,601.953,602.822,600.992,602.173,1.8947
02.11.2017 15:00:00.000 GMT-0400,602.062,603.433,601.993,602.812,2.4052
03.11.2017 09:00:00.000 GMT-0400,600.832,603.152,599.232,600.893,0.4356
03.11.2017 10:00:00.000 GMT-0400,600.873,608.003,600.612,604.902,2.8475
03.11.2017 11:00:00.000 GMT-0400,604.901,612.062,604.892,608.862,3.0773
03.11.2017 12:00:00.000 GMT-0400,608.853,609.983,606.212,607.918,2.6672
03.11.2017 13:00:00.000 GMT-0400,607.782,610.293,607.492,609.860,1.2681
03.11.2017 14:00:00.000 GMT-0400,609.852,611.573,608.522,609.982,1.9145
03.11.2017 15:00:00.000 GMT-0400,609.981,609.981,605.892,606.713,3.1563
06.11.2017 09:00:00.000 GMT-0500,607.293,607.293,603.702,604.872,0.2267
06.11.2017 10:00:00.000 GMT-0500,604.872,608.053,603.400,606.522,1.8942
06.11.2017 11:00:00.000 GMT-0500,606.523,613.173,606.492,612.942,1.9626
06.11.2017 12:00:00.000 GMT-0500,611.643,611.643,605.872,607.772,1.5513
06.11.2017 13:00:00.000 GMT-0500,607.773,610.372,607.772,608.492,0.8435
06.11.2017 14:00:00.000 GMT-0500,608.492,610.252,608.002,610.000,1.2549
06.11.2017 15:00:00.000 GMT-0500,610.000,610.003,605.933,607.082,1.7462
07.11.2017 09:00:00.000 GMT-0500,607.493,609.972,607.012,609.903,0.5137
07.11.2017 10:00:00.000 GMT-0500,609.903,610.018,605.499,605.930,2.6199
07.11.2017 11:00:00.000 GMT-0500,605.003,606.652,600.352,602.002,2.4685
07.11.2017 12:00:00.000 GMT-0500,601.982,602.533,599.572,601.252,2.0872
07.11.2017 13:00:00.000 GMT-0500,601.253,602.203,600.945,601.313,0.3078
07.11.2017 14:00:00.000 GMT-0500,601.312,603.263,600.112,603.087,1.9865
07.11.2017 15:00:00.000 GMT-0500,602.842,606.942,602.832,603.372,3.9002
08.11.2017 09:00:00.000 GMT-0500,603.983,609.003,603.753,607.972,0.3804
08.11.2017 10:00:00.000 GMT-0500,608.001,610.000,605.072,608.323,0.918
08.11.2017 11:00:00.000 GMT-0500,608.322,609.743,603.982,605.133,1.172
08.11.2017 12:00:00.000 GMT-0500,606.113,606.113,602.633,604.262,0.5898
08.11.2017 13:00:00.000 GMT-0500,604.263,606.023,603.203,604.622,2.18
08.11.2017 14:00:00.000 GMT-0500,604.623,606.343,602.282,602.962,0.7734
08.11.2017 15:00:00.000 GMT-0500,602.963,603.423,595.833,596.173,3.3578
09.11.2017 09:00:00.000 GMT-0500,598.502,603.655,598.033,603.452,0.1533
09.11.2017 10:00:00.000 GMT-0500,603.453,603.575,600.002,602.272,0.256
09.11.2017 11:00:00.000 GMT-0500,602.273,604.273,599.002,600.843,0.4898
09.11.2017 12:00:00.000 GMT-0500,600.842,601.053,595.842,599.492,0.1644
09.11.2017 13:00:00.000 GMT-0500,599.492,603.913,599.302,603.772,0.5135
09.11.2017 14:00:00.000 GMT-0500,603.773,605.723,603.592,605.232,0.816
09.11.2017 15:00:00.000 GMT-0500,605.243,607.000,604.401,605.453,1.3252
10.11.2017 09:00:00.000 GMT-0500,606.073,608.472,605.492,606.483,0.6403
10.11.2017 10:00:00.000 GMT-0500,607.501,607.523,600.452,600.493,1.6449
10.11.2017 11:00:00.000 GMT-0500,600.483,600.945,597.492,599.692,0.9865
10.11.2017 12:00:00.000 GMT-0500,599.693,600.742,597.543,598.103,0.3702
10.11.2017 13:00:00.000 GMT-0500,598.103,598.103,595.298,596.553,0.6776
10.11.2017 14:00:00.000 GMT-0500,596.552,597.807,595.273,595.692,0.9217
10.11.2017 15:00:00.000 GMT-0500,595.692,598.343,595.282,597.948,2.1648
13.11.2017 09:00:00.000 GMT-0500,597.723,599.943,596.882,597.093,0.5819
13.11.2017 10:00:00.000 GMT-0500,597.818,600.563,597.576,600.013,1.5266
13.11.2017 11:00:00.000 GMT-0500,600.012,600.013,594.292,597.233,2.1013
13.11.2017 12:00:00.000 GMT-0500,597.223,599.733,594.863,595.563,2.2137
13.11.2017 13:00:00.000 GMT-0500,595.562,595.562,592.303,592.783,1.0984
13.11.2017 14:00:00.000 GMT-0500,592.782,593.443,588.742,591.632,2.1268
13.11.2017 15:00:00.000 GMT-0500,591.633,597.582,591.632,595.292,3.9047
14.11.2017 09:00:00.000 GMT-0500,617.403,631.062,614.004,631.062,1.3698
14.11.2017 10:00:00.000 GMT-0500,630.752,633.003,618.702,621.568,3.109
14.11.2017 11:00:00.000 GMT-0500,621.663,622.201,609.023,611.512,2.8686
14.11.2017 12:00:00.000 GMT-0500,611.512,616.202,608.795,613.452,1.9134
14.11.2017 13:00:00.000 GMT-0500,612.972,613.562,608.262,610.313,1.8691
14.11.2017 14:00:00.000 GMT-0500,610.312,613.983,607.122,609.043,1.3718
14.11.2017 15:00:00.000 GMT-0500,609.042,609.992,606.112,607.692,2.4664
15.11.2017 09:00:00.000 GMT-0500,611.282,611.282,607.722,610.993,0.5304
15.11.2017 10:00:00.000 GMT-0500,610.923,611.373,608.012,609.793,2.827
15.11.2017 11:00:00.000 GMT-0500,609.803,612.063,607.502,611.483,1.7512
15.11.2017 12:00:00.000 GMT-0500,611.382,611.382,606.812,608.349,2.5427
15.11.2017 13:00:00.000 GMT-0500,608.350,609.002,606.193,606.795,2.496
15.11.2017 14:00:00.000 GMT-0500,606.873,610.501,606.710,610.489,3.074
15.11.2017 15:00:00.000 GMT-0500,610.489,611.583,608.572,609.272,2.9107
16.11.2017 09:00:00.000 GMT-0500,614.492,615.272,609.722,611.482,0.3305
16.11.2017 10:00:00.000 GMT-0500,611.322,616.002,610.242,613.922,2.3882
16.11.2017 11:00:00.000 GMT-0500,613.903,615.212,612.102,614.812,1.992
16.11.2017 12:00:00.000 GMT-0500,614.812,618.173,614.313,615.861,1.5408
16.11.2017 13:00:00.000 GMT-0500,615.861,616.513,613.342,615.953,1.1445
16.11.2017 14:00:00.000 GMT-0500,615.962,618.692,615.593,618.002,2.574
16.11.2017 15:00:00.000 GMT-0500,618.003,619.941,617.980,618.551,2.3927
17.11.2017 09:00:00.000 GMT-0500,625.002,626.332,620.792,623.993,0.3206
17.11.2017 10:00:00.000 GMT-0500,623.873,629.997,623.753,629.933,1.7076
17.11.2017 11:00:00.000 GMT-0500,629.932,629.998,627.230,629.523,1.6733
17.11.2017 12:00:00.000 GMT-0500,629.523,631.482,628.671,629.982,1.8843
17.11.2017 13:00:00.000 GMT-0500,630.013,630.013,626.532,626.723,1.7315
17.11.2017 14:00:00.000 GMT-0500,626.712,629.619,626.602,628.263,2.173
17.11.2017 15:00:00.000 GMT-0500,628.300,630.095,627.012,629.447,3.4202
20.11.2017 09:00:00.000 GMT-0500,628.743,628.743,626.153,626.162,1.3719
20.11.2017 10:00:00.000 GMT-0500,626.162,630.982,625.163,629.273,2.2175
20.11.2017 11:00:00.000 GMT-0500,629.073,630.392,626.012,626.612,1.7909
20.11.2017 12:00:00.000 GMT-0500,626.503,628.343,625.735,627.953,0.568
20.11.2017 13:00:00.000 GMT-0500,627.953,631.363,626.742,631.362,1.7693
20.11.2017 14:00:00.000 GMT-0500,631.353,637.972,629.812,634.312,1.2133
20.11.2017 15:00:00.000 GMT-0500,634.313,635.902,633.652,634.891,1.4732
21.11.2017 09:00:00.000 GMT-0500,632.272,632.272,626.083,628.043,0.28
21.11.2017 10:00:00.000 GMT-0500,628.033,631.243,626.701,628.852,1.6272
21.11.2017 11:00:00.000 GMT-0500,628.852,629.663,626.842,627.653,1.6299
21.11.2017 12:00:00.000 GMT-0500,627.632,629.602,626.322,628.383,2.3901
21.11.2017 13:00:00.000 GMT-0500,628.103,629.903,627.803,629.342,2.1427
21.11.2017 14:00:00.000 GMT-0500,629.262,632.071,628.162,630.493,2.2894
21.11.2017 15:00:00.000 GMT-0500,630.783,632.683,630.273,632.352,1.2667
22.11.2017 09:00:00.000 GMT-0500,633.872,639.308,633.822,638.292,1.1924
22.11.2017 10:00:00.000 GMT-0500,637.402,642.453,636.823,639.523,4.0853
22.11.2017 11:00:00.000 GMT-0500,639.652,642.993,638.782,640.113,2.2078
22.11.2017 12:00:00.000 GMT-0500,640.113,640.133,637.433,639.112,1.8724
22.11.2017 13:00:00.000 GMT-0500,639.112,641.493,638.572,639.100,2.0076
22.11.2017 14:00:00.000 GMT-0500,639.115,641.920,638.352,638.922,1.4168
22.11.2017 15:00:00.000 GMT-0500,638.922,640.093,637.952,638.492,1.8017
24.11.2017 09:00:00.000 GMT-0500,638.102,638.102,631.522,632.743,0.3125
24.11.2017 10:00:00.000 GMT-0500,632.731,633.012,630.852,632.412,1.5157
24.11.2017 11:00:00.000 GMT-0500,632.462,632.713,630.412,632.711,1.278
24.11.2017 12:00:00.000 GMT-0500,632.711,634.833,631.462,633.660,2.0174
27.11.2017 09:00:00.000 GMT-0500,633.953,644.882,633.952,641.853,1.1019
27.11.2017 10:00:00.000 GMT-0500,642.122,643.013,637.983,640.762,2.3071
27.11.2017 11:00:00.000 GMT-0500,640.762,640.773,635.773,638.859,4.1755
27.11.2017 12:00:00.000 GMT-0500,638.543,638.932,633.682,633.942,3.0482
27.11.2017 13:00:00.000 GMT-0500,633.942,639.093,633.942,638.360,2.1687
27.11.2017 14:00:00.000 GMT-0500,638.360,640.003,637.482,638.250,1.3054
27.11.2017 15:00:00.000 GMT-0500,638.250,638.733,636.932,638.322,3.3753
28.11.2017 09:00:00.000 GMT-0500,640.703,641.702,637.742,640.273,0.9686
28.11.2017 10:00:00.000 GMT-0500,640.273,650.003,639.253,649.862,2.6771
28.11.2017 11:00:00.000 GMT-0500,649.903,649.903,642.112,647.772,3.0573
28.11.2017 12:00:00.000 GMT-0500,647.772,651.993,647.602,651.793,2.0364
28.11.2017 13:00:00.000 GMT-0500,651.842,655.001,650.163,650.332,1.9981
28.11.2017 14:00:00.000 GMT-0500,650.252,654.033,646.352,651.002,2.1318
28.11.2017 15:00:00.000 GMT-0500,651.003,665.723,649.683,663.639,6.562
29.11.2017 09:00:00.000 GMT-0500,670.922,691.682,670.922,686.162,1.5362
29.11.2017 10:00:00.000 GMT-0500,686.161,692.233,677.573,680.772,5.8042
29.11.2017 11:00:00.000 GMT-0500,682.092,689.783,678.193,689.342,2.4955
29.11.2017 12:00:00.000 GMT-0500,689.343,697.003,688.213,696.373,2.1255
29.11.2017 13:00:00.000 GMT-0500,696.372,698.622,693.563,694.842,2.9364
29.11.2017 14:00:00.000 GMT-0500,694.842,703.493,694.802,698.173,2.8187
29.11.2017 15:00:00.000 GMT-0500,698.163,698.743,688.933,688.933,6.2618
30.11.2017 09:00:00.000 GMT-0500,689.992,699.302,689.502,695.993,0.692
30.11.2017 10:00:00.000 GMT-0500,695.972,703.523,689.793,694.953,2.9924
30.11.2017 11:00:00.000 GMT-0500,694.942,703.023,692.338,701.703,2.1848
30.11.2017 12:00:00.000 GMT-0500,701.693,702.803,695.870,697.292,2.0419
30.11.2017 13:00:00.000 GMT-0500,697.293,698.193,691.663,691.812,2.1202
30.11.2017 14:00:00.000 GMT-0500,691.803,695.502,691.463,694.883,2.607
