Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,258.190,260.000,258.190,259.950,5.0345
02.11.2017 10:00:00.000 GMT-0400,259.990,260.970,259.260,260.540,8.2852
02.11.2017 11:00:00.000 GMT-0400,260.568,260.992,260.182,260.853,6.1298
02.11.2017 12:00:00.000 GMT-0400,260.852,260.962,260.232,260.892,6.3744
02.11.2017 13:00:00.000 GMT-0400,260.892,261.033,260.083,260.282,5.9294
02.11.2017 14:00:00.000 GMT-0400,260.273,262.893,260.172,262.713,6.2629
02.11.2017 15:00:00.000 GMT-0400,262.712,263.272,262.413,262.722,9.4508
03.11.2017 09:00:00.000 GMT-0400,262.492,262.511,260.142,261.002,5.0743
03.11.2017 10:00:00.000 GMT-0400,260.783,263.541,260.372,263.273,7.6442
03.11.2017 11:00:00.000 GMT-0400,263.273,263.812,262.442,262.632,5.4073
03.11.2017 12:00:00.000 GMT-0400,262.633,263.052,261.743,261.743,5.9704
03.11.2017 13:00:00.000 GMT-0400,261.743,262.373,261.452,262.263,5.5511
03.11.2017 14:00:00.000 GMT-0400,262.273,262.792,261.731,261.972,6.3958
03.11.2017 15:00:00.000 GMT-0400,261.972,262.193,261.012,261.704,8.89
06.11.2017 09:00:00.000 GMT-0500,262.683,264.983,262.662,264.912,5.2486
06.11.2017 10:00:00.000 GMT-0500,264.912,265.503,263.962,265.062,7.3312
06.11.2017 11:00:00.000 GMT-0500,265.062,265.871,264.743,265.503,7.0293
06.11.2017 12:00:00.000 GMT-0500,265.502,265.803,264.602,264.602,4.3771
06.11.2017 13:00:00.000 GMT-0500,264.603,265.041,263.872,265.033,4.1496
06.11.2017 14:00:00.000 GMT-0500,265.023,265.143,263.863,264.663,4.9765
06.11.2017 15:00:00.000 GMT-0500,264.662,264.863,264.032,264.162,7.6323
07.11.2017 09:00:00.000 GMT-0500,264.122,266.222,264.122,266.192,4.4887
07.11.2017 10:00:00.000 GMT-0500,266.192,267.383,265.782,266.023,8.19
07.11.2017 11:00:00.000 GMT-0500,266.043,266.661,265.383,265.443,6.1188
07.11.2017 12:00:00.000 GMT-0500,265.432,266.093,264.692,264.852,5.8989
07.11.2017 13:00:00.000 GMT-0500,264.853,265.443,264.523,265.283,5.6919
07.11.2017 14:00:00.000 GMT-0500,265.283,266.342,265.233,266.272,5.0725
07.11.2017 15:00:00.000 GMT-0500,266.252,266.503,265.612,266.182,6.9317
08.11.2017 09:00:00.000 GMT-0500,266.182,267.503,265.393,265.462,4.577
08.11.2017 10:00:00.000 GMT-0500,265.462,267.212,265.462,267.162,7.0301
08.11.2017 11:00:00.000 GMT-0500,267.162,267.682,266.873,267.472,6.439
08.11.2017 12:00:00.000 GMT-0500,267.472,267.472,266.902,267.152,4.9027
08.11.2017 13:00:00.000 GMT-0500,267.152,267.312,266.602,266.663,4.2682
08.11.2017 14:00:00.000 GMT-0500,266.662,266.803,265.493,266.432,4.5096
08.11.2017 15:00:00.000 GMT-0500,266.443,266.703,265.542,265.572,7.538
09.11.2017 09:00:00.000 GMT-0500,265.263,266.761,263.753,264.843,5.6842
09.11.2017 10:00:00.000 GMT-0500,264.732,265.702,262.992,263.753,9.6362
09.11.2017 11:00:00.000 GMT-0500,263.742,263.872,261.303,261.612,7.2848
09.11.2017 12:00:00.000 GMT-0500,261.603,261.653,259.603,260.492,9.0525
09.11.2017 13:00:00.000 GMT-0500,260.493,261.972,260.143,261.893,8.665
09.11.2017 14:00:00.000 GMT-0500,261.892,262.581,261.702,261.943,7.3261
09.11.2017 15:00:00.000 GMT-0500,261.943,263.302,261.872,262.703,10.9153
10.11.2017 09:00:00.000 GMT-0500,262.973,262.973,260.165,261.053,5.3057
10.11.2017 10:00:00.000 GMT-0500,261.273,261.273,259.702,260.402,6.4223
10.11.2017 11:00:00.000 GMT-0500,260.402,260.833,259.703,259.762,5.2805
10.11.2017 12:00:00.000 GMT-0500,259.763,260.403,259.682,259.902,4.1201
10.11.2017 13:00:00.000 GMT-0500,259.903,260.753,259.902,259.981,4.1032
10.11.2017 14:00:00.000 GMT-0500,259.982,260.673,259.962,260.663,3.6667
10.11.2017 15:00:00.000 GMT-0500,260.662,261.022,260.042,260.847,8.406
13.11.2017 09:00:00.000 GMT-0500,261.303,263.361,260.613,262.833,5.6057
13.11.2017 10:00:00.000 GMT-0500,262.832,262.933,261.463,261.852,6.6077
13.11.2017 11:00:00.000 GMT-0500,261.852,262.483,261.542,262.313,6.7452
13.11.2017 12:00:00.000 GMT-0500,262.312,262.602,261.682,262.023,5.3416
13.11.2017 13:00:00.000 GMT-0500,262.023,262.263,261.643,262.192,4.6253
13.11.2017 14:00:00.000 GMT-0500,262.183,262.363,261.913,262.182,4.2306
13.11.2017 15:00:00.000 GMT-0500,262.132,262.783,261.922,262.363,8.4712
14.11.2017 09:00:00.000 GMT-0500,262.252,262.420,261.242,261.272,4.1221
