Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,27.530,27.640,27.470,27.550,6.4733
02.11.2017 10:00:00.000 GMT-0400,27.547,27.560,27.286,27.558,14.4115
02.11.2017 11:00:00.000 GMT-0400,27.550,27.653,27.498,27.593,19.8005
02.11.2017 12:00:00.000 GMT-0400,27.592,27.943,27.582,27.922,20.6267
02.11.2017 13:00:00.000 GMT-0400,27.923,27.923,27.722,27.732,23.1266
02.11.2017 14:00:00.000 GMT-0400,27.732,27.833,27.722,27.729,19.4056
02.11.2017 15:00:00.000 GMT-0400,27.729,27.903,27.699,27.870,38.5261
03.11.2017 09:00:00.000 GMT-0400,27.753,27.812,27.632,27.679,9.4963
03.11.2017 10:00:00.000 GMT-0400,27.679,27.761,27.649,27.752,23.4496
03.11.2017 11:00:00.000 GMT-0400,27.753,27.803,27.690,27.692,23.9647
03.11.2017 12:00:00.000 GMT-0400,27.692,27.753,27.651,27.692,21.1847
03.11.2017 13:00:00.000 GMT-0400,27.702,27.753,27.681,27.752,16.9133
03.11.2017 14:00:00.000 GMT-0400,27.753,27.753,27.702,27.722,23.4346
03.11.2017 15:00:00.000 GMT-0400,27.722,27.833,27.679,27.823,32.2296
06.11.2017 09:00:00.000 GMT-0500,27.753,27.823,27.668,27.742,8.9834
06.11.2017 10:00:00.000 GMT-0500,27.743,27.743,27.642,27.673,19.9554
06.11.2017 11:00:00.000 GMT-0500,27.672,27.703,27.642,27.642,17.6097
06.11.2017 12:00:00.000 GMT-0500,27.643,27.723,27.632,27.722,15.0903
06.11.2017 13:00:00.000 GMT-0500,27.723,27.743,27.682,27.712,14.7619
06.11.2017 14:00:00.000 GMT-0500,27.713,27.753,27.700,27.740,17.3743
06.11.2017 15:00:00.000 GMT-0500,27.742,27.803,27.740,27.753,29.7758
07.11.2017 09:00:00.000 GMT-0500,27.752,27.773,27.612,27.612,8.1645
07.11.2017 10:00:00.000 GMT-0500,27.613,27.623,27.362,27.383,21.3699
07.11.2017 11:00:00.000 GMT-0500,27.382,27.483,27.222,27.222,22.1673
07.11.2017 12:00:00.000 GMT-0500,27.223,27.263,27.032,27.063,19.4449
07.11.2017 13:00:00.000 GMT-0500,27.062,27.183,27.051,27.092,15.5314
07.11.2017 14:00:00.000 GMT-0500,27.093,27.183,27.050,27.062,17.4777
07.11.2017 15:00:00.000 GMT-0500,27.062,27.183,27.030,27.182,35.9433
08.11.2017 09:00:00.000 GMT-0500,26.952,26.982,26.582,26.742,12.2778
08.11.2017 10:00:00.000 GMT-0500,26.743,26.833,26.542,26.573,22.3699
08.11.2017 11:00:00.000 GMT-0500,26.572,26.623,26.497,26.622,21.0397
08.11.2017 12:00:00.000 GMT-0500,26.622,26.873,26.622,26.843,21.8909
08.11.2017 13:00:00.000 GMT-0500,26.842,26.883,26.691,26.702,13.9121
08.11.2017 14:00:00.000 GMT-0500,26.703,26.723,26.611,26.612,14.9188
08.11.2017 15:00:00.000 GMT-0500,26.612,26.793,26.587,26.793,32.1608
09.11.2017 09:00:00.000 GMT-0500,26.523,26.603,26.432,26.512,14.4466
09.11.2017 10:00:00.000 GMT-0500,26.512,26.663,26.422,26.652,29.8901
09.11.2017 11:00:00.000 GMT-0500,26.653,26.663,26.242,26.282,26.2931
09.11.2017 12:00:00.000 GMT-0500,26.283,26.393,26.137,26.322,28.0775
09.11.2017 13:00:00.000 GMT-0500,26.323,26.393,26.231,26.381,32.0764
09.11.2017 14:00:00.000 GMT-0500,26.381,26.393,26.261,26.303,33.0715
09.11.2017 15:00:00.000 GMT-0500,26.302,26.513,26.282,26.492,46.3325
10.11.2017 09:00:00.000 GMT-0500,26.593,26.743,26.569,26.632,11.4493
10.11.2017 10:00:00.000 GMT-0500,26.633,26.633,26.472,26.593,21.8552
10.11.2017 11:00:00.000 GMT-0500,26.592,26.722,26.580,26.653,20.4362
10.11.2017 12:00:00.000 GMT-0500,26.652,26.683,26.569,26.662,15.0618
10.11.2017 13:00:00.000 GMT-0500,26.662,26.702,26.620,26.653,13.5551
10.11.2017 14:00:00.000 GMT-0500,26.652,26.673,26.599,26.612,18.015
10.11.2017 15:00:00.000 GMT-0500,26.613,26.613,26.500,26.532,41.9067
13.11.2017 09:00:00.000 GMT-0500,26.293,26.403,26.152,26.373,8.9456
13.11.2017 10:00:00.000 GMT-0500,26.372,26.490,26.337,26.372,17.2309
13.11.2017 11:00:00.000 GMT-0500,26.373,26.413,26.317,26.402,18.852
13.11.2017 12:00:00.000 GMT-0500,26.403,26.423,26.321,26.382,18.1914
13.11.2017 13:00:00.000 GMT-0500,26.383,26.413,26.331,26.403,17.2516
13.11.2017 14:00:00.000 GMT-0500,26.402,26.453,26.380,26.433,19.8099
13.11.2017 15:00:00.000 GMT-0500,26.432,26.443,26.372,26.403,27.9503
14.11.2017 09:00:00.000 GMT-0500,26.262,26.353,26.202,26.222,11.4865
14.11.2017 10:00:00.000 GMT-0500,26.223,26.273,26.092,26.252,23.3558
14.11.2017 11:00:00.000 GMT-0500,26.252,26.283,26.138,26.192,21.1788
14.11.2017 12:00:00.000 GMT-0500,26.193,26.223,26.101,26.113,17.5528
14.11.2017 13:00:00.000 GMT-0500,26.112,26.163,26.092,26.142,19.3841
14.11.2017 14:00:00.000 GMT-0500,26.143,26.213,26.121,26.192,19.5326
14.11.2017 15:00:00.000 GMT-0500,26.193,26.283,26.192,26.252,40.6955
15.11.2017 09:00:00.000 GMT-0500,25.992,26.233,25.822,26.152,11.9048
15.11.2017 10:00:00.000 GMT-0500,26.153,26.513,26.152,26.502,25.4606
15.11.2017 11:00:00.000 GMT-0500,26.503,26.813,26.502,26.773,27.6323
15.11.2017 12:00:00.000 GMT-0500,26.772,26.803,26.659,26.792,27.2528
15.11.2017 13:00:00.000 GMT-0500,26.792,26.863,26.688,26.702,28.3081
15.11.2017 14:00:00.000 GMT-0500,26.703,26.843,26.663,26.813,27.3064
15.11.2017 15:00:00.000 GMT-0500,26.813,26.933,26.750,26.812,59.4265
16.11.2017 09:00:00.000 GMT-0500,26.902,27.043,26.782,26.903,11.309
16.11.2017 10:00:00.000 GMT-0500,26.902,27.003,26.772,26.962,20.0363
16.11.2017 11:00:00.000 GMT-0500,26.963,26.972,26.801,26.882,16.8473
16.11.2017 12:00:00.000 GMT-0500,26.883,26.923,26.850,26.882,13.5232
16.11.2017 13:00:00.000 GMT-0500,26.883,26.913,26.832,26.863,14.0127
16.11.2017 14:00:00.000 GMT-0500,26.862,26.903,26.832,26.853,17.8545
16.11.2017 15:00:00.000 GMT-0500,26.852,26.853,26.752,26.763,37.3464
