Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,56.298,56.870,55.890,56.620,5.0635
02.11.2017 10:00:00.000 GMT-0400,56.620,57.128,56.210,56.670,11.872
02.11.2017 11:00:00.000 GMT-0400,56.680,57.173,56.501,57.162,12.0204
02.11.2017 12:00:00.000 GMT-0400,57.163,57.483,56.931,56.942,11.9082
02.11.2017 13:00:00.000 GMT-0400,56.940,57.182,56.823,57.062,6.8179
02.11.2017 14:00:00.000 GMT-0400,57.063,57.213,56.922,57.172,6.3725
02.11.2017 15:00:00.000 GMT-0400,57.173,57.407,57.119,57.359,8.4281
03.11.2017 09:00:00.000 GMT-0400,57.323,57.609,57.250,57.411,4.062
03.11.2017 10:00:00.000 GMT-0400,57.413,57.761,57.402,57.653,8.8556
03.11.2017 11:00:00.000 GMT-0400,57.652,57.831,57.589,57.693,7.2089
03.11.2017 12:00:00.000 GMT-0400,57.693,57.713,57.172,57.220,6.7989
03.11.2017 13:00:00.000 GMT-0400,57.222,57.263,57.090,57.222,5.2199
03.11.2017 14:00:00.000 GMT-0400,57.222,57.362,57.072,57.072,4.8557
03.11.2017 15:00:00.000 GMT-0400,57.073,57.083,56.842,56.922,5.8591
06.11.2017 09:00:00.000 GMT-0500,57.003,57.300,56.592,56.882,4.3975
06.11.2017 10:00:00.000 GMT-0500,56.892,56.893,56.411,56.543,8.7611
06.11.2017 11:00:00.000 GMT-0500,56.542,56.943,56.282,56.922,8.0073
06.11.2017 12:00:00.000 GMT-0500,56.923,56.932,56.742,56.752,5.3849
06.11.2017 13:00:00.000 GMT-0500,56.761,56.803,56.602,56.743,6.0104
06.11.2017 14:00:00.000 GMT-0500,56.743,56.773,56.512,56.513,4.4869
06.11.2017 15:00:00.000 GMT-0500,56.513,56.583,56.230,56.389,6.6367
07.11.2017 09:00:00.000 GMT-0500,56.562,56.713,56.412,56.423,3.9433
07.11.2017 10:00:00.000 GMT-0500,56.423,56.423,55.393,55.402,7.1349
07.11.2017 11:00:00.000 GMT-0500,55.394,55.733,55.132,55.163,10.8658
07.11.2017 12:00:00.000 GMT-0500,55.162,55.163,54.662,54.862,10.4399
07.11.2017 13:00:00.000 GMT-0500,54.863,55.083,54.682,55.022,6.3274
07.11.2017 14:00:00.000 GMT-0500,55.023,55.023,54.819,54.872,6.1617
07.11.2017 15:00:00.000 GMT-0500,54.872,55.143,54.810,55.138,5.9884
08.11.2017 09:00:00.000 GMT-0500,55.242,55.682,54.802,55.611,5.0798
08.11.2017 10:00:00.000 GMT-0500,55.622,56.163,55.380,56.082,8.0145
08.11.2017 11:00:00.000 GMT-0500,56.063,56.283,56.002,56.212,5.7883
08.11.2017 12:00:00.000 GMT-0500,56.213,56.710,56.182,56.633,4.4831
08.11.2017 13:00:00.000 GMT-0500,56.622,56.793,56.502,56.691,4.3956
08.11.2017 14:00:00.000 GMT-0500,56.692,56.730,56.412,56.532,3.9264
08.11.2017 15:00:00.000 GMT-0500,56.533,56.709,56.362,56.552,5.9113
09.11.2017 09:00:00.000 GMT-0500,56.303,56.502,55.743,55.992,5.4667
09.11.2017 10:00:00.000 GMT-0500,55.982,56.160,55.758,56.002,8.5569
09.11.2017 11:00:00.000 GMT-0500,56.012,56.102,55.561,55.603,8.2251
09.11.2017 12:00:00.000 GMT-0500,55.593,55.653,55.290,55.582,7.6857
09.11.2017 13:00:00.000 GMT-0500,55.583,56.162,55.513,56.122,7.6756
09.11.2017 14:00:00.000 GMT-0500,56.122,56.243,55.880,55.913,6.863
09.11.2017 15:00:00.000 GMT-0500,55.892,56.043,55.832,55.952,8.6335
10.11.2017 09:00:00.000 GMT-0500,56.140,57.092,56.133,56.752,4.2096
10.11.2017 10:00:00.000 GMT-0500,56.743,56.813,56.400,56.482,5.7004
10.11.2017 11:00:00.000 GMT-0500,56.492,56.530,56.352,56.392,6.5378
10.11.2017 12:00:00.000 GMT-0500,56.393,56.463,56.332,56.332,3.0963
10.11.2017 13:00:00.000 GMT-0500,56.332,56.713,56.302,56.633,4.6313
10.11.2017 14:00:00.000 GMT-0500,56.632,56.663,56.456,56.482,4.4801
10.11.2017 15:00:00.000 GMT-0500,56.482,56.692,56.382,56.678,5.3763
13.11.2017 09:00:00.000 GMT-0500,56.730,57.462,56.663,57.282,3.5835
13.11.2017 10:00:00.000 GMT-0500,57.283,57.313,57.152,57.302,7.3231
13.11.2017 11:00:00.000 GMT-0500,57.303,57.332,56.871,57.000,5.6055
13.11.2017 12:00:00.000 GMT-0500,57.002,57.013,56.402,56.722,4.594
13.11.2017 13:00:00.000 GMT-0500,56.723,56.912,56.720,56.872,3.6797
13.11.2017 14:00:00.000 GMT-0500,56.870,57.013,56.762,56.913,5.2685
13.11.2017 15:00:00.000 GMT-0500,56.912,57.113,56.890,56.972,7.8216
14.11.2017 09:00:00.000 GMT-0500,56.673,57.433,56.663,57.432,4.6095
14.11.2017 10:00:00.000 GMT-0500,57.423,57.633,57.060,57.162,6.8012
14.11.2017 11:00:00.000 GMT-0500,57.162,57.202,56.792,57.023,4.6451
14.11.2017 12:00:00.000 GMT-0500,57.022,57.173,56.972,57.059,2.9299
14.11.2017 13:00:00.000 GMT-0500,57.062,57.113,56.972,56.972,3.291
14.11.2017 14:00:00.000 GMT-0500,56.973,57.243,56.928,57.212,4.7947
14.11.2017 15:00:00.000 GMT-0500,57.212,57.292,57.132,57.212,6.012
15.11.2017 09:00:00.000 GMT-0500,57.112,57.203,56.102,57.133,4.7666
15.11.2017 10:00:00.000 GMT-0500,57.132,57.133,56.652,56.822,6.2795
15.11.2017 11:00:00.000 GMT-0500,56.823,57.303,56.780,57.163,5.7633
15.11.2017 12:00:00.000 GMT-0500,57.162,57.333,57.052,57.242,4.8632
15.11.2017 13:00:00.000 GMT-0500,57.243,57.332,57.140,57.302,5.3735
15.11.2017 14:00:00.000 GMT-0500,57.303,57.353,57.203,57.322,6.0604
15.11.2017 15:00:00.000 GMT-0500,57.323,57.452,57.192,57.333,10.1434
16.11.2017 09:00:00.000 GMT-0500,55.543,56.908,52.973,53.202,11.0209
16.11.2017 10:00:00.000 GMT-0500,53.192,54.492,53.023,53.403,18.36
16.11.2017 11:00:00.000 GMT-0500,53.392,54.452,53.293,54.142,10.8839
16.11.2017 12:00:00.000 GMT-0500,54.152,54.853,54.092,54.712,9.8428
16.11.2017 13:00:00.000 GMT-0500,54.713,55.193,54.422,54.993,9.0907
16.11.2017 14:00:00.000 GMT-0500,54.992,55.403,54.672,55.112,9.0456
16.11.2017 15:00:00.000 GMT-0500,55.112,55.373,54.956,55.292,10.8518
17.11.2017 09:00:00.000 GMT-0500,55.583,55.963,54.432,54.692,5.9991
17.11.2017 10:00:00.000 GMT-0500,54.692,55.403,54.653,55.383,13.9339
17.11.2017 11:00:00.000 GMT-0500,55.423,55.583,55.142,55.332,11.4692
17.11.2017 12:00:00.000 GMT-0500,55.322,55.333,55.002,55.032,6.9844
17.11.2017 13:00:00.000 GMT-0500,55.030,55.371,55.012,55.332,6.0333
17.11.2017 14:00:00.000 GMT-0500,55.333,55.843,55.327,55.629,8.414
17.11.2017 15:00:00.000 GMT-0500,55.632,56.000,55.469,55.832,10.1351
20.11.2017 09:00:00.000 GMT-0500,56.133,56.813,56.113,56.550,4.5527
20.11.2017 10:00:00.000 GMT-0500,56.552,57.009,56.502,56.893,10.0962
20.11.2017 11:00:00.000 GMT-0500,56.910,56.963,56.392,56.582,7.9639
20.11.2017 12:00:00.000 GMT-0500,56.581,56.662,56.522,56.640,5.3209
20.11.2017 13:00:00.000 GMT-0500,56.633,56.633,56.422,56.452,4.5363
20.11.2017 14:00:00.000 GMT-0500,56.453,56.523,56.322,56.502,5.3461
20.11.2017 15:00:00.000 GMT-0500,56.502,56.513,56.190,56.339,7.3284
21.11.2017 09:00:00.000 GMT-0500,56.552,56.552,56.092,56.273,3.5169
21.11.2017 10:00:00.000 GMT-0500,56.273,56.793,56.232,56.510,8.2393
21.11.2017 11:00:00.000 GMT-0500,56.512,56.542,56.432,56.442,5.2175
21.11.2017 12:00:00.000 GMT-0500,56.452,56.602,56.322,56.482,7.2612
21.11.2017 13:00:00.000 GMT-0500,56.480,56.573,56.012,56.021,6.2429
21.11.2017 14:00:00.000 GMT-0500,56.023,56.242,55.949,56.192,7.1899
21.11.2017 15:00:00.000 GMT-0500,56.193,56.243,55.822,56.073,8.1622
22.11.2017 09:00:00.000 GMT-0500,56.663,57.090,56.443,56.850,5.1161
22.11.2017 10:00:00.000 GMT-0500,56.853,57.189,56.741,56.810,9.443
