Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,317.810,318.950,311.880,312.310,3.5569
02.11.2017 10:00:00.000 GMT-0400,312.310,316.840,312.120,314.590,5.9054
02.11.2017 11:00:00.000 GMT-0400,314.590,314.900,311.172,311.392,5.2732
02.11.2017 12:00:00.000 GMT-0400,311.392,313.173,311.173,312.223,5.4195
02.11.2017 13:00:00.000 GMT-0400,312.173,312.312,310.752,310.852,4.7197
02.11.2017 14:00:00.000 GMT-0400,310.733,310.933,309.572,309.872,5.7472
02.11.2017 15:00:00.000 GMT-0400,309.872,310.103,308.605,309.322,9.1137
03.11.2017 09:00:00.000 GMT-0400,310.010,310.843,308.652,310.222,1.7725
03.11.2017 10:00:00.000 GMT-0400,310.222,312.003,309.112,309.942,3.8768
03.11.2017 11:00:00.000 GMT-0400,309.943,311.703,309.282,311.493,3.3838
03.11.2017 12:00:00.000 GMT-0400,311.502,312.252,310.972,311.443,2.8288
03.11.2017 13:00:00.000 GMT-0400,311.323,311.652,310.602,311.442,1.953
03.11.2017 14:00:00.000 GMT-0400,311.443,313.672,310.992,313.672,3.1627
03.11.2017 15:00:00.000 GMT-0400,313.672,314.223,313.282,314.142,5.4998
06.11.2017 09:00:00.000 GMT-0500,314.425,316.992,314.413,316.702,3.0199
06.11.2017 10:00:00.000 GMT-0500,316.702,319.422,316.393,318.853,5.3346
06.11.2017 11:00:00.000 GMT-0500,318.853,319.343,317.692,317.992,4.3098
06.11.2017 12:00:00.000 GMT-0500,317.983,318.272,315.682,315.752,3.5654
06.11.2017 13:00:00.000 GMT-0500,315.752,316.203,315.312,315.913,3.3334
06.11.2017 14:00:00.000 GMT-0500,315.913,316.512,315.343,315.902,4.2408
06.11.2017 15:00:00.000 GMT-0500,315.902,316.753,315.412,315.493,6.1274
07.11.2017 09:00:00.000 GMT-0500,316.002,316.003,314.220,315.522,1.9781
07.11.2017 10:00:00.000 GMT-0500,315.522,315.523,311.142,311.522,4.3167
07.11.2017 11:00:00.000 GMT-0500,311.522,313.382,311.052,312.142,3.5414
07.11.2017 12:00:00.000 GMT-0500,312.143,313.793,311.962,313.552,3.2554
07.11.2017 13:00:00.000 GMT-0500,313.552,313.915,312.688,312.802,2.7449
07.11.2017 14:00:00.000 GMT-0500,312.803,313.503,312.142,312.932,2.9389
07.11.2017 15:00:00.000 GMT-0500,312.933,313.642,312.233,313.562,5.6644
