Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,74.450,74.450,73.670,73.940,12.2885
02.11.2017 10:00:00.000 GMT-0400,73.940,74.070,73.340,74.050,24.3022
02.11.2017 11:00:00.000 GMT-0400,74.060,74.293,73.971,74.062,18.1616
02.11.2017 12:00:00.000 GMT-0400,74.063,74.763,74.052,74.742,17.5996
02.11.2017 13:00:00.000 GMT-0400,74.743,74.743,74.230,74.322,12.1087
02.11.2017 14:00:00.000 GMT-0400,74.323,74.493,74.290,74.323,10.445
02.11.2017 15:00:00.000 GMT-0400,74.322,74.853,74.281,74.723,13.7865
03.11.2017 09:00:00.000 GMT-0400,74.262,74.393,73.850,74.052,12.3038
03.11.2017 10:00:00.000 GMT-0400,74.052,74.253,73.862,74.092,15.3795
03.11.2017 11:00:00.000 GMT-0400,74.093,74.302,74.027,74.027,12.0404
03.11.2017 12:00:00.000 GMT-0400,74.028,74.173,73.922,74.043,10.7313
03.11.2017 13:00:00.000 GMT-0400,74.042,74.123,73.992,74.113,8.3197
03.11.2017 14:00:00.000 GMT-0400,74.112,74.133,73.950,74.033,9.2514
03.11.2017 15:00:00.000 GMT-0400,74.032,74.083,73.872,74.043,11.1781
06.11.2017 09:00:00.000 GMT-0500,73.652,73.953,73.353,73.682,11.0529
06.11.2017 10:00:00.000 GMT-0500,73.681,73.693,73.181,73.242,14.6104
06.11.2017 11:00:00.000 GMT-0500,73.240,73.423,73.191,73.423,11.2347
06.11.2017 12:00:00.000 GMT-0500,73.422,73.743,73.362,73.703,9.3366
06.11.2017 13:00:00.000 GMT-0500,73.712,73.782,73.592,73.702,8.7938
06.11.2017 14:00:00.000 GMT-0500,73.703,73.913,73.692,73.902,8.4955
06.11.2017 15:00:00.000 GMT-0500,73.902,74.042,73.802,73.813,9.5006
07.11.2017 09:00:00.000 GMT-0500,73.803,74.003,73.692,73.812,10.7427
07.11.2017 10:00:00.000 GMT-0500,73.813,73.873,73.282,73.353,16.6498
07.11.2017 11:00:00.000 GMT-0500,73.352,73.512,73.022,73.042,15.4571
07.11.2017 12:00:00.000 GMT-0500,73.042,73.122,72.412,72.412,15.2366
07.11.2017 13:00:00.000 GMT-0500,72.413,72.803,72.382,72.512,13.2268
07.11.2017 14:00:00.000 GMT-0500,72.513,72.743,72.420,72.432,10.5041
07.11.2017 15:00:00.000 GMT-0500,72.432,72.721,72.332,72.703,13.4075
08.11.2017 09:00:00.000 GMT-0500,72.782,72.843,71.529,71.943,14.0142
08.11.2017 10:00:00.000 GMT-0500,71.952,72.342,71.901,72.162,17.7822
08.11.2017 11:00:00.000 GMT-0500,72.162,72.373,71.971,72.312,11.9457
08.11.2017 12:00:00.000 GMT-0500,72.313,72.583,72.311,72.492,12.7149
08.11.2017 13:00:00.000 GMT-0500,72.492,72.553,72.240,72.273,8.9405
08.11.2017 14:00:00.000 GMT-0500,72.272,72.273,71.900,71.983,10.6381
08.11.2017 15:00:00.000 GMT-0500,71.982,72.403,71.880,72.342,13.6868
09.11.2017 09:00:00.000 GMT-0500,71.786,72.213,71.662,71.893,14.7474
09.11.2017 10:00:00.000 GMT-0500,71.903,72.702,71.893,72.662,19.6368
09.11.2017 11:00:00.000 GMT-0500,72.663,72.763,71.652,71.833,25.9875
09.11.2017 12:00:00.000 GMT-0500,71.832,72.103,71.462,72.062,27.7844
09.11.2017 13:00:00.000 GMT-0500,72.062,72.243,71.739,72.182,15.8525
09.11.2017 14:00:00.000 GMT-0500,72.183,72.343,72.020,72.021,14.6728
09.11.2017 15:00:00.000 GMT-0500,72.022,72.563,72.002,72.432,16.4271
10.11.2017 09:00:00.000 GMT-0500,72.652,72.863,72.312,72.473,13.7892
10.11.2017 10:00:00.000 GMT-0500,72.473,72.573,72.252,72.553,19.5796
10.11.2017 11:00:00.000 GMT-0500,72.553,72.741,72.501,72.612,13.7192
10.11.2017 12:00:00.000 GMT-0500,72.612,72.682,72.462,72.562,9.1133
10.11.2017 13:00:00.000 GMT-0500,72.563,72.692,72.481,72.542,8.7961
10.11.2017 14:00:00.000 GMT-0500,72.543,72.562,72.351,72.383,9.5054
10.11.2017 15:00:00.000 GMT-0500,72.383,72.413,72.122,72.222,11.9064
13.11.2017 09:00:00.000 GMT-0500,71.703,71.873,71.492,71.682,9.6304
13.11.2017 10:00:00.000 GMT-0500,71.683,72.013,71.681,71.922,16.1678
13.11.2017 11:00:00.000 GMT-0500,71.923,72.063,71.842,72.053,10.9324
13.11.2017 12:00:00.000 GMT-0500,72.052,72.153,71.890,71.992,8.301
13.11.2017 13:00:00.000 GMT-0500,71.993,72.103,71.861,72.062,8.4552
13.11.2017 14:00:00.000 GMT-0500,72.062,72.153,71.970,72.043,8.3293
13.11.2017 15:00:00.000 GMT-0500,72.043,72.113,71.861,71.963,10.6749
14.11.2017 09:00:00.000 GMT-0500,71.723,72.052,71.372,71.542,12.6208
14.11.2017 10:00:00.000 GMT-0500,71.552,71.592,71.202,71.422,18.266
14.11.2017 11:00:00.000 GMT-0500,71.433,71.433,71.082,71.273,11.9326
14.11.2017 12:00:00.000 GMT-0500,71.272,71.403,71.142,71.180,10.9084
14.11.2017 13:00:00.000 GMT-0500,71.172,71.273,71.052,71.272,10.8546
14.11.2017 14:00:00.000 GMT-0500,71.272,71.433,71.181,71.412,10.0641
14.11.2017 15:00:00.000 GMT-0500,71.412,71.573,71.402,71.532,13.606
15.11.2017 09:00:00.000 GMT-0500,71.113,71.113,70.052,70.742,14.1452
15.11.2017 10:00:00.000 GMT-0500,70.743,71.462,70.713,71.433,20.1353
15.11.2017 11:00:00.000 GMT-0500,71.442,71.952,71.441,71.933,15.7599
15.11.2017 12:00:00.000 GMT-0500,71.932,71.932,71.622,71.823,11.4835
15.11.2017 13:00:00.000 GMT-0500,71.822,71.953,71.411,71.473,12.7149
15.11.2017 14:00:00.000 GMT-0500,71.473,71.903,71.461,71.802,11.14
15.11.2017 15:00:00.000 GMT-0500,71.802,72.073,71.642,71.782,15.8437
16.11.2017 09:00:00.000 GMT-0500,72.152,72.333,71.851,71.922,12.2536
16.11.2017 10:00:00.000 GMT-0500,71.922,72.053,71.602,71.962,15.3322
16.11.2017 11:00:00.000 GMT-0500,71.963,71.973,71.522,71.882,13.7105
16.11.2017 12:00:00.000 GMT-0500,71.882,71.923,71.672,71.843,10.4127
16.11.2017 13:00:00.000 GMT-0500,71.843,72.003,71.822,71.923,9.3296
16.11.2017 14:00:00.000 GMT-0500,71.922,72.053,71.808,71.912,9.9178
16.11.2017 15:00:00.000 GMT-0500,71.913,71.913,71.632,71.678,11.8827
17.11.2017 09:00:00.000 GMT-0500,71.192,71.503,70.950,71.242,11.8065
17.11.2017 10:00:00.000 GMT-0500,71.242,71.583,71.032,71.493,14.9357
17.11.2017 11:00:00.000 GMT-0500,71.483,71.692,71.383,71.623,13.4036
17.11.2017 12:00:00.000 GMT-0500,71.622,71.833,71.551,71.752,9.9845
17.11.2017 13:00:00.000 GMT-0500,71.752,71.788,71.630,71.661,8.2053
17.11.2017 14:00:00.000 GMT-0500,71.662,71.753,71.579,71.623,7.8475
17.11.2017 15:00:00.000 GMT-0500,71.623,71.643,71.242,71.332,12.1883
20.11.2017 09:00:00.000 GMT-0500,72.003,72.003,71.302,71.463,9.9746
20.11.2017 10:00:00.000 GMT-0500,71.462,71.883,71.421,71.853,13.6436
20.11.2017 11:00:00.000 GMT-0500,71.852,71.993,71.702,71.980,8.8598
20.11.2017 12:00:00.000 GMT-0500,71.982,72.143,71.971,72.122,7.4961
20.11.2017 13:00:00.000 GMT-0500,72.122,72.302,72.122,72.263,6.8978
20.11.2017 14:00:00.000 GMT-0500,72.262,72.283,72.138,72.173,8.1115
20.11.2017 15:00:00.000 GMT-0500,72.171,72.173,71.971,72.063,10.5965
21.11.2017 09:00:00.000 GMT-0500,72.572,72.752,72.201,72.292,10.4382
21.11.2017 10:00:00.000 GMT-0500,72.293,72.473,72.132,72.443,12.8069
21.11.2017 11:00:00.000 GMT-0500,72.442,72.563,72.229,72.382,11.763
21.11.2017 12:00:00.000 GMT-0500,72.393,72.593,72.382,72.463,9.4734
21.11.2017 13:00:00.000 GMT-0500,72.462,72.583,72.419,72.533,8.5117
21.11.2017 14:00:00.000 GMT-0500,72.530,72.573,72.438,72.512,8.7103
21.11.2017 15:00:00.000 GMT-0500,72.503,72.503,72.328,72.393,11.7257
22.11.2017 09:00:00.000 GMT-0500,72.563,73.163,72.462,73.013,9.3456
22.11.2017 10:00:00.000 GMT-0500,73.022,73.123,72.842,73.012,11.2992
22.11.2017 11:00:00.000 GMT-0500,73.012,73.023,72.542,72.652,10.2903
22.11.2017 12:00:00.000 GMT-0500,72.653,72.782,72.600,72.773,7.4552
22.11.2017 13:00:00.000 GMT-0500,72.772,72.813,72.662,72.722,8.6376
22.11.2017 14:00:00.000 GMT-0500,72.712,72.733,72.519,72.543,9.4195
22.11.2017 15:00:00.000 GMT-0500,72.542,72.583,72.272,72.272,10.3196
24.11.2017 09:00:00.000 GMT-0500,72.272,72.523,72.223,72.402,5.8882
24.11.2017 10:00:00.000 GMT-0500,72.402,72.472,72.262,72.282,9.3638
24.11.2017 11:00:00.000 GMT-0500,72.283,72.353,72.221,72.242,8.0796
24.11.2017 12:00:00.000 GMT-0500,72.241,72.413,72.002,72.032,9.0758
27.11.2017 09:00:00.000 GMT-0500,72.003,72.363,71.742,72.092,9.8533
27.11.2017 10:00:00.000 GMT-0500,72.092,72.252,72.022,72.123,10.3481
27.11.2017 11:00:00.000 GMT-0500,72.122,72.133,71.727,71.832,11.3613
27.11.2017 12:00:00.000 GMT-0500,71.832,71.833,71.582,71.733,9.9527
27.11.2017 13:00:00.000 GMT-0500,71.732,71.953,71.722,71.953,7.4134
27.11.2017 14:00:00.000 GMT-0500,71.952,71.973,71.662,71.692,8.8081
27.11.2017 15:00:00.000 GMT-0500,71.693,71.693,71.313,71.373,12.6917
28.11.2017 09:00:00.000 GMT-0500,71.862,71.863,71.152,71.723,9.1693
28.11.2017 10:00:00.000 GMT-0500,71.722,72.063,71.592,72.049,13.9574
28.11.2017 11:00:00.000 GMT-0500,72.049,72.553,71.991,72.523,13.8554
28.11.2017 12:00:00.000 GMT-0500,72.523,72.993,72.511,72.962,16.0291
28.11.2017 13:00:00.000 GMT-0500,72.972,73.133,72.680,72.743,16.2958
28.11.2017 14:00:00.000 GMT-0500,72.742,73.433,72.542,73.280,16.4741
28.11.2017 15:00:00.000 GMT-0500,73.280,74.001,73.238,73.722,18.4644
29.11.2017 09:00:00.000 GMT-0500,74.773,75.023,74.093,74.962,17.3438
29.11.2017 10:00:00.000 GMT-0500,74.972,75.463,74.572,75.403,28.8211
29.11.2017 11:00:00.000 GMT-0500,75.402,75.773,74.962,75.002,26.449
29.11.2017 12:00:00.000 GMT-0500,75.002,75.233,74.788,75.023,22.6537
29.11.2017 13:00:00.000 GMT-0500,75.032,75.043,74.242,74.553,17.1207
29.11.2017 14:00:00.000 GMT-0500,74.543,75.443,74.532,75.363,21.4026
29.11.2017 15:00:00.000 GMT-0500,75.372,75.412,74.981,75.052,16.9957
30.11.2017 09:00:00.000 GMT-0500,75.742,76.003,75.330,75.343,14.9854
30.11.2017 10:00:00.000 GMT-0500,75.342,75.943,75.151,75.912,22.7904
30.11.2017 11:00:00.000 GMT-0500,75.913,76.252,75.892,76.070,22.6846
30.11.2017 12:00:00.000 GMT-0500,76.069,76.783,76.069,76.692,22.363
30.11.2017 13:00:00.000 GMT-0500,76.702,76.902,76.012,76.122,23.1103
30.11.2017 14:00:00.000 GMT-0500,76.122,76.333,75.759,75.772,16.6154
30.11.2017 15:00:00.000 GMT-0500,75.773,75.922,75.320,75.503,23.3774
01.12.2017 09:00:00.000 GMT-0500,75.972,76.023,75.112,75.213,12.3925
01.12.2017 10:00:00.000 GMT-0500,75.212,76.252,74.952,76.142,29.5005
01.12.2017 11:00:00.000 GMT-0500,76.133,76.233,73.832,75.122,47.4493
01.12.2017 12:00:00.000 GMT-0500,75.140,75.442,74.670,75.022,41.982
01.12.2017 13:00:00.000 GMT-0500,75.011,75.573,74.952,75.363,22.3036
01.12.2017 14:00:00.000 GMT-0500,75.363,75.492,74.911,74.972,19.2599
01.12.2017 15:00:00.000 GMT-0500,74.973,75.560,74.882,75.509,17.5622
04.12.2017 09:00:00.000 GMT-0500,77.253,77.363,76.632,77.183,17.5105
04.12.2017 10:00:00.000 GMT-0500,77.182,77.593,76.942,77.383,30.172
04.12.2017 11:00:00.000 GMT-0500,77.382,77.453,76.942,77.252,26.197
04.12.2017 12:00:00.000 GMT-0500,77.242,77.543,77.012,77.542,18.0518
04.12.2017 13:00:00.000 GMT-0500,77.543,77.923,77.461,77.913,15.2575
04.12.2017 14:00:00.000 GMT-0500,77.912,77.923,77.102,77.290,17.1369
04.12.2017 15:00:00.000 GMT-0500,77.282,77.423,77.102,77.102,19.4179
05.12.2017 09:00:00.000 GMT-0500,76.982,77.232,76.201,76.332,15.8408
05.12.2017 10:00:00.000 GMT-0500,76.323,77.172,76.272,77.152,24.9319
05.12.2017 11:00:00.000 GMT-0500,77.153,77.273,76.849,76.912,19.5312
05.12.2017 12:00:00.000 GMT-0500,76.913,77.013,76.742,76.853,16.3589
05.12.2017 13:00:00.000 GMT-0500,76.862,77.213,76.800,77.122,14.8444
05.12.2017 14:00:00.000 GMT-0500,77.123,77.283,76.672,76.772,20.4732
05.12.2017 15:00:00.000 GMT-0500,76.772,76.773,76.311,76.553,19.224
06.12.2017 09:00:00.000 GMT-0500,76.283,76.693,75.472,75.712,12.7143
