Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,36.210,36.210,35.580,35.810,4.7814
02.11.2017 10:00:00.000 GMT-0400,35.820,35.920,35.380,35.390,5.6412
02.11.2017 11:00:00.000 GMT-0400,35.381,35.633,35.272,35.292,10.9029
02.11.2017 12:00:00.000 GMT-0400,35.293,35.293,35.062,35.113,9.5464
02.11.2017 13:00:00.000 GMT-0400,35.112,35.223,34.942,35.093,9.2397
02.11.2017 14:00:00.000 GMT-0400,35.092,35.263,35.082,35.182,9.0445
02.11.2017 15:00:00.000 GMT-0400,35.182,35.263,35.113,35.133,16.1457
03.11.2017 09:00:00.000 GMT-0400,35.082,35.232,34.782,35.073,6.6704
03.11.2017 10:00:00.000 GMT-0400,35.072,35.283,34.942,35.282,7.012
03.11.2017 11:00:00.000 GMT-0400,35.283,35.433,35.262,35.382,7.0117
03.11.2017 12:00:00.000 GMT-0400,35.382,35.433,35.202,35.332,5.837
03.11.2017 13:00:00.000 GMT-0400,35.323,35.362,35.252,35.293,6.2082
03.11.2017 14:00:00.000 GMT-0400,35.292,35.483,35.272,35.472,6.463
03.11.2017 15:00:00.000 GMT-0400,35.473,35.693,35.472,35.682,18.5887
06.11.2017 09:00:00.000 GMT-0500,35.572,36.063,35.292,35.882,6.9665
06.11.2017 10:00:00.000 GMT-0500,35.883,36.063,35.832,35.952,7.7811
06.11.2017 11:00:00.000 GMT-0500,35.943,35.943,35.652,35.702,5.6849
06.11.2017 12:00:00.000 GMT-0500,35.703,35.773,35.613,35.672,4.6917
06.11.2017 13:00:00.000 GMT-0500,35.673,35.813,35.532,35.622,6.5881
06.11.2017 14:00:00.000 GMT-0500,35.623,35.713,35.502,35.562,6.8051
06.11.2017 15:00:00.000 GMT-0500,35.562,35.613,35.492,35.553,15.2934
07.11.2017 09:00:00.000 GMT-0500,35.692,36.063,35.618,36.042,4.9675
07.11.2017 10:00:00.000 GMT-0500,36.062,36.313,35.982,36.272,9.3504
07.11.2017 11:00:00.000 GMT-0500,36.282,36.913,36.262,36.892,13.1923
07.11.2017 12:00:00.000 GMT-0500,36.893,36.893,36.562,36.672,7.8613
07.11.2017 13:00:00.000 GMT-0500,36.673,36.673,36.502,36.612,8.9914
07.11.2017 14:00:00.000 GMT-0500,36.613,36.693,36.272,36.362,8.8291
07.11.2017 15:00:00.000 GMT-0500,36.363,36.422,36.292,36.393,15.3122
08.11.2017 09:00:00.000 GMT-0500,36.512,36.553,36.123,36.533,6.2176
08.11.2017 10:00:00.000 GMT-0500,36.532,36.573,36.303,36.562,7.5155
08.11.2017 11:00:00.000 GMT-0500,36.563,36.633,36.352,36.423,7.305
08.11.2017 12:00:00.000 GMT-0500,36.422,36.432,36.242,36.312,5.2714
08.11.2017 13:00:00.000 GMT-0500,36.312,36.363,36.212,36.242,6.5369
08.11.2017 14:00:00.000 GMT-0500,36.243,36.273,36.122,36.133,6.5794
08.11.2017 15:00:00.000 GMT-0500,36.132,36.233,36.082,36.232,14.2956
09.11.2017 09:00:00.000 GMT-0500,36.033,36.433,35.932,36.362,6.0153
09.11.2017 10:00:00.000 GMT-0500,36.362,36.792,36.352,36.753,9.0321
09.11.2017 11:00:00.000 GMT-0500,36.752,36.923,36.562,36.602,9.4117
09.11.2017 12:00:00.000 GMT-0500,36.603,36.753,36.462,36.642,9.6704
09.11.2017 13:00:00.000 GMT-0500,36.632,36.803,36.542,36.762,8.1727
09.11.2017 14:00:00.000 GMT-0500,36.762,36.853,36.742,36.792,12.1937
09.11.2017 15:00:00.000 GMT-0500,36.782,36.833,36.562,36.572,16.5179
10.11.2017 09:00:00.000 GMT-0500,36.632,36.943,36.585,36.903,6.6599
10.11.2017 10:00:00.000 GMT-0500,36.902,37.313,36.863,37.073,10.1402
10.11.2017 11:00:00.000 GMT-0500,37.072,37.223,36.852,36.952,7.7769
10.11.2017 12:00:00.000 GMT-0500,36.953,36.993,36.892,36.923,4.7192
10.11.2017 13:00:00.000 GMT-0500,36.922,37.002,36.872,37.002,5.9269
10.11.2017 14:00:00.000 GMT-0500,37.002,37.043,36.852,36.882,4.9177
10.11.2017 15:00:00.000 GMT-0500,36.883,36.963,36.843,36.852,9.184
13.11.2017 09:00:00.000 GMT-0500,36.842,36.883,36.622,36.712,4.903
13.11.2017 10:00:00.000 GMT-0500,36.712,36.903,36.652,36.882,7.3212
13.11.2017 11:00:00.000 GMT-0500,36.882,36.963,36.772,36.943,8.0583
13.11.2017 12:00:00.000 GMT-0500,36.942,36.962,36.802,36.842,5.639
13.11.2017 13:00:00.000 GMT-0500,36.832,37.052,36.822,36.962,6.0125
13.11.2017 14:00:00.000 GMT-0500,36.963,37.123,36.962,37.102,5.3381
13.11.2017 15:00:00.000 GMT-0500,37.103,37.282,37.092,37.252,11.6948
14.11.2017 09:00:00.000 GMT-0500,36.993,37.053,36.632,36.753,6.4329
14.11.2017 10:00:00.000 GMT-0500,36.752,37.002,36.632,36.783,9.1374
14.11.2017 11:00:00.000 GMT-0500,36.782,36.993,36.762,36.952,6.5679
14.11.2017 12:00:00.000 GMT-0500,36.942,37.013,36.752,36.803,8.1236
14.11.2017 13:00:00.000 GMT-0500,36.802,36.933,36.782,36.863,5.2962
14.11.2017 14:00:00.000 GMT-0500,36.862,36.953,36.782,36.902,6.766
14.11.2017 15:00:00.000 GMT-0500,36.903,36.943,36.802,36.873,17.5623
15.11.2017 09:00:00.000 GMT-0500,37.043,37.053,36.682,36.833,6.1588
15.11.2017 10:00:00.000 GMT-0500,36.822,36.973,36.782,36.862,8.5087
15.11.2017 11:00:00.000 GMT-0500,36.872,37.113,36.812,36.992,7.0308
15.11.2017 12:00:00.000 GMT-0500,36.992,37.063,36.933,37.022,6.5179
15.11.2017 13:00:00.000 GMT-0500,37.022,37.032,36.852,36.943,6.0099
15.11.2017 14:00:00.000 GMT-0500,36.942,37.173,36.932,37.142,6.5606
15.11.2017 15:00:00.000 GMT-0500,37.143,37.283,37.042,37.192,17.6825
16.11.2017 09:00:00.000 GMT-0500,37.153,37.302,36.922,36.992,4.6433
16.11.2017 10:00:00.000 GMT-0500,36.992,37.573,36.972,37.442,8.5487
