Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,273.120,273.120,269.000,270.010,1.6935
02.11.2017 10:00:00.000 GMT-0400,269.843,276.000,269.520,273.940,3.6932
02.11.2017 11:00:00.000 GMT-0400,273.940,281.002,272.353,275.992,4.0826
02.11.2017 12:00:00.000 GMT-0400,275.983,277.993,275.252,277.503,2.7149
02.11.2017 13:00:00.000 GMT-0400,277.503,278.093,276.943,277.682,2.0905
02.11.2017 14:00:00.000 GMT-0400,277.682,277.893,275.202,275.453,2.8174
02.11.2017 15:00:00.000 GMT-0400,275.463,280.258,275.073,279.463,5.3985
03.11.2017 09:00:00.000 GMT-0400,277.593,278.893,275.722,276.343,2.02
03.11.2017 10:00:00.000 GMT-0400,276.343,276.343,274.192,274.923,4.4117
03.11.2017 11:00:00.000 GMT-0400,274.903,276.212,274.622,275.183,2.9577
03.11.2017 12:00:00.000 GMT-0400,275.182,275.723,271.663,273.802,3.3518
03.11.2017 13:00:00.000 GMT-0400,273.803,273.873,272.372,273.792,3.0949
03.11.2017 14:00:00.000 GMT-0400,273.793,275.932,273.603,275.123,2.6825
03.11.2017 15:00:00.000 GMT-0400,275.122,275.213,273.382,273.563,4.939
06.11.2017 09:00:00.000 GMT-0500,274.493,274.932,270.708,271.702,2.7411
06.11.2017 10:00:00.000 GMT-0500,271.702,275.793,271.192,274.843,4.7704
06.11.2017 11:00:00.000 GMT-0500,274.842,276.503,274.453,274.652,2.8928
06.11.2017 12:00:00.000 GMT-0500,274.473,275.683,273.932,275.283,1.378
06.11.2017 13:00:00.000 GMT-0500,275.273,276.170,274.902,275.193,1.0845
06.11.2017 14:00:00.000 GMT-0500,275.193,275.973,275.033,275.862,0.9564
06.11.2017 15:00:00.000 GMT-0500,275.863,276.333,275.292,275.773,3.0938
07.11.2017 09:00:00.000 GMT-0500,276.003,276.532,274.682,274.992,1.1637
07.11.2017 10:00:00.000 GMT-0500,275.002,275.003,273.623,274.873,2.4865
07.11.2017 11:00:00.000 GMT-0500,274.872,275.003,273.662,273.662,2.5308
07.11.2017 12:00:00.000 GMT-0500,273.663,273.902,272.883,273.353,1.9084
07.11.2017 13:00:00.000 GMT-0500,273.353,274.463,273.353,273.772,1.5685
07.11.2017 14:00:00.000 GMT-0500,273.772,274.003,273.253,273.683,1.9964
07.11.2017 15:00:00.000 GMT-0500,273.682,274.653,273.543,274.513,3.1231
08.11.2017 09:00:00.000 GMT-0500,274.953,275.003,272.833,274.773,1.3309
08.11.2017 10:00:00.000 GMT-0500,274.782,276.003,274.142,275.132,2.4771
08.11.2017 11:00:00.000 GMT-0500,275.243,275.243,273.623,273.893,1.4407
08.11.2017 12:00:00.000 GMT-0500,273.872,275.513,273.872,274.862,0.9118
08.11.2017 13:00:00.000 GMT-0500,274.772,275.313,274.172,274.183,1.0817
08.11.2017 14:00:00.000 GMT-0500,274.182,275.002,274.132,274.733,0.9794
08.11.2017 15:00:00.000 GMT-0500,274.733,275.003,273.372,273.952,2.5869
09.11.2017 09:00:00.000 GMT-0500,273.643,275.003,273.173,274.683,0.4123
09.11.2017 10:00:00.000 GMT-0500,274.682,276.302,274.682,275.182,2.2089
09.11.2017 11:00:00.000 GMT-0500,275.182,275.183,273.342,273.488,1.4812
09.11.2017 12:00:00.000 GMT-0500,273.343,273.483,270.175,272.493,2.7357
09.11.2017 13:00:00.000 GMT-0500,272.493,274.703,272.352,274.413,1.9474
09.11.2017 14:00:00.000 GMT-0500,274.413,276.953,274.362,274.992,1.8372
09.11.2017 15:00:00.000 GMT-0500,274.993,275.963,274.303,274.833,2.8945
