Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,102.450,102.580,101.840,102.330,4.5183
02.11.2017 10:00:00.000 GMT-0400,102.310,102.830,101.810,102.620,10.4876
02.11.2017 11:00:00.000 GMT-0400,102.630,102.932,102.172,102.873,8.4182
02.11.2017 12:00:00.000 GMT-0400,102.873,103.163,102.562,103.003,6.0054
02.11.2017 13:00:00.000 GMT-0400,103.003,103.293,103.002,103.122,4.7256
02.11.2017 14:00:00.000 GMT-0400,103.112,103.373,103.092,103.253,4.4239
02.11.2017 15:00:00.000 GMT-0400,103.253,103.253,102.493,102.602,8.7959
03.11.2017 09:00:00.000 GMT-0400,103.442,103.443,101.772,101.982,3.5323
03.11.2017 10:00:00.000 GMT-0400,101.983,102.233,101.712,102.162,8.6788
03.11.2017 11:00:00.000 GMT-0400,102.163,102.313,101.872,102.282,5.5935
03.11.2017 12:00:00.000 GMT-0400,102.283,102.648,102.212,102.512,4.4226
03.11.2017 13:00:00.000 GMT-0400,102.513,102.842,102.432,102.552,4.6859
03.11.2017 14:00:00.000 GMT-0400,102.553,102.913,102.532,102.863,5.286
03.11.2017 15:00:00.000 GMT-0400,102.863,102.873,102.472,102.692,5.4123
06.11.2017 09:00:00.000 GMT-0500,103.003,103.172,102.622,102.922,4.8645
06.11.2017 10:00:00.000 GMT-0500,102.932,102.943,102.433,102.433,7.1938
06.11.2017 11:00:00.000 GMT-0500,102.432,102.492,101.782,101.882,6.5817
06.11.2017 12:00:00.000 GMT-0500,101.873,101.933,101.602,101.823,4.2643
06.11.2017 13:00:00.000 GMT-0500,101.822,102.152,101.692,102.052,5.4339
06.11.2017 14:00:00.000 GMT-0500,102.053,102.472,101.883,102.272,6.8266
06.11.2017 15:00:00.000 GMT-0500,102.273,102.503,102.232,102.392,6.425
07.11.2017 09:00:00.000 GMT-0500,104.973,105.123,102.422,102.803,6.344
07.11.2017 10:00:00.000 GMT-0500,102.803,102.843,102.052,102.182,12.1261
07.11.2017 11:00:00.000 GMT-0500,102.232,102.962,102.182,102.382,8.9558
07.11.2017 12:00:00.000 GMT-0500,102.383,102.812,102.282,102.652,5.9831
07.11.2017 13:00:00.000 GMT-0500,102.632,102.723,102.353,102.372,4.6618
07.11.2017 14:00:00.000 GMT-0500,102.373,102.703,101.822,102.402,6.824
07.11.2017 15:00:00.000 GMT-0500,102.402,102.753,102.292,102.733,6.4483
08.11.2017 09:00:00.000 GMT-0500,103.252,103.982,103.002,103.953,5.7056
08.11.2017 10:00:00.000 GMT-0500,103.943,105.073,103.712,105.003,10.2931
08.11.2017 11:00:00.000 GMT-0500,105.003,105.233,104.842,105.152,6.6221
08.11.2017 12:00:00.000 GMT-0500,105.153,105.172,104.892,105.022,5.6507
