Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,34.600,34.650,34.450,34.450,2.7171
02.11.2017 10:00:00.000 GMT-0400,34.440,34.480,34.260,34.340,2.439
02.11.2017 11:00:00.000 GMT-0400,34.350,34.423,34.232,34.312,7.2767
02.11.2017 12:00:00.000 GMT-0400,34.302,34.343,34.242,34.332,7.7242
02.11.2017 13:00:00.000 GMT-0400,34.343,34.343,34.182,34.253,6.9084
02.11.2017 14:00:00.000 GMT-0400,34.252,34.323,34.232,34.242,7.2961
02.11.2017 15:00:00.000 GMT-0400,34.253,34.293,34.172,34.213,21.8667
03.11.2017 09:00:00.000 GMT-0400,34.272,34.442,34.042,34.163,4.5615
03.11.2017 10:00:00.000 GMT-0400,34.163,34.343,34.162,34.272,6.4991
03.11.2017 11:00:00.000 GMT-0400,34.272,34.323,34.242,34.302,7.1882
03.11.2017 12:00:00.000 GMT-0400,34.312,34.473,34.302,34.373,8.0292
03.11.2017 13:00:00.000 GMT-0400,34.372,34.493,34.372,34.493,6.5639
03.11.2017 14:00:00.000 GMT-0400,34.492,34.493,34.373,34.403,7.8572
03.11.2017 15:00:00.000 GMT-0400,34.402,34.483,34.402,34.473,19.566
06.11.2017 09:00:00.000 GMT-0500,34.403,34.573,34.272,34.502,4.3046
06.11.2017 10:00:00.000 GMT-0500,34.503,34.503,34.313,34.452,5.2243
06.11.2017 11:00:00.000 GMT-0500,34.453,34.543,34.412,34.493,6.3977
06.11.2017 12:00:00.000 GMT-0500,34.492,34.543,34.482,34.533,4.7922
06.11.2017 13:00:00.000 GMT-0500,34.532,34.553,34.473,34.482,5.5539
06.11.2017 14:00:00.000 GMT-0500,34.483,34.503,34.433,34.462,5.5624
06.11.2017 15:00:00.000 GMT-0500,34.463,34.473,34.412,34.423,17.8754
07.11.2017 09:00:00.000 GMT-0500,34.302,34.483,34.262,34.392,4.2352
07.11.2017 10:00:00.000 GMT-0500,34.393,34.443,34.312,34.442,6.7916
07.11.2017 11:00:00.000 GMT-0500,34.443,34.473,34.292,34.293,7.3226
07.11.2017 12:00:00.000 GMT-0500,34.292,34.393,34.222,34.322,7.8123
07.11.2017 13:00:00.000 GMT-0500,34.323,34.383,34.312,34.323,5.2677
07.11.2017 14:00:00.000 GMT-0500,34.322,34.373,34.312,34.323,7.9836
07.11.2017 15:00:00.000 GMT-0500,34.322,34.423,34.312,34.392,18.3298
08.11.2017 09:00:00.000 GMT-0500,34.523,34.523,34.122,34.153,3.5675
08.11.2017 10:00:00.000 GMT-0500,34.152,34.483,34.152,34.422,7.3264
08.11.2017 11:00:00.000 GMT-0500,34.423,34.443,34.342,34.353,5.2026
