Local time,Open,High,Low,Close,Volume
02.11.2017 10:00:00.000 GMT-0400,69.650,69.880,69.340,69.800,7.4933
02.11.2017 11:00:00.000 GMT-0400,69.810,69.832,69.362,69.372,6.6845
02.11.2017 12:00:00.000 GMT-0400,69.352,69.502,69.162,69.482,7.5066
02.11.2017 13:00:00.000 GMT-0400,69.493,69.493,69.192,69.292,5.9303
02.11.2017 14:00:00.000 GMT-0400,69.283,69.583,69.202,69.423,8.0002
02.11.2017 15:00:00.000 GMT-0400,69.432,69.513,69.332,69.413,8.537
03.11.2017 09:00:00.000 GMT-0400,69.352,69.403,68.582,69.293,6.7326
03.11.2017 10:00:00.000 GMT-0400,69.293,69.383,68.872,69.262,11.689
03.11.2017 11:00:00.000 GMT-0400,69.272,69.553,68.892,69.242,9.3548
03.11.2017 12:00:00.000 GMT-0400,69.242,69.673,69.162,69.632,10.5646
03.11.2017 13:00:00.000 GMT-0400,69.633,69.653,69.192,69.502,7.1826
03.11.2017 14:00:00.000 GMT-0400,69.502,69.572,69.362,69.432,5.5089
03.11.2017 15:00:00.000 GMT-0400,69.432,69.463,68.173,69.290,15.6947
06.11.2017 09:00:00.000 GMT-0500,68.942,69.812,66.673,69.553,9.4989
06.11.2017 10:00:00.000 GMT-0500,69.552,69.743,67.193,67.193,15.7693
06.11.2017 11:00:00.000 GMT-0500,67.202,67.972,66.813,67.652,13.7939
06.11.2017 12:00:00.000 GMT-0500,67.632,67.672,67.112,67.122,9.4601
06.11.2017 13:00:00.000 GMT-0500,67.123,67.373,67.062,67.223,7.8715
06.11.2017 14:00:00.000 GMT-0500,67.212,67.283,66.972,66.993,9.5533
06.11.2017 15:00:00.000 GMT-0500,66.992,67.063,66.473,66.783,15.3295
07.11.2017 09:00:00.000 GMT-0500,66.902,67.623,66.702,67.402,9.482
07.11.2017 10:00:00.000 GMT-0500,67.402,68.512,67.053,68.372,14.5228
07.11.2017 11:00:00.000 GMT-0500,68.373,69.043,68.312,68.842,14.4196
07.11.2017 12:00:00.000 GMT-0500,68.842,69.423,68.272,69.022,10.512
07.11.2017 13:00:00.000 GMT-0500,69.023,69.293,68.872,69.012,10.4734
07.11.2017 14:00:00.000 GMT-0500,69.013,69.202,68.762,68.882,9.6583
07.11.2017 15:00:00.000 GMT-0500,68.882,69.083,68.702,68.962,11.7747
08.11.2017 09:00:00.000 GMT-0500,68.953,69.143,68.682,68.992,5.1923
08.11.2017 10:00:00.000 GMT-0500,68.993,69.103,68.752,69.073,10.3051
08.11.2017 11:00:00.000 GMT-0500,69.072,69.072,68.702,68.802,11.9128
08.11.2017 12:00:00.000 GMT-0500,68.803,68.862,68.422,68.572,10.8123
08.11.2017 13:00:00.000 GMT-0500,68.542,68.842,68.462,68.743,9.8399
08.11.2017 14:00:00.000 GMT-0500,68.732,68.983,68.702,68.822,7.7019
08.11.2017 15:00:00.000 GMT-0500,68.832,69.092,68.783,68.983,9.1799
09.11.2017 09:00:00.000 GMT-0500,69.543,69.543,68.523,69.282,9.2236
09.11.2017 10:00:00.000 GMT-0500,69.262,69.413,68.872,69.073,11.1173
09.11.2017 11:00:00.000 GMT-0500,69.072,69.202,68.762,68.803,8.0776
09.11.2017 12:00:00.000 GMT-0500,68.802,68.983,68.702,68.912,6.5401
09.11.2017 13:00:00.000 GMT-0500,68.913,69.183,68.892,69.042,7.5537
09.11.2017 14:00:00.000 GMT-0500,69.042,69.203,68.882,68.982,7.3494
09.11.2017 15:00:00.000 GMT-0500,68.983,69.223,68.942,69.033,10.3809
10.11.2017 09:00:00.000 GMT-0500,69.763,70.323,69.212,70.262,8.8247
10.11.2017 10:00:00.000 GMT-0500,70.262,70.723,70.032,70.592,15.3959
10.11.2017 11:00:00.000 GMT-0500,70.592,70.862,70.322,70.842,12.3334
10.11.2017 12:00:00.000 GMT-0500,70.832,71.002,70.702,70.903,8.3876
10.11.2017 13:00:00.000 GMT-0500,70.903,71.523,70.752,70.932,9.203
10.11.2017 14:00:00.000 GMT-0500,70.922,71.253,70.732,70.882,7.8656
10.11.2017 15:00:00.000 GMT-0500,70.882,71.113,70.732,71.002,11.1028
13.11.2017 09:00:00.000 GMT-0500,71.292,71.423,70.642,70.952,4.2978
13.11.2017 10:00:00.000 GMT-0500,70.952,71.093,70.532,70.703,9.5779
13.11.2017 11:00:00.000 GMT-0500,70.702,70.913,70.612,70.822,6.7027
13.11.2017 12:00:00.000 GMT-0500,70.823,70.862,70.292,70.472,7.6721
13.11.2017 13:00:00.000 GMT-0500,70.473,70.693,70.382,70.492,6.3611
13.11.2017 14:00:00.000 GMT-0500,70.493,70.702,70.392,70.502,7.5101
13.11.2017 15:00:00.000 GMT-0500,70.503,74.002,70.452,71.482,20.6011
14.11.2017 09:00:00.000 GMT-0500,71.843,71.843,70.563,70.922,6.0303
14.11.2017 10:00:00.000 GMT-0500,70.913,70.923,70.003,70.222,10.3142
14.11.2017 11:00:00.000 GMT-0500,70.223,70.443,69.922,70.283,7.7054
14.11.2017 12:00:00.000 GMT-0500,70.283,70.563,70.222,70.252,5.7377
14.11.2017 13:00:00.000 GMT-0500,70.253,70.262,69.953,70.163,7.8569
14.11.2017 14:00:00.000 GMT-0500,70.162,70.663,70.152,70.472,7.0612
14.11.2017 15:00:00.000 GMT-0500,70.473,70.572,70.163,70.442,10.0044
15.11.2017 09:00:00.000 GMT-0500,70.203,70.203,69.562,70.042,6.169
15.11.2017 10:00:00.000 GMT-0500,70.022,70.203,69.820,70.193,9.8206
15.11.2017 11:00:00.000 GMT-0500,70.173,70.372,69.903,69.952,7.5745
15.11.2017 12:00:00.000 GMT-0500,69.925,70.363,69.922,70.262,6.6428
15.11.2017 13:00:00.000 GMT-0500,70.253,70.383,69.822,69.832,7.4252
15.11.2017 14:00:00.000 GMT-0500,69.833,70.123,69.592,70.042,8.4413
15.11.2017 15:00:00.000 GMT-0500,70.042,70.143,69.762,69.803,11.1797
16.11.2017 09:00:00.000 GMT-0500,70.452,70.763,69.593,69.722,5.9991
16.11.2017 10:00:00.000 GMT-0500,69.723,70.543,69.722,70.513,9.1055
16.11.2017 11:00:00.000 GMT-0500,70.502,70.803,70.323,70.622,6.7639
16.11.2017 12:00:00.000 GMT-0500,70.623,71.062,70.602,70.692,5.5833
16.11.2017 13:00:00.000 GMT-0500,70.692,70.723,70.203,70.512,6.9857
16.11.2017 14:00:00.000 GMT-0500,70.512,70.533,70.342,70.412,6.2621
16.11.2017 15:00:00.000 GMT-0500,70.413,70.413,70.062,70.263,10.74
17.11.2017 09:00:00.000 GMT-0500,70.253,70.832,70.062,70.783,6.2845
17.11.2017 10:00:00.000 GMT-0500,70.782,70.853,70.173,70.682,9.9271
17.11.2017 11:00:00.000 GMT-0500,70.673,70.913,70.473,70.832,7.3425
17.11.2017 12:00:00.000 GMT-0500,70.822,71.033,70.782,71.002,5.0152
17.11.2017 13:00:00.000 GMT-0500,71.003,71.033,70.683,70.793,6.9236
17.11.2017 14:00:00.000 GMT-0500,70.802,70.802,70.553,70.632,5.0699
17.11.2017 15:00:00.000 GMT-0500,70.633,70.773,70.572,70.692,7.4728
20.11.2017 09:00:00.000 GMT-0500,71.183,71.183,70.062,70.542,4.173
20.11.2017 10:00:00.000 GMT-0500,70.533,70.872,70.112,70.133,8.1373
20.11.2017 11:00:00.000 GMT-0500,70.133,70.383,69.923,70.002,6.2866
20.11.2017 12:00:00.000 GMT-0500,70.003,70.103,69.782,70.023,4.4053
20.11.2017 13:00:00.000 GMT-0500,70.022,70.543,69.972,70.452,4.7208
20.11.2017 14:00:00.000 GMT-0500,70.442,71.002,70.432,70.762,6.8274
20.11.2017 15:00:00.000 GMT-0500,70.783,70.863,70.352,70.393,10.7935
21.11.2017 09:00:00.000 GMT-0500,71.013,71.253,70.533,71.212,5.784
21.11.2017 10:00:00.000 GMT-0500,71.223,71.592,70.972,71.062,9.9934
21.11.2017 11:00:00.000 GMT-0500,71.042,71.083,70.702,70.922,10.3299
21.11.2017 12:00:00.000 GMT-0500,70.932,71.182,70.893,71.182,6.1119
21.11.2017 13:00:00.000 GMT-0500,71.183,71.292,71.012,71.142,6.4275
21.11.2017 14:00:00.000 GMT-0500,71.132,71.643,71.122,71.432,7.0124
21.11.2017 15:00:00.000 GMT-0500,71.433,71.523,71.233,71.512,8.3625
22.11.2017 09:00:00.000 GMT-0500,72.013,72.013,71.240,71.622,5.2287
22.11.2017 10:00:00.000 GMT-0500,71.603,71.913,71.562,71.882,6.6269
22.11.2017 11:00:00.000 GMT-0500,71.872,72.073,71.592,71.802,9.0785
22.11.2017 12:00:00.000 GMT-0500,71.813,72.092,71.692,71.782,5.9924
22.11.2017 13:00:00.000 GMT-0500,71.782,71.933,71.592,71.873,4.9961
22.11.2017 14:00:00.000 GMT-0500,71.872,71.902,71.633,71.643,5.6383
22.11.2017 15:00:00.000 GMT-0500,71.632,71.693,71.382,71.483,8.4096
24.11.2017 09:00:00.000 GMT-0500,72.002,72.003,71.083,71.333,3.6911
