Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,81.420,81.910,80.880,80.920,2.0588
02.11.2017 10:00:00.000 GMT-0400,80.910,81.170,80.340,81.090,3.9607
02.11.2017 11:00:00.000 GMT-0400,81.090,81.423,80.552,81.402,3.0585
02.11.2017 12:00:00.000 GMT-0400,81.383,83.593,81.222,82.762,6.4915
02.11.2017 13:00:00.000 GMT-0400,82.793,82.833,82.232,82.362,3.2258
02.11.2017 14:00:00.000 GMT-0400,82.343,82.543,82.122,82.492,2.7336
02.11.2017 15:00:00.000 GMT-0400,82.492,82.692,82.412,82.533,4.3076
03.11.2017 09:00:00.000 GMT-0400,82.012,82.843,81.892,81.952,3.5869
03.11.2017 10:00:00.000 GMT-0400,81.973,82.673,81.602,82.172,7.1583
03.11.2017 11:00:00.000 GMT-0400,82.203,82.283,81.692,81.782,4.7949
03.11.2017 12:00:00.000 GMT-0400,81.772,81.873,81.452,81.792,4.1561
03.11.2017 13:00:00.000 GMT-0400,81.793,81.983,81.692,81.843,4.3023
03.11.2017 14:00:00.000 GMT-0400,81.842,82.092,81.742,82.022,3.6741
03.11.2017 15:00:00.000 GMT-0400,82.012,82.093,81.812,81.883,4.5738
06.11.2017 09:00:00.000 GMT-0500,81.673,81.673,80.993,81.263,3.8953
06.11.2017 10:00:00.000 GMT-0500,81.262,81.313,80.863,80.913,4.0871
06.11.2017 11:00:00.000 GMT-0500,80.963,80.963,80.653,80.762,3.1482
06.11.2017 12:00:00.000 GMT-0500,80.763,80.873,80.682,80.862,3.3151
06.11.2017 13:00:00.000 GMT-0500,80.862,81.073,80.832,80.893,3.1473
06.11.2017 14:00:00.000 GMT-0500,80.892,81.033,80.692,80.742,2.429
06.11.2017 15:00:00.000 GMT-0500,80.743,80.793,80.522,80.663,5.1298
07.11.2017 09:00:00.000 GMT-0500,80.653,81.073,80.452,80.903,4.5215
07.11.2017 10:00:00.000 GMT-0500,80.892,80.913,80.093,80.172,8.5955
07.11.2017 11:00:00.000 GMT-0500,80.173,80.393,79.942,79.982,5.6892
07.11.2017 12:00:00.000 GMT-0500,79.993,80.183,79.803,80.082,4.8908
07.11.2017 13:00:00.000 GMT-0500,80.083,80.222,79.872,80.153,6.2012
07.11.2017 14:00:00.000 GMT-0500,80.153,80.272,79.942,80.262,5.104
07.11.2017 15:00:00.000 GMT-0500,80.263,80.763,80.242,80.673,6.655
08.11.2017 09:00:00.000 GMT-0500,81.022,81.042,80.242,80.503,5.1242
08.11.2017 10:00:00.000 GMT-0500,80.528,80.963,80.523,80.933,5.2855
08.11.2017 11:00:00.000 GMT-0500,80.933,80.993,80.542,80.732,4.8282
08.11.2017 12:00:00.000 GMT-0500,80.733,81.063,80.642,80.992,4.9122
08.11.2017 13:00:00.000 GMT-0500,81.002,81.103,80.802,80.802,5.0783
08.11.2017 14:00:00.000 GMT-0500,80.793,80.952,80.733,80.763,3.2706
08.11.2017 15:00:00.000 GMT-0500,80.762,80.883,80.622,80.712,4.291
09.11.2017 09:00:00.000 GMT-0500,80.423,80.592,80.095,80.403,3.4271
09.11.2017 10:00:00.000 GMT-0500,80.392,81.012,80.142,80.963,3.5999
09.11.2017 11:00:00.000 GMT-0500,81.003,81.693,80.922,81.212,4.749
09.11.2017 12:00:00.000 GMT-0500,81.182,81.662,81.132,81.603,4.3309
09.11.2017 13:00:00.000 GMT-0500,81.602,82.162,81.565,82.082,2.868
09.11.2017 14:00:00.000 GMT-0500,82.092,82.163,81.482,81.503,3.2321
09.11.2017 15:00:00.000 GMT-0500,81.503,81.933,81.412,81.882,5.4966
10.11.2017 09:00:00.000 GMT-0500,82.023,83.252,81.782,83.163,3.4127
10.11.2017 10:00:00.000 GMT-0500,83.163,83.353,82.652,82.983,8.2641
10.11.2017 11:00:00.000 GMT-0500,82.983,83.293,82.912,83.183,5.7441
10.11.2017 12:00:00.000 GMT-0500,83.183,83.443,83.102,83.232,4.2048
10.11.2017 13:00:00.000 GMT-0500,83.232,83.523,82.962,83.403,6.9245
10.11.2017 14:00:00.000 GMT-0500,83.383,84.003,83.332,83.593,6.4391
10.11.2017 15:00:00.000 GMT-0500,83.593,84.173,83.443,84.042,7.8466
13.11.2017 09:00:00.000 GMT-0500,83.913,84.773,83.773,84.743,3.0803
