Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,98.870,99.130,98.130,98.300,10.3664
02.11.2017 10:00:00.000 GMT-0400,98.290,98.640,98.020,98.400,16.4265
02.11.2017 11:00:00.000 GMT-0400,98.421,98.833,98.342,98.422,11.9538
02.11.2017 12:00:00.000 GMT-0400,98.423,98.872,98.352,98.482,11.2748
02.11.2017 13:00:00.000 GMT-0400,98.483,98.632,98.182,98.582,8.1875
02.11.2017 14:00:00.000 GMT-0400,98.583,98.633,98.522,98.553,6.4346
02.11.2017 15:00:00.000 GMT-0400,98.543,98.773,98.322,98.362,9.7007
03.11.2017 09:00:00.000 GMT-0400,98.582,98.582,97.912,98.432,6.4357
03.11.2017 10:00:00.000 GMT-0400,98.432,98.703,98.062,98.573,13.5673
03.11.2017 11:00:00.000 GMT-0400,98.572,99.373,98.552,99.162,10.0161
03.11.2017 12:00:00.000 GMT-0400,99.163,99.223,98.852,98.932,9.1156
03.11.2017 13:00:00.000 GMT-0400,98.933,98.993,98.563,98.572,6.363
03.11.2017 14:00:00.000 GMT-0400,98.562,98.842,98.492,98.732,7.5548
03.11.2017 15:00:00.000 GMT-0400,98.743,98.743,98.452,98.623,7.1921
06.11.2017 09:00:00.000 GMT-0500,98.932,99.383,98.502,99.142,9.1274
06.11.2017 10:00:00.000 GMT-0500,99.143,99.483,99.062,99.373,12.9877
06.11.2017 11:00:00.000 GMT-0500,99.372,99.423,99.152,99.262,12.698
06.11.2017 12:00:00.000 GMT-0500,99.263,99.353,98.992,99.102,8.1898
06.11.2017 13:00:00.000 GMT-0500,99.093,100.963,98.962,99.543,21.3662
06.11.2017 14:00:00.000 GMT-0500,99.542,100.772,99.523,100.492,20.17
06.11.2017 15:00:00.000 GMT-0500,100.482,101.133,100.142,100.662,16.8223
07.11.2017 09:00:00.000 GMT-0500,101.403,102.603,100.742,102.582,12.6877
07.11.2017 10:00:00.000 GMT-0500,102.583,102.902,101.873,101.933,21.8669
07.11.2017 11:00:00.000 GMT-0500,101.942,102.583,101.892,102.502,20.0432
07.11.2017 12:00:00.000 GMT-0500,102.503,102.642,101.912,102.022,14.931
07.11.2017 13:00:00.000 GMT-0500,102.022,102.033,101.702,101.822,9.1417
07.11.2017 14:00:00.000 GMT-0500,101.823,101.963,101.382,101.422,7.5286
07.11.2017 15:00:00.000 GMT-0500,101.423,101.722,101.292,101.602,8.1574
08.11.2017 09:00:00.000 GMT-0500,102.003,102.003,100.502,100.682,6.3644
08.11.2017 10:00:00.000 GMT-0500,100.673,101.383,100.642,101.113,12.2474
08.11.2017 11:00:00.000 GMT-0500,101.112,101.373,101.082,101.082,11.1875
08.11.2017 12:00:00.000 GMT-0500,101.083,101.383,101.012,101.203,9.1424
08.11.2017 13:00:00.000 GMT-0500,101.192,101.303,101.092,101.102,8.4609
08.11.2017 14:00:00.000 GMT-0500,101.102,101.252,100.753,100.943,8.2648
