Local time,Open,High,Low,Close,Volume
02.11.2017 09:00:00.000 GMT-0400,91.190,91.760,90.990,91.370,4.2145
02.11.2017 10:00:00.000 GMT-0400,91.360,91.600,91.020,91.380,8.0675
02.11.2017 11:00:00.000 GMT-0400,91.380,91.703,90.922,91.653,5.6998
02.11.2017 12:00:00.000 GMT-0400,91.653,94.812,91.492,93.202,11.8042
02.11.2017 13:00:00.000 GMT-0400,93.203,93.402,92.612,92.712,5.025
02.11.2017 14:00:00.000 GMT-0400,92.702,92.733,92.202,92.202,5.7332
02.11.2017 15:00:00.000 GMT-0400,92.213,92.602,92.112,92.552,6.0423
03.11.2017 09:00:00.000 GMT-0400,93.323,94.482,92.852,93.882,6.0531
03.11.2017 10:00:00.000 GMT-0400,93.882,94.503,93.653,94.013,10.9537
03.11.2017 11:00:00.000 GMT-0400,94.013,94.153,93.433,93.472,6.407
03.11.2017 12:00:00.000 GMT-0400,93.472,93.983,93.442,93.812,6.8157
03.11.2017 13:00:00.000 GMT-0400,93.812,93.983,93.682,93.952,5.1031
03.11.2017 14:00:00.000 GMT-0400,93.953,94.462,93.822,94.153,5.9576
03.11.2017 15:00:00.000 GMT-0400,94.133,94.243,93.612,93.752,7.7483
06.11.2017 09:00:00.000 GMT-0500,93.502,93.823,92.402,93.582,5.1482
06.11.2017 10:00:00.000 GMT-0500,93.572,93.573,93.002,93.062,6.0611
06.11.2017 11:00:00.000 GMT-0500,93.053,93.453,92.973,93.442,5.2306
06.11.2017 12:00:00.000 GMT-0500,93.442,93.493,93.183,93.493,3.6398
06.11.2017 13:00:00.000 GMT-0500,93.492,93.682,93.322,93.363,3.997
06.11.2017 14:00:00.000 GMT-0500,93.362,93.453,93.222,93.372,3.9166
06.11.2017 15:00:00.000 GMT-0500,93.333,93.693,93.292,93.412,6.575
07.11.2017 09:00:00.000 GMT-0500,93.452,93.763,92.833,93.372,4.8164
07.11.2017 10:00:00.000 GMT-0500,93.362,93.463,92.873,93.013,7.6226
07.11.2017 11:00:00.000 GMT-0500,93.012,93.142,92.702,92.732,7.7337
07.11.2017 12:00:00.000 GMT-0500,92.732,93.072,92.492,93.012,5.3273
07.11.2017 13:00:00.000 GMT-0500,93.012,93.162,92.832,93.103,4.6669
07.11.2017 14:00:00.000 GMT-0500,93.082,93.223,92.972,93.142,4.077
07.11.2017 15:00:00.000 GMT-0500,93.142,93.693,93.132,93.632,5.9109
08.11.2017 09:00:00.000 GMT-0500,93.322,93.863,93.143,93.522,5.1409
08.11.2017 10:00:00.000 GMT-0500,93.522,94.212,93.522,94.072,6.7362
08.11.2017 11:00:00.000 GMT-0500,94.062,94.302,93.903,94.162,5.4309
08.11.2017 12:00:00.000 GMT-0500,94.162,94.623,94.142,94.473,4.2082
08.11.2017 13:00:00.000 GMT-0500,94.472,94.662,94.312,94.323,3.8161
08.11.2017 14:00:00.000 GMT-0500,94.322,94.413,94.012,94.012,3.2278
08.11.2017 15:00:00.000 GMT-0500,93.993,94.122,93.703,93.892,5.7474
09.11.2017 09:00:00.000 GMT-0500,93.592,94.193,93.463,93.783,5.844
09.11.2017 10:00:00.000 GMT-0500,93.783,94.472,93.453,94.462,7.2188
09.11.2017 11:00:00.000 GMT-0500,94.472,95.083,94.412,94.542,9.7455
09.11.2017 12:00:00.000 GMT-0500,94.522,94.923,94.492,94.783,8.2167
09.11.2017 13:00:00.000 GMT-0500,94.782,94.902,94.512,94.802,8.2413
09.11.2017 14:00:00.000 GMT-0500,94.803,94.912,94.262,94.302,6.0527
09.11.2017 15:00:00.000 GMT-0500,94.292,94.593,94.262,94.382,9.305
10.11.2017 09:00:00.000 GMT-0500,94.152,95.673,93.943,94.612,5.868
10.11.2017 10:00:00.000 GMT-0500,94.613,95.092,93.982,94.072,10.6616
10.11.2017 11:00:00.000 GMT-0500,94.072,94.493,94.072,94.472,6.623
10.11.2017 12:00:00.000 GMT-0500,94.472,94.983,94.372,94.832,5.4582
10.11.2017 13:00:00.000 GMT-0500,94.832,94.942,94.563,94.602,4.5819
10.11.2017 14:00:00.000 GMT-0500,94.613,94.823,94.523,94.722,4.9217
10.11.2017 15:00:00.000 GMT-0500,94.732,95.173,94.552,95.063,7.4615
