Gmt time,Open,High,Low,Close,Volume
02.11.2017 13:00:00.000,37.770,37.770,37.210,37.210,5.9332
02.11.2017 14:00:00.000,37.215,37.330,37.000,37.210,8.0613
02.11.2017 15:00:00.000,37.220,37.373,37.012,37.173,6.4245
02.11.2017 16:00:00.000,37.172,37.293,37.172,37.253,4.9671
02.11.2017 17:00:00.000,37.252,37.293,37.182,37.202,3.2001
02.11.2017 18:00:00.000,37.203,37.363,37.192,37.343,3.6147
02.11.2017 19:00:00.000,37.342,37.423,37.292,37.402,6.8193
03.11.2017 13:00:00.000,37.432,37.433,37.122,37.192,4.5507
03.11.2017 14:00:00.000,37.182,37.353,37.152,37.342,5.3713
03.11.2017 15:00:00.000,37.343,37.453,37.312,37.422,4.5254
03.11.2017 16:00:00.000,37.423,37.453,37.322,37.333,2.6291
03.11.2017 17:00:00.000,37.332,37.493,37.332,37.392,2.9728
03.11.2017 18:00:00.000,37.393,37.513,37.352,37.512,3.3716
03.11.2017 19:00:00.000,37.513,37.553,37.452,37.503,5.5515
06.11.2017 14:00:00.000,37.652,37.652,37.393,37.402,4.844
06.11.2017 15:00:00.000,37.403,37.613,37.312,37.552,5.0595
06.11.2017 16:00:00.000,37.553,37.563,37.442,37.472,3.3189
06.11.2017 17:00:00.000,37.473,37.523,37.442,37.442,2.2231
06.11.2017 18:00:00.000,37.433,37.553,37.412,37.512,3.3262
06.11.2017 19:00:00.000,37.513,37.533,37.472,37.483,2.7147
06.11.2017 20:00:00.000,37.482,37.483,37.352,37.383,5.0982
07.11.2017 14:00:00.000,37.502,37.582,37.313,37.542,4.8073
07.11.2017 15:00:00.000,37.532,37.583,37.232,37.333,4.5983
07.11.2017 16:00:00.000,37.332,37.343,37.113,37.202,5.8313
07.11.2017 17:00:00.000,37.203,37.313,37.172,37.272,4.9497
07.11.2017 18:00:00.000,37.272,37.343,37.242,37.293,2.0029
07.11.2017 19:00:00.000,37.292,37.353,37.232,37.352,3.5744
07.11.2017 20:00:00.000,37.353,37.423,37.292,37.412,6.7632
08.11.2017 14:00:00.000,37.302,37.433,37.152,37.252,4.2149
08.11.2017 15:00:00.000,37.252,37.283,36.992,37.043,3.5963
08.11.2017 16:00:00.000,37.052,37.123,36.962,36.972,2.8718
08.11.2017 17:00:00.000,36.973,37.162,36.952,37.113,3.1491
08.11.2017 18:00:00.000,37.112,37.163,37.032,37.032,2.2968
08.11.2017 19:00:00.000,37.033,37.103,37.032,37.103,1.5527
08.11.2017 20:00:00.000,37.102,37.123,36.962,37.012,6.0728
09.11.2017 14:00:00.000,36.402,36.402,35.222,35.522,11.8146
09.11.2017 15:00:00.000,35.523,35.973,35.482,35.792,9.4524
09.11.2017 16:00:00.000,35.793,35.803,35.472,35.502,7.0244
09.11.2017 17:00:00.000,35.503,35.653,35.412,35.592,9.4135
09.11.2017 18:00:00.000,35.593,35.883,35.482,35.822,6.3241
