Local time,Open,High,Low,Close,Volume
02.11.2017 10:00:00.000 GMT-0400,108.100,108.920,107.700,108.920,3.37
02.11.2017 11:00:00.000 GMT-0400,108.910,109.203,108.692,108.813,4.7442
02.11.2017 12:00:00.000 GMT-0400,108.812,109.122,108.692,109.072,3.4532
02.11.2017 13:00:00.000 GMT-0400,109.093,109.783,109.072,109.682,3.3514
02.11.2017 14:00:00.000 GMT-0400,109.672,109.673,109.032,109.103,2.0862
02.11.2017 15:00:00.000 GMT-0400,109.072,109.103,108.852,108.953,4.7682
03.11.2017 09:00:00.000 GMT-0400,110.003,110.003,109.082,109.232,1.2404
03.11.2017 10:00:00.000 GMT-0400,109.222,109.423,108.742,108.872,3.0562
03.11.2017 11:00:00.000 GMT-0400,108.873,109.393,108.872,109.143,2.5695
03.11.2017 12:00:00.000 GMT-0400,109.142,109.352,109.082,109.232,2.2007
03.11.2017 13:00:00.000 GMT-0400,109.232,109.353,109.072,109.082,1.8198
03.11.2017 14:00:00.000 GMT-0400,109.083,109.233,108.943,109.013,1.661
03.11.2017 15:00:00.000 GMT-0400,109.012,109.073,108.653,108.713,4.7324
06.11.2017 09:00:00.000 GMT-0500,108.902,109.002,108.313,108.313,1.6301
06.11.2017 10:00:00.000 GMT-0500,108.312,108.553,107.992,108.263,3.0451
06.11.2017 11:00:00.000 GMT-0500,108.272,108.903,108.173,108.618,5.7904
06.11.2017 12:00:00.000 GMT-0500,108.623,108.643,108.053,108.243,5.5583
06.11.2017 13:00:00.000 GMT-0500,108.243,109.052,108.022,108.082,4.9766
06.11.2017 14:00:00.000 GMT-0500,108.073,108.192,107.942,108.152,3.1232
06.11.2017 15:00:00.000 GMT-0500,108.152,108.192,108.002,108.073,5.4051
07.11.2017 09:00:00.000 GMT-0500,108.802,108.802,107.750,107.962,1.5172
07.11.2017 10:00:00.000 GMT-0500,107.858,108.003,107.262,107.323,3.7698
07.11.2017 11:00:00.000 GMT-0500,107.313,108.013,107.272,107.368,3.2853
07.11.2017 12:00:00.000 GMT-0500,107.370,107.753,107.253,107.413,2.9101
07.11.2017 13:00:00.000 GMT-0500,107.412,107.882,107.032,107.673,4.9976
07.11.2017 14:00:00.000 GMT-0500,107.662,107.702,106.872,107.160,4.6545
07.11.2017 15:00:00.000 GMT-0500,107.143,107.533,107.002,107.443,5.3168
08.11.2017 09:00:00.000 GMT-0500,108.903,108.903,107.003,107.553,1.8572
08.11.2017 10:00:00.000 GMT-0500,107.552,107.903,107.432,107.512,2.4745
08.11.2017 11:00:00.000 GMT-0500,107.503,107.943,107.472,107.842,1.5181
08.11.2017 12:00:00.000 GMT-0500,107.842,108.003,107.602,107.932,2.1454
08.11.2017 13:00:00.000 GMT-0500,107.933,108.003,107.652,107.722,1.9845
08.11.2017 14:00:00.000 GMT-0500,107.723,107.903,107.562,107.583,2.2258
08.11.2017 15:00:00.000 GMT-0500,107.582,107.653,107.153,107.293,4.6932
09.11.2017 09:00:00.000 GMT-0500,106.363,107.283,106.363,107.153,1.3579
09.11.2017 10:00:00.000 GMT-0500,107.092,107.753,107.002,107.543,3.4645
09.11.2017 11:00:00.000 GMT-0500,107.543,107.803,107.253,107.353,3.3893
09.11.2017 12:00:00.000 GMT-0500,107.353,108.493,107.342,107.973,4.7502
09.11.2017 13:00:00.000 GMT-0500,107.978,108.403,107.792,108.302,4.4849
09.11.2017 14:00:00.000 GMT-0500,108.343,109.393,108.203,108.522,4.4541
09.11.2017 15:00:00.000 GMT-0500,108.523,109.173,108.002,108.952,8.6385
10.11.2017 09:00:00.000 GMT-0500,109.903,110.253,105.603,106.743,3.6144
10.11.2017 10:00:00.000 GMT-0500,106.732,107.473,106.233,107.272,6.1206
10.11.2017 11:00:00.000 GMT-0500,107.272,109.153,107.212,108.523,4.3142
10.11.2017 12:00:00.000 GMT-0500,108.513,108.792,108.262,108.482,2.8839
10.11.2017 13:00:00.000 GMT-0500,108.483,108.563,108.082,108.233,2.3296
10.11.2017 14:00:00.000 GMT-0500,108.232,109.362,108.182,109.232,2.6309
10.11.2017 15:00:00.000 GMT-0500,109.222,109.233,108.593,108.823,4.8703
13.11.2017 09:00:00.000 GMT-0500,107.263,108.452,106.713,108.122,2.1248
13.11.2017 10:00:00.000 GMT-0500,108.123,108.942,108.062,108.752,4.8759
13.11.2017 11:00:00.000 GMT-0500,108.752,109.403,108.652,108.952,4.1792
13.11.2017 12:00:00.000 GMT-0500,108.952,109.043,107.983,108.113,2.8492
13.11.2017 13:00:00.000 GMT-0500,108.112,108.563,108.003,108.313,2.6747
13.11.2017 14:00:00.000 GMT-0500,108.293,108.993,108.252,108.963,2.9472
13.11.2017 15:00:00.000 GMT-0500,108.962,109.003,108.592,108.792,5.079
14.11.2017 09:00:00.000 GMT-0500,108.993,109.833,108.602,109.373,1.8636
14.11.2017 10:00:00.000 GMT-0500,109.363,110.993,109.122,110.772,4.5456
14.11.2017 11:00:00.000 GMT-0500,110.773,111.142,110.053,110.053,3.758
14.11.2017 12:00:00.000 GMT-0500,110.052,110.153,108.913,109.042,2.9353
14.11.2017 13:00:00.000 GMT-0500,109.032,109.703,108.822,109.633,2.136
14.11.2017 14:00:00.000 GMT-0500,109.632,109.773,109.302,109.312,2.1779
14.11.2017 15:00:00.000 GMT-0500,109.312,109.592,109.002,109.343,4.6347
15.11.2017 09:00:00.000 GMT-0500,109.342,109.393,108.512,108.543,1.5753
15.11.2017 10:00:00.000 GMT-0500,108.543,109.452,108.522,109.282,3.8658
15.11.2017 11:00:00.000 GMT-0500,109.282,109.993,109.262,109.923,3.247
