Gmt time,Open,High,Low,Close,Volume
02.11.2017 13:00:00.000,245.380,246.570,244.550,245.810,4.9928
02.11.2017 14:00:00.000,245.780,246.210,243.480,246.180,8.138
02.11.2017 15:00:00.000,246.180,247.753,244.782,244.933,7.4405
02.11.2017 16:00:00.000,244.933,246.853,244.812,246.403,6.1222
02.11.2017 17:00:00.000,246.382,246.402,244.963,244.982,4.5805
02.11.2017 18:00:00.000,244.972,245.503,244.662,244.742,4.2738
02.11.2017 19:00:00.000,244.752,247.053,244.672,246.833,7.4416
03.11.2017 13:00:00.000,245.503,246.363,243.953,244.942,5.1708
03.11.2017 14:00:00.000,244.953,245.393,244.212,244.553,7.7756
03.11.2017 15:00:00.000,244.552,245.873,244.443,244.503,5.0676
03.11.2017 16:00:00.000,244.523,245.803,244.472,244.972,5.58
03.11.2017 17:00:00.000,244.972,245.423,244.653,245.072,4.5248
03.11.2017 18:00:00.000,245.072,245.373,244.312,244.482,5.8543
03.11.2017 19:00:00.000,244.483,245.163,243.243,244.352,9.0611
06.11.2017 14:00:00.000,243.602,244.433,242.152,243.113,5.5699
06.11.2017 15:00:00.000,243.113,243.733,242.523,242.552,6.8561
06.11.2017 16:00:00.000,242.552,243.172,241.742,242.883,5.6634
06.11.2017 17:00:00.000,242.873,243.262,242.343,243.132,3.8007
06.11.2017 18:00:00.000,243.132,243.493,242.872,242.973,3.7498
06.11.2017 19:00:00.000,242.943,244.093,242.862,244.003,6.9685
06.11.2017 20:00:00.000,243.992,244.633,243.472,243.562,7.6121
07.11.2017 14:00:00.000,244.602,245.003,243.703,244.053,3.3173
07.11.2017 15:00:00.000,244.052,244.092,241.912,242.193,8.528
07.11.2017 16:00:00.000,242.242,243.153,240.422,240.432,6.4756
07.11.2017 17:00:00.000,240.432,240.783,239.702,239.743,5.863
07.11.2017 18:00:00.000,239.723,240.903,239.602,240.292,5.5295
07.11.2017 19:00:00.000,240.293,241.083,239.353,239.353,3.9061
07.11.2017 20:00:00.000,239.352,239.842,238.853,239.802,8.0839
08.11.2017 14:00:00.000,239.253,240.582,237.692,239.912,5.5918
08.11.2017 15:00:00.000,239.923,241.192,239.713,240.162,7.3733
08.11.2017 16:00:00.000,240.173,241.233,239.902,241.222,6.7372
08.11.2017 17:00:00.000,241.223,242.333,241.212,241.582,6.7575
08.11.2017 18:00:00.000,241.582,241.683,240.862,241.113,4.2862
08.11.2017 19:00:00.000,241.112,241.143,239.573,239.743,5.3459
08.11.2017 20:00:00.000,239.742,241.232,239.443,241.183,8.9854
09.11.2017 14:00:00.000,239.532,240.843,238.772,240.182,4.8827
09.11.2017 15:00:00.000,240.182,242.293,240.163,241.882,7.1559
09.11.2017 16:00:00.000,241.872,242.462,239.042,239.762,6.8531
09.11.2017 17:00:00.000,239.742,240.053,237.942,239.092,6.7674
09.11.2017 18:00:00.000,239.092,240.103,238.612,239.912,4.5706
09.11.2017 19:00:00.000,239.912,240.672,239.602,239.803,4.4888
09.11.2017 20:00:00.000,239.792,240.833,239.642,240.792,7.2794
10.11.2017 14:00:00.000,241.712,243.333,241.582,243.132,4.3065
10.11.2017 15:00:00.000,243.133,243.303,241.603,241.973,6.9184
10.11.2017 16:00:00.000,241.973,242.553,241.563,241.863,6.1065
10.11.2017 17:00:00.000,241.852,241.923,240.902,241.002,4.0193
10.11.2017 18:00:00.000,241.033,241.603,240.753,241.332,3.423
10.11.2017 19:00:00.000,241.333,241.493,240.712,240.822,3.051
10.11.2017 20:00:00.000,240.822,240.823,240.052,240.143,7.361
13.11.2017 14:00:00.000,238.612,238.983,237.312,238.643,5.5889
13.11.2017 15:00:00.000,238.653,239.262,238.172,239.062,6.0284
13.11.2017 16:00:00.000,239.063,239.392,238.812,239.392,6.4984
13.11.2017 17:00:00.000,239.392,240.282,239.063,240.063,4.6838
13.11.2017 18:00:00.000,240.063,240.903,239.783,240.692,3.339
13.11.2017 19:00:00.000,240.692,240.693,240.072,240.142,3.5883
13.11.2017 20:00:00.000,240.143,240.722,239.962,240.353,7.3116
14.11.2017 14:00:00.000,239.692,240.883,238.233,238.332,5.3185
14.11.2017 15:00:00.000,238.322,238.553,236.592,237.073,9.034
14.11.2017 16:00:00.000,237.062,237.672,236.383,236.432,9.6777
14.11.2017 17:00:00.000,236.402,237.273,235.712,235.883,6.0422
14.11.2017 18:00:00.000,235.862,237.053,235.782,237.033,6.0844
14.11.2017 19:00:00.000,237.012,237.573,236.912,237.513,4.3229
14.11.2017 20:00:00.000,237.543,238.153,237.212,237.323,6.4552
15.11.2017 14:00:00.000,235.003,236.213,233.683,234.932,6.1665
15.11.2017 15:00:00.000,234.933,237.223,234.933,237.192,8.3438
15.11.2017 16:00:00.000,237.213,237.972,236.902,237.373,6.5249
15.11.2017 17:00:00.000,237.402,237.473,236.573,236.902,4.366
15.11.2017 18:00:00.000,236.902,237.223,235.822,235.973,5.3322
15.11.2017 19:00:00.000,235.993,236.863,235.992,236.512,5.274
15.11.2017 20:00:00.000,236.512,238.202,236.253,237.592,10.4886
16.11.2017 14:00:00.000,239.723,240.543,238.382,240.112,5.5315
16.11.2017 15:00:00.000,240.112,240.703,239.152,240.063,5.5696
16.11.2017 16:00:00.000,240.092,240.343,239.792,240.032,4.9529
16.11.2017 17:00:00.000,240.032,240.263,239.682,240.023,5.2776
16.11.2017 18:00:00.000,240.022,240.193,239.702,239.982,4.2508
16.11.2017 19:00:00.000,239.982,240.063,239.772,239.913,4.6965
16.11.2017 20:00:00.000,239.912,239.913,239.312,239.453,8.3618
17.11.2017 14:00:00.000,238.782,240.002,237.223,238.173,5.0113
17.11.2017 15:00:00.000,238.173,238.422,237.503,237.772,7.0312
17.11.2017 16:00:00.000,237.762,238.473,237.272,238.202,7.1985
17.11.2017 17:00:00.000,238.203,239.093,238.002,238.653,7.9441
17.11.2017 18:00:00.000,238.613,238.802,238.208,238.232,4.6424
17.11.2017 19:00:00.000,238.233,238.873,238.232,238.602,4.1394
17.11.2017 20:00:00.000,238.603,239.063,237.682,238.023,9.2033
20.11.2017 14:00:00.000,239.893,239.893,237.233,237.733,4.8666
20.11.2017 15:00:00.000,237.692,238.442,237.383,238.342,6.5023
20.11.2017 16:00:00.000,238.343,238.343,237.382,237.563,5.0787
20.11.2017 17:00:00.000,237.563,237.992,237.562,237.793,4.326
20.11.2017 18:00:00.000,237.792,238.563,237.712,238.523,4.0813
20.11.2017 19:00:00.000,238.542,238.613,238.262,238.332,4.4514
20.11.2017 20:00:00.000,238.313,238.343,237.792,238.092,6.3301
21.11.2017 14:00:00.000,239.613,239.613,237.692,239.442,5.2394
21.11.2017 15:00:00.000,239.422,239.523,238.302,238.352,7.3712
21.11.2017 16:00:00.000,238.352,238.903,237.852,238.062,5.9723
21.11.2017 17:00:00.000,238.063,238.603,237.883,237.913,5.1879
21.11.2017 18:00:00.000,237.873,238.242,237.873,237.962,4.1288
21.11.2017 19:00:00.000,237.953,238.373,237.822,238.313,4.8381
21.11.2017 20:00:00.000,238.312,238.352,237.902,237.983,6.1073
22.11.2017 14:00:00.000,238.003,239.042,237.702,238.163,5.7703
22.11.2017 15:00:00.000,238.163,238.353,237.803,238.082,8.3137
22.11.2017 16:00:00.000,238.082,238.172,237.412,237.662,5.7373
22.11.2017 17:00:00.000,237.662,237.802,236.382,237.333,6.2181
22.11.2017 18:00:00.000,237.322,237.332,236.792,237.083,4.4199
22.11.2017 19:00:00.000,237.083,237.293,236.842,236.882,4.2829
22.11.2017 20:00:00.000,236.882,236.923,236.392,236.572,6.3814
24.11.2017 14:00:00.000,237.473,238.403,237.012,238.283,3.4833
24.11.2017 15:00:00.000,238.272,238.593,237.592,238.022,5.0361
24.11.2017 16:00:00.000,238.002,238.443,237.213,237.372,4.4408
24.11.2017 17:00:00.000,237.373,237.642,235.568,235.952,5.9089
27.11.2017 14:00:00.000,236.952,237.042,235.082,235.983,5.1797
27.11.2017 15:00:00.000,236.003,236.662,235.703,236.143,6.6254
27.11.2017 16:00:00.000,236.123,236.202,234.982,235.222,6.2544
27.11.2017 17:00:00.000,235.233,235.303,234.822,235.233,5.1332
27.11.2017 18:00:00.000,235.223,235.872,235.172,235.742,5.0334
27.11.2017 19:00:00.000,235.752,235.853,235.572,235.732,4.0222
27.11.2017 20:00:00.000,235.723,235.853,235.002,235.042,6.5317
28.11.2017 14:00:00.000,236.992,236.992,234.722,235.092,5.9563
28.11.2017 15:00:00.000,235.072,235.353,234.352,235.002,7.6368
28.11.2017 16:00:00.000,235.003,235.582,234.602,235.443,6.6926
28.11.2017 17:00:00.000,235.433,238.243,235.352,238.022,7.6857
28.11.2017 18:00:00.000,238.022,238.693,237.343,237.472,8.9928
28.11.2017 19:00:00.000,237.432,239.253,236.612,239.003,9.5019
28.11.2017 20:00:00.000,238.992,240.013,238.882,239.423,12.5586
29.11.2017 14:00:00.000,241.493,243.313,240.623,243.312,8.3379
29.11.2017 15:00:00.000,243.292,244.503,242.283,244.373,14.2008
29.11.2017 16:00:00.000,244.373,244.422,241.152,241.303,8.9664
29.11.2017 17:00:00.000,241.302,242.483,241.132,242.483,5.5026
29.11.2017 18:00:00.000,242.483,242.842,240.883,241.552,6.5235
29.11.2017 19:00:00.000,241.552,242.833,241.462,242.572,7.4351
29.11.2017 20:00:00.000,242.562,242.603,241.312,241.382,8.355
30.11.2017 14:00:00.000,244.003,247.513,244.003,244.862,9.0218
30.11.2017 15:00:00.000,244.823,246.393,244.262,246.262,9.1331
30.11.2017 16:00:00.000,246.262,248.273,246.223,247.902,8.7467
30.11.2017 17:00:00.000,247.903,250.492,247.833,250.253,10.3542
30.11.2017 18:00:00.000,250.252,250.813,248.302,248.992,8.8987
30.11.2017 19:00:00.000,248.992,249.823,248.312,248.352,8.1409
30.11.2017 20:00:00.000,248.322,249.003,247.142,247.782,11.4314
01.12.2017 14:00:00.000,249.742,250.013,247.102,247.882,6.5394
01.12.2017 15:00:00.000,247.882,250.723,245.573,249.713,10.6933
01.12.2017 16:00:00.000,249.722,250.313,244.152,247.153,13.6426
01.12.2017 17:00:00.000,247.153,248.553,246.543,247.152,10.4918
01.12.2017 18:00:00.000,247.073,248.883,246.883,247.192,6.757
01.12.2017 19:00:00.000,247.182,247.632,246.222,246.432,6.429
01.12.2017 20:00:00.000,246.432,249.252,246.192,248.973,11.5247
04.12.2017 14:00:00.000,255.003,255.003,250.813,250.842,7.8787
04.12.2017 15:00:00.000,250.963,252.732,250.098,251.892,11.6063
04.12.2017 16:00:00.000,251.912,252.702,251.023,252.562,9.1914
04.12.2017 17:00:00.000,252.562,253.702,252.192,253.133,7.5771
04.12.2017 18:00:00.000,253.132,253.472,252.892,253.352,6.1905
04.12.2017 19:00:00.000,253.322,253.352,251.122,251.372,8.8509
04.12.2017 20:00:00.000,251.373,251.613,250.552,250.693,10.9548
05.12.2017 14:00:00.000,251.563,251.563,248.022,248.193,6.1334
05.12.2017 15:00:00.000,248.163,250.272,247.522,250.083,9.5981
05.12.2017 16:00:00.000,250.083,250.582,248.772,248.962,8.3476
05.12.2017 17:00:00.000,249.012,249.553,248.132,249.082,7.2352
05.12.2017 18:00:00.000,249.082,249.523,248.703,249.403,6.4652
05.12.2017 19:00:00.000,249.403,249.952,248.582,248.892,9.7685
05.12.2017 20:00:00.000,248.892,248.993,247.423,248.323,12.7573
06.12.2017 14:00:00.000,248.192,248.273,245.952,246.753,4.5381
06.12.2017 15:00:00.000,246.753,247.963,245.793,247.963,7.9108
06.12.2017 16:00:00.000,247.953,247.953,246.582,246.682,6.143
06.12.2017 17:00:00.000,246.643,246.662,245.202,245.952,5.6466
06.12.2017 18:00:00.000,245.952,247.632,245.812,247.632,5.4467
06.12.2017 19:00:00.000,247.573,247.773,247.173,247.173,4.825
06.12.2017 20:00:00.000,247.172,247.402,245.593,245.962,8.3461
07.12.2017 14:00:00.000,244.402,249.442,244.402,248.353,5.9533
07.12.2017 15:00:00.000,248.352,249.003,247.582,248.472,7.2227
07.12.2017 16:00:00.000,248.472,249.192,247.992,248.293,6.9514
07.12.2017 17:00:00.000,248.293,249.423,247.892,249.382,4.1825
07.12.2017 18:00:00.000,249.382,249.512,247.753,248.312,4.5985
07.12.2017 19:00:00.000,248.303,249.003,248.113,248.432,4.8982
07.12.2017 20:00:00.000,248.433,248.522,247.543,248.452,8.4745
08.12.2017 14:00:00.000,250.803,250.803,247.312,248.382,5.28
08.12.2017 15:00:00.000,248.382,248.913,247.912,248.582,7.1539
08.12.2017 16:00:00.000,248.582,249.582,248.402,249.523,6.3715
08.12.2017 17:00:00.000,249.522,249.983,249.223,249.262,5.7876
08.12.2017 18:00:00.000,249.273,249.693,249.072,249.463,3.9868
08.12.2017 19:00:00.000,249.463,250.143,249.172,250.143,5.3529
08.12.2017 20:00:00.000,250.142,250.392,249.772,250.242,8.5263
11.12.2017 14:00:00.000,250.693,251.513,248.853,250.513,4.1545
11.12.2017 15:00:00.000,250.643,251.403,250.132,250.643,6.3368
11.12.2017 16:00:00.000,250.642,250.882,249.962,250.283,5.1779
11.12.2017 17:00:00.000,250.282,250.933,250.132,250.753,3.9559
11.12.2017 18:00:00.000,250.752,250.882,250.422,250.592,4.5771
11.12.2017 19:00:00.000,250.562,250.583,250.152,250.322,3.7305
11.12.2017 20:00:00.000,250.323,250.473,249.632,250.183,8.308
12.12.2017 14:00:00.000,251.803,253.203,250.863,252.693,5.2242
12.12.2017 15:00:00.000,252.693,253.392,251.952,253.363,6.5518
12.12.2017 16:00:00.000,253.332,255.673,253.052,255.302,5.8425
12.12.2017 17:00:00.000,255.303,257.132,255.242,256.983,6.4031
12.12.2017 18:00:00.000,256.972,257.653,256.832,257.182,5.7598
12.12.2017 19:00:00.000,257.182,258.193,256.903,257.493,7.7993
12.12.2017 20:00:00.000,257.532,258.203,257.212,257.783,9.5172
13.12.2017 14:00:00.000,258.153,259.003,257.113,258.632,5.9342
13.12.2017 15:00:00.000,258.632,258.723,257.202,258.522,7.1704
13.12.2017 16:00:00.000,258.442,260.402,257.962,260.173,7.975
13.12.2017 17:00:00.000,260.172,260.502,258.642,258.693,5.1864
13.12.2017 18:00:00.000,258.702,259.253,258.192,258.863,4.3838
13.12.2017 19:00:00.000,258.882,259.592,256.942,257.512,6.9615
13.12.2017 20:00:00.000,257.513,257.612,255.743,255.822,10.2421
14.12.2017 14:00:00.000,257.773,258.013,256.063,257.073,4.1598
14.12.2017 15:00:00.000,257.083,259.612,256.913,259.268,8.532
14.12.2017 16:00:00.000,259.302,259.402,257.782,258.412,8.035
14.12.2017 17:00:00.000,258.403,258.573,256.902,257.412,6.5332
14.12.2017 18:00:00.000,257.403,257.413,256.652,256.943,6.0939
14.12.2017 19:00:00.000,256.943,257.333,255.652,256.232,8.6172
14.12.2017 20:00:00.000,256.223,256.653,255.543,255.662,11.5908
15.12.2017 14:00:00.000,258.192,258.193,254.902,256.033,5.3773
15.12.2017 15:00:00.000,256.033,258.203,256.033,257.703,8.9391
15.12.2017 16:00:00.000,257.722,258.863,257.462,258.392,8.1051
15.12.2017 17:00:00.000,258.383,258.993,257.802,258.503,6.8164
15.12.2017 18:00:00.000,258.522,258.823,257.812,258.762,6.541
15.12.2017 19:00:00.000,258.772,258.782,257.822,258.042,7.0805
15.12.2017 20:00:00.000,258.043,258.323,256.833,257.052,11.1702
18.12.2017 14:00:00.000,260.483,260.923,259.752,260.733,5.1482
18.12.2017 15:00:00.000,260.703,261.162,259.842,260.833,6.9185
18.12.2017 16:00:00.000,260.832,261.983,260.713,261.692,5.8892
18.12.2017 17:00:00.000,261.703,261.922,261.142,261.573,6.2256
18.12.2017 18:00:00.000,261.572,261.582,259.742,259.923,6.6206
18.12.2017 19:00:00.000,259.922,260.293,259.202,259.742,7.3502
18.12.2017 20:00:00.000,259.713,260.202,259.253,260.063,9.2135
19.12.2017 14:00:00.000,261.902,261.902,257.302,257.872,4.8681
19.12.2017 15:00:00.000,257.862,258.643,256.443,256.702,8.2047
19.12.2017 16:00:00.000,256.702,257.283,256.193,256.623,11.3349
