Ticker,Volume,Close,High,Low,Time
BINANCE:SOLUSDT,151177.58,4.1259,4.2595,4.1075,2021-02-01 00:00:00
BINANCE:SOLUSDT,44549.67,4.1279,4.156,4.1195,2021-02-01 00:30:00
BINANCE:SOLUSDT,34582.38,4.1775,4.1804,4.1147,2021-02-01 01:00:00
BINANCE:SOLUSDT,34881.5,4.2351,4.2353,4.1353,2021-02-01 01:30:00
BINANCE:SOLUSDT,32693.6,4.2109,4.2468,4.1888,2021-02-01 02:00:00
BINANCE:SOLUSDT,14598.39,4.2363,4.2452,4.2018,2021-02-01 02:30:00
BINANCE:SOLUSDT,28326.16,4.2415,4.2515,4.2284,2021-02-01 03:00:00
BINANCE:SOLUSDT,37384.51,4.2186,4.2417,4.21,2021-02-01 03:30:00
BINANCE:SOLUSDT,17206.49,4.2135,4.2261,4.2016,2021-02-01 04:00:00
BINANCE:SOLUSDT,20994.97,4.2051,4.2293,4.2027,2021-02-01 04:30:00
BINANCE:SOLUSDT,32638.44,4.1805,4.222,4.1676,2021-02-01 05:00:00
BINANCE:SOLUSDT,13359.34,4.2116,4.2143,4.1781,2021-02-01 05:30:00
BINANCE:SOLUSDT,37307.77,4.2059,4.217,4.18,2021-02-01 06:00:00
BINANCE:SOLUSDT,49748.6,4.1552,4.2182,4.1327,2021-02-01 06:30:00
BINANCE:SOLUSDT,34088.53,4.1776,4.1929,4.139,2021-02-01 07:00:00
BINANCE:SOLUSDT,21832.69,4.1719,4.1934,4.163,2021-02-01 07:30:00
BINANCE:SOLUSDT,47968.2,4.1489,4.1791,4.1449,2021-02-01 08:00:00
BINANCE:SOLUSDT,37362.47,4.1539,4.1539,4.13,2021-02-01 08:30:00
BINANCE:SOLUSDT,38811.73,4.1974,4.1983,4.1476,2021-02-01 09:00:00
BINANCE:SOLUSDT,50140.08,4.229,4.2327,4.1926,2021-02-01 09:30:00
BINANCE:SOLUSDT,35959.32,4.235,4.2455,4.2156,2021-02-01 10:00:00
BINANCE:SOLUSDT,78274.71,4.342,4.3441,4.2286,2021-02-01 10:30:00
BINANCE:SOLUSDT,87361.24,4.3555,4.3656,4.3137,2021-02-01 11:00:00
BINANCE:SOLUSDT,64186.14,4.3697,4.41,4.3555,2021-02-01 11:30:00
BINANCE:SOLUSDT,51439.86,4.3097,4.3955,4.3062,2021-02-01 12:00:00
BINANCE:SOLUSDT,52976.05,4.316,4.3237,4.28,2021-02-01 12:30:00
BINANCE:SOLUSDT,49119.55,4.3119,4.3327,4.2974,2021-02-01 13:00:00
BINANCE:SOLUSDT,51663.19,4.2691,4.3234,4.24,2021-02-01 13:30:00
BINANCE:SOLUSDT,58549.66,4.2432,4.2675,4.1937,2021-02-01 14:00:00
BINANCE:SOLUSDT,19833.02,4.2323,4.2555,4.2211,2021-02-01 14:30:00
BINANCE:SOLUSDT,27896.38,4.215,4.24,4.2051,2021-02-01 15:00:00
BINANCE:SOLUSDT,45383.86,4.2058,4.2486,4.2058,2021-02-01 15:30:00
BINANCE:SOLUSDT,18671.76,4.2373,4.2496,4.2042,2021-02-01 16:00:00
BINANCE:SOLUSDT,24173.23,4.2842,4.2912,4.2235,2021-02-01 16:30:00
BINANCE:SOLUSDT,20067.31,4.2871,4.2956,4.2599,2021-02-01 17:00:00
BINANCE:SOLUSDT,35251.81,4.3602,4.3657,4.2795,2021-02-01 17:30:00
BINANCE:SOLUSDT,80079.01,4.4348,4.4634,4.3575,2021-02-01 18:00:00
BINANCE:SOLUSDT,110861.1,4.4413,4.4691,4.3534,2021-02-01 18:30:00
BINANCE:SOLUSDT,45277.91,4.4169,4.4464,4.4074,2021-02-01 19:00:00
BINANCE:SOLUSDT,27131.59,4.495,4.495,4.4088,2021-02-01 19:30:00
BINANCE:SOLUSDT,28035.14,4.4817,4.4964,4.455,2021-02-01 20:00:00
BINANCE:SOLUSDT,38577.35,4.4292,4.4849,4.4167,2021-02-01 20:30:00
BINANCE:SOLUSDT,20369.23,4.4381,4.4385,4.4201,2021-02-01 21:00:00
BINANCE:SOLUSDT,32301.9,4.4289,4.4367,4.4103,2021-02-01 21:30:00
BINANCE:SOLUSDT,22325.54,4.42,4.43,4.41,2021-02-01 22:00:00
BINANCE:SOLUSDT,35082.74,4.3995,4.4178,4.3958,2021-02-01 22:30:00
BINANCE:SOLUSDT,82251.16,4.5201,4.56,4.3961,2021-02-01 23:00:00
BINANCE:SOLUSDT,74299.61,4.6148,4.617,4.518,2021-02-01 23:30:00
BINANCE:SOLUSDT,112130.26,4.5141,4.6265,4.5061,2021-02-02 00:00:00
BINANCE:SOLUSDT,50250.36,4.4908,4.5563,4.4767,2021-02-02 00:30:00
BINANCE:SOLUSDT,34863.99,4.5008,4.5109,4.465,2021-02-02 01:00:00
BINANCE:SOLUSDT,28098.74,4.5044,4.5289,4.474,2021-02-02 01:30:00
BINANCE:SOLUSDT,92674.29,4.6448,4.6666,4.4632,2021-02-02 02:00:00
BINANCE:SOLUSDT,464394.28,4.8674,4.88,4.6454,2021-02-02 02:30:00
BINANCE:SOLUSDT,308854.06,4.8856,4.92,4.8244,2021-02-02 03:00:00
BINANCE:SOLUSDT,77517.92,4.8068,4.8999,4.785,2021-02-02 03:30:00
BINANCE:SOLUSDT,87925.67,4.8195,4.8246,4.7437,2021-02-02 04:00:00
BINANCE:SOLUSDT,51389.37,4.8177,4.83,4.782,2021-02-02 04:30:00
BINANCE:SOLUSDT,100381.01,4.8531,4.906,4.8174,2021-02-02 05:00:00
BINANCE:SOLUSDT,99958.38,4.9351,4.9385,4.8487,2021-02-02 05:30:00
BINANCE:SOLUSDT,104314.11,4.9774,4.987,4.879,2021-02-02 06:00:00
BINANCE:SOLUSDT,158740.31,4.8885,5.03,4.8839,2021-02-02 06:30:00
BINANCE:SOLUSDT,61154.95,4.9094,4.9724,4.8833,2021-02-02 07:00:00
BINANCE:SOLUSDT,45613.25,4.956,4.96,4.9008,2021-02-02 07:30:00
BINANCE:SOLUSDT,213884.28,5.0617,5.093,4.9562,2021-02-02 08:00:00
BINANCE:SOLUSDT,417204.33,5.266,5.3585,5.0478,2021-02-02 08:30:00
BINANCE:SOLUSDT,414668.52,5.1687,5.28,4.9929,2021-02-02 09:00:00
BINANCE:SOLUSDT,112504.6,5.1882,5.2414,5.147,2021-02-02 09:30:00
BINANCE:SOLUSDT,142631.46,5.2219,5.2464,5.1116,2021-02-02 10:00:00
BINANCE:SOLUSDT,170387.21,5.3383,5.3543,5.2149,2021-02-02 10:30:00
BINANCE:SOLUSDT,92259.74,5.1929,5.3395,5.1929,2021-02-02 11:00:00
BINANCE:SOLUSDT,86679.09,5.22,5.2317,5.1551,2021-02-02 11:30:00
BINANCE:SOLUSDT,84777.52,5.2152,5.242,5.1884,2021-02-02 12:00:00
BINANCE:SOLUSDT,74757.4,5.1995,5.25,5.1942,2021-02-02 12:30:00
BINANCE:SOLUSDT,76897.29,5.1515,5.2041,5.1458,2021-02-02 13:00:00
BINANCE:SOLUSDT,54591.44,5.1489,5.2095,5.1437,2021-02-02 13:30:00
BINANCE:SOLUSDT,73562.13,5.0983,5.1773,5.0922,2021-02-02 14:00:00
BINANCE:SOLUSDT,39467.01,5.1175,5.1393,5.0769,2021-02-02 14:30:00
BINANCE:SOLUSDT,57859.3,5.0975,5.1865,5.0903,2021-02-02 15:00:00
BINANCE:SOLUSDT,106597.47,5.0612,5.11,5.024,2021-02-02 15:30:00
BINANCE:SOLUSDT,92336.64,5.11,5.1247,5.03,2021-02-02 16:00:00
BINANCE:SOLUSDT,58889.0,5.1086,5.1457,5.1,2021-02-02 16:30:00
BINANCE:SOLUSDT,59826.41,5.1766,5.1766,5.0882,2021-02-02 17:00:00
BINANCE:SOLUSDT,110361.95,5.1916,5.2666,5.166,2021-02-02 17:30:00
BINANCE:SOLUSDT,69257.76,5.1423,5.199,5.1336,2021-02-02 18:00:00
BINANCE:SOLUSDT,30943.19,5.1617,5.1852,5.14,2021-02-02 18:30:00
BINANCE:SOLUSDT,58606.68,5.1725,5.1838,5.1288,2021-02-02 19:00:00
BINANCE:SOLUSDT,54267.7,5.1654,5.2102,5.1581,2021-02-02 19:30:00
BINANCE:SOLUSDT,68971.38,5.1298,5.1682,5.1109,2021-02-02 20:00:00
BINANCE:SOLUSDT,141529.52,5.3035,5.3105,5.1278,2021-02-02 20:30:00
BINANCE:SOLUSDT,91959.48,5.2512,5.311,5.2398,2021-02-02 21:00:00
BINANCE:SOLUSDT,44812.09,5.2242,5.27,5.2099,2021-02-02 21:30:00
BINANCE:SOLUSDT,81180.9,5.3839,5.4,5.2102,2021-02-02 22:00:00
BINANCE:SOLUSDT,94700.01,5.2834,5.4026,5.2708,2021-02-02 22:30:00
BINANCE:SOLUSDT,31982.17,5.308,5.3413,5.2697,2021-02-02 23:00:00
BINANCE:SOLUSDT,92307.99,5.2331,5.3082,5.222,2021-02-02 23:30:00
BINANCE:SOLUSDT,36931.18,5.2363,5.3039,5.2201,2021-02-03 00:00:00
BINANCE:SOLUSDT,35946.93,5.2055,5.2789,5.1933,2021-02-03 00:30:00
BINANCE:SOLUSDT,31994.97,5.1808,5.2516,5.1523,2021-02-03 01:00:00
BINANCE:SOLUSDT,78950.28,5.1507,5.2157,5.1382,2021-02-03 01:30:00
BINANCE:SOLUSDT,27561.84,5.2045,5.2215,5.1511,2021-02-03 02:00:00
BINANCE:SOLUSDT,51284.82,5.1258,5.209,5.1192,2021-02-03 02:30:00
BINANCE:SOLUSDT,38012.08,5.1066,5.1545,5.0959,2021-02-03 03:00:00
BINANCE:SOLUSDT,24999.39,5.1036,5.1406,5.0929,2021-02-03 03:30:00
BINANCE:SOLUSDT,66248.41,5.0685,5.1181,5.0513,2021-02-03 04:00:00
BINANCE:SOLUSDT,131586.9,5.1425,5.1906,5.0608,2021-02-03 04:30:00
BINANCE:SOLUSDT,70567.28,5.1749,5.2018,5.1223,2021-02-03 05:00:00
BINANCE:SOLUSDT,32966.34,5.1888,5.2007,5.1651,2021-02-03 05:30:00
BINANCE:SOLUSDT,21658.93,5.1771,5.21,5.1649,2021-02-03 06:00:00
BINANCE:SOLUSDT,16086.24,5.1647,5.1871,5.155,2021-02-03 06:30:00
BINANCE:SOLUSDT,30769.17,5.1975,5.2054,5.158,2021-02-03 07:00:00
BINANCE:SOLUSDT,62841.21,5.1877,5.2493,5.1758,2021-02-03 07:30:00
